row_idx,primary_id,aggregate_id,secondary_id,categorical_label,scalar_label
0,B004O0DP4K,B004O0DP4K,AEFW7N4GQ3VBQHBELXLHEQFAK2VA,1,0
1,B077PPYQ8Z,B08DVP5YGY,AHXTUWRLIAS5QMD5IDW6VSSEQJ6Q,0,0
2,B00Y8EGGXE,B00Y8EGGXE,AHJ66BUJVTHBRCBPJAZYAFQUSIIA,0,0
3,B000MTZF7C,B000MTZF7C,AGJBL5JF2LKY4LS6QNYDKHT6HA7Q,0,2
4,B071FDY4XR,B07D3CLYGS,AH3TJQDSQW3RWHHTXKPCFLMLW7HQ,0,2
5,B001CF3KTA,B001CF3KTA,AG2MQK74UUFFM4KP7MZR2W5ZX7NQ,1,0
6,B08LC23N91,B08LC23N91,AEIIRIHLIYKQGI7ZOCIJTRDF5NPQ,0,0
7,B007X5Z1S6,B0C4MMLNGN,AEZABEV7CXSQMDDKLGI25KGTVYOA,1,0
8,B098L2D843,B098L2D843,AFQ6AJBFBV6NFBLUJQ24HV7SBWXQ,1,0
9,B082NLKMQ1,B0932DPV79,AHBPMAN7MJ4KXF64YO2BOSLWRW3Q,1,0
10,B002B7LTBY,B002B7LTBY,AGGEDJ7KCQXGXSVHZZTWIJKD4MJA,1,1
11,B07SVXT6XQ,B07SVXT6XQ,AHXGGSONLOKPOC42S4ZLTSIHNRDQ,1,0
12,B01LLLXMTW,B01LLLXMTW,AF7ILLGGR6QXAGKIQ5QCIXROKETA,1,2
13,B07WXV8YPR,B07WPX6GFB,AF4JHMACH7X4UFPMTCSTWP4IAZMA,0,0
14,B005LAZDMY,B07D4ZT13Y,AHA5252YHLH5D3ZUYCAM57JAGMIQ,1,0
15,B07BBWLPF5,B07BBXP494,AH3ILEM6N2TLOAZU7PGKSLJ46KVA,0,0
16,B07PVYLZVX,B0C33M64NT,AFSKPY37N3C43SOI5IEXEK5JSIYA,1,0
17,B001F0GMJW,B07VJX3Y9W,AFEJKJ56OD6H2XH55DGHJI2526MA,1,0
18,B00889B482,B008EXZZA0,AGTC73TOXB6OHBTY53CUYSOIL4VQ,1,1
19,B007Y32JJG,B07RKLFY6Q,AFBOWKBGZNDGWCLLC7MQ4HATD35Q,1,0
