row_idx,primary_id,aggregate_id,categorical_label
0,807.4728,gr-qc,gr-qc
1,808.4052,math,math
2,708.2013,gr-qc,gr-qc
3,808.0567,physics,physics
4,811.1639,astro-ph,astro-ph
5,808.0302,cond-mat,cond-mat
6,809.3712,quant-ph,quant-ph
7,809.0625,hep-ph,hep-ph
8,804.4488,astro-ph,astro-ph
9,802.2777,quant-ph,quant-ph
10,710.0754,cond-mat,cond-mat
11,712.422,hep-ph,hep-ph
12,801.2753,math,math
13,707.3468,q-bio,q-bio
14,708.2573,nucl-ex,nucl-ex
15,810.3123,math,math
16,704.015,cond-mat,cond-mat
17,704.1762,astro-ph,astro-ph
18,805.1943,hep-ph,hep-ph
19,806.3148,cond-mat,cond-mat
20,805.3706,physics,physics
21,704.2496,cond-mat,cond-mat
22,809.0004,math,math
23,708.1596,math,math
24,712.341,math,math
25,707.1718,math,math
26,810.3057,cond-mat,cond-mat
27,811.354,hep-ex,hep-ex
28,811.1379,cond-mat,cond-mat
29,710.2183,math,math
30,808.289,cond-mat,cond-mat
31,809.4644,cond-mat,cond-mat
32,707.3651,cond-mat,cond-mat
33,711.3841,math,math
34,707.2432,cs,cs
35,710.1586,math,math
36,806.3756,physics,physics
37,706.2719,nlin,nlin
38,812.0726,math,math
39,707.296,astro-ph,astro-ph
40,708.1941,astro-ph,astro-ph
41,810.3998,gr-qc,gr-qc
42,712.2242,astro-ph,astro-ph
43,710.4829,cs,cs
44,709.3065,astro-ph,astro-ph
45,808.3024,hep-th,hep-th
46,802.4388,math,math
47,807.4505,math-ph,math-ph
48,705.0725,physics,physics
49,809.4906,quant-ph,quant-ph
50,711.2903,hep-ph,hep-ph
51,706.357,math,math
52,711.2826,hep-th,hep-th
53,806.4538,math,math
54,803.2614,astro-ph,astro-ph
55,712.177,gr-qc,gr-qc
56,811.235,cond-mat,cond-mat
57,807.2698,q-bio,q-bio
58,812.1944,hep-th,hep-th
59,704.0576,astro-ph,astro-ph
60,809.4318,math,math
61,805.0592,q-bio,q-bio
62,710.5313,physics,physics
63,809.1907,quant-ph,quant-ph
64,711.3398,physics,physics
65,808.2317,astro-ph,astro-ph
66,804.3776,cond-mat,cond-mat
67,801.3621,math-ph,math-ph
68,710.123,cond-mat,cond-mat
69,809.4171,math,math
70,704.0579,astro-ph,astro-ph
71,710.4012,cond-mat,cond-mat
72,805.3113,math,math
73,707.1361,math,math
74,708.0082,hep-ex,hep-ex
75,711.0716,math-ph,math-ph
76,802.2662,astro-ph,astro-ph
77,806.0585,math,math
78,812.2963,cond-mat,cond-mat
79,711.1559,gr-qc,gr-qc
80,711.1188,math-ph,math-ph
81,805.241,math,math
82,705.0291,math,math
83,806.3089,astro-ph,astro-ph
84,810.0832,astro-ph,astro-ph
85,812.335,math,math
86,803.2169,q-fin,q-fin
87,810.1491,gr-qc,gr-qc
88,805.3906,math,math
89,710.3765,math,math
90,802.1885,gr-qc,gr-qc
91,804.0955,astro-ph,astro-ph
92,707.2493,hep-ph,hep-ph
93,708.2115,cond-mat,cond-mat
94,811.056,astro-ph,astro-ph
95,811.0605,physics,physics
96,809.1054,physics,physics
97,803.3565,math-ph,math-ph
98,710.291,cond-mat,cond-mat
99,807.0229,astro-ph,astro-ph
100,803.0698,hep-th,hep-th
101,810.2766,math,math
102,809.2071,physics,physics
103,805.4172,math,math
104,804.337,cond-mat,cond-mat
105,801.2625,math,math
106,712.1604,math,math
107,707.0765,cond-mat,cond-mat
108,811.2428,math,math
109,810.4305,cond-mat,cond-mat
110,809.0851,astro-ph,astro-ph
111,811.4447,stat,stat
112,810.3825,hep-th,hep-th
113,803.3463,math,math
114,807.2652,gr-qc,gr-qc
115,806.028,math,math
116,805.4362,hep-th,hep-th
117,710.1163,math,math
118,712.4007,astro-ph,astro-ph
119,810.0967,hep-th,hep-th
120,809.2293,math,math
121,712.0682,cond-mat,cond-mat
122,811.0305,quant-ph,quant-ph
123,805.1609,math,math
124,809.4048,nlin,nlin
125,712.1953,hep-ph,hep-ph
126,808.2336,math,math
127,710.4684,cs,cs
128,707.1782,astro-ph,astro-ph
129,712.141,hep-th,hep-th
130,802.129,hep-th,hep-th
131,809.3302,quant-ph,quant-ph
132,712.3566,cond-mat,cond-mat
133,712.1706,cond-mat,cond-mat
134,810.2315,math,math
135,709.4038,gr-qc,gr-qc
136,806.139,math,math
137,812.1958,math,math
138,811.4249,cond-mat,cond-mat
139,705.1017,math-ph,math-ph
140,705.1221,physics,physics
141,707.261,astro-ph,astro-ph
142,801.3229,cond-mat,cond-mat
143,706.421,math,math
144,711.1412,math-ph,math-ph
145,811.197,math-ph,math-ph
146,705.1322,hep-th,hep-th
147,803.1165,cond-mat,cond-mat
148,805.1687,quant-ph,quant-ph
149,705.4016,hep-ex,hep-ex
150,809.2652,math,math
151,810.4797,hep-th,hep-th
152,712.3799,gr-qc,gr-qc
153,704.0867,cond-mat,cond-mat
154,812.2317,cond-mat,cond-mat
155,809.2747,astro-ph,astro-ph
156,707.0754,q-bio,q-bio
157,808.376,math,math
158,710.4236,hep-ph,hep-ph
159,707.0629,cond-mat,cond-mat
160,712.3067,math-ph,math-ph
161,806.072,astro-ph,astro-ph
162,808.2198,cond-mat,cond-mat
163,709.2113,math,math
164,709.1149,quant-ph,quant-ph
165,812.1433,hep-th,hep-th
166,709.0727,cond-mat,cond-mat
167,704.3232,math,math
168,712.4074,nlin,nlin
169,802.189,astro-ph,astro-ph
170,709.0249,cond-mat,cond-mat
171,708.3474,quant-ph,quant-ph
172,810.0654,math,math
173,810.2547,astro-ph,astro-ph
174,710.2876,q-fin,q-fin
175,811.1132,gr-qc,gr-qc
176,806.2411,math,math
177,805.3306,cond-mat,cond-mat
178,802.3722,physics,physics
179,709.4488,astro-ph,astro-ph
180,802.2666,cs,cs
181,801.0404,math,math
182,710.2109,math,math
183,803.3557,math,math
184,711.2604,astro-ph,astro-ph
185,804.0058,physics,physics
186,808.3145,cs,cs
187,705.1462,physics,physics
188,806.4142,astro-ph,astro-ph
189,806.4656,cond-mat,cond-mat
190,803.4253,cs,cs
191,706.3399,hep-ph,hep-ph
192,804.0539,cs,cs
193,708.2149,math,math
194,806.3053,math,math
195,802.3155,astro-ph,astro-ph
196,810.513,astro-ph,astro-ph
197,803.1124,math-ph,math-ph
198,710.4016,math,math
199,711.1681,math,math
200,707.2124,math,math
201,710.0971,nucl-th,nucl-th
202,801.3793,quant-ph,quant-ph
203,711.2181,math,math
204,706.1864,physics,physics
205,810.5548,physics,physics
206,704.0691,physics,physics
207,808.1597,hep-th,hep-th
208,711.3204,cond-mat,cond-mat
209,805.4174,math,math
210,706.2354,math,math
211,705.0219,hep-ph,hep-ph
212,704.0822,hep-th,hep-th
213,712.0207,hep-ph,hep-ph
214,810.3572,astro-ph,astro-ph
215,710.2284,cs,cs
216,802.3259,hep-th,hep-th
217,711.0792,hep-ph,hep-ph
218,804.2474,nlin,nlin
