row_idx,primary_id,aggregate_id,secondary_id,categorical_label,scalar_label
0,B00DOMYL24,B09XYMSZLL,AFUB7CHTXRPD447QVQCHBZVN2IPQ,1,0
1,B07C8LGFD9,B07C8LGFD9,AG73BVBKUOH22USSFJA5ZWL7AKXA,1,2
2,B085SBD8LC,B085SGW4KK,AFJBKPK5W56XWSNPQU2WW66ISWYQ,1,0
3,B01BH83OOM,B01BH83OOM,AH7GXXWDHIYZ4B4AR32QWNTEGZAA,1,0
4,B07CRG94G3,B0B6D4W3R7,AHSNW7F6N6I4WQ5YZLWVLVSGC6WA,0,0
5,B00R1XMC6E,B07N8GLXV4,AFCVDZA4URAZMKA7CN2BJYKZ5XBQ,1,0
6,B07P61P5NZ,B07P61P5NZ,AFDMZ4TRX3HXQQUGWAHJQTIF65BQ,1,0
7,B07K273XVV,B0B15L74B3,AGPDYAW6D5NIZYPKLEQAF5XIKL3Q,0,0
8,B00ILM977Q,B0C1J4XGB1,AGZAWZF27MZSHLXEQXZ75GOMHQ3A,0,0
9,B0016CFZQ0,B00WUGZVAQ,AGSXMEKFKM2HDFZ4UNE676O6D5LQ,1,0
10,B0031TRZX2,B0031TRZX2,AEK67YJAYHXAHT542YQVACE4N4MQ,1,0
11,B07TMJ1R3X,B07TMJ8S5Z,AEXTYYWVD3GD5GUYKFYRKRZHA4EA,1,0
12,B00U77V8AM,B00WECRAF0,AGHYTSSR4JMXZJAMIZIOY4I7DXJQ,1,0
13,B085Q5N3L7,B0C4Z5NQKJ,AFWBRXFBYKT4VV7VMKR22I6VHHNQ,1,0
14,B07N19QTVC,B0BXW7XFH1,AH6BB7CTWB4BGZTRVYQE3M3MMWSA,1,0
15,B06XQYN77L,B06XQYN77L,AHNOLQG5SZLLNGPOF3GAVRMQMQDQ,1,1
16,B07RD8B8ZB,B07RD8B8ZB,AHBXZHG7DTKJCR5NLY73MPGTYCLA,1,0
17,B07BBLL3MJ,B07TCSG6CH,AE77WKO3A34DXB7NSW5W5IX5PZXQ,0,0
