Task_Idx,Node_Idx,Edge_Idx,Text_Idx,task_type,train_mean,test_mean,n_train_valid,n_test_valid
M1,N7,E10b,T12a,categorical,54.54109726904737,52.652547596834175,50,50
M1,N7,E10b,T12b,categorical,54.516007686120496,54.324782152387655,50,50
M1,N7,E10c,T12a,categorical,54.13425364928053,52.88787081174902,50,50
M1,N7,E10c,T12b,categorical,55.25261278716537,53.836121588755894,50,50
M1,N7,E11a,T12a,categorical,56.72891004631957,55.940974388585154,50,50
M1,N7,E11a,T12b,categorical,56.78932352796342,57.711617485196456,50,50
M1,N7,E11b,T12a,categorical,57.18359436117151,57.47432512979933,50,50
M1,N7,E11b,T12b,categorical,57.877830615020706,58.14236480651913,50,50
M1,N8,E10a,T12a,categorical,13.707668883481686,7.982412841758521,50,50
M1,N8,E10a,T12b,categorical,14.318990198808393,7.850598761916514,50,50
M1,N8,E10a,T12e,categorical,13.524540598695467,8.228966790127016,50,50
M1,N8,E10b,T12a,categorical,12.929254232430413,6.40380178025553,50,50
M1,N8,E10b,T12b,categorical,12.465834340851938,6.591684276268717,50,50
M1,N8,E10b,T12e,categorical,12.31983023555267,6.903300931293728,50,50
M1,N8,E10c,T12a,categorical,12.763933076357862,7.091668324744944,50,50
M1,N8,E10c,T12b,categorical,13.100751954486082,6.987172435072283,50,50
M1,N8,E10c,T12e,categorical,12.898780115992018,7.3692458008196295,50,50
M1,N8,E11a,T12a,categorical,11.481933139939715,5.828661972984358,50,50
M1,N8,E11a,T12b,categorical,11.323050947606522,5.316952100582723,50,50
M1,N8,E11a,T12e,categorical,11.905826370710821,6.056218562467165,50,50
M1,N8,E11b,T12a,categorical,11.51218341531077,5.277878406752244,50,50
M1,N8,E11b,T12b,categorical,11.63603053473339,5.269995896830934,50,50
M1,N8,E11b,T12e,categorical,10.779902455390145,5.309649393925674,50,50
M1,N8,E11c,T12a,categorical,13.66722811352139,7.457375452839614,50,50
M1,N8,E11c,T12b,categorical,13.480280582466463,7.6558339157628605,50,50
M1,N8,E11c,T12e,categorical,13.645459637854518,8.164662110791193,50,50
M1,N9,E10b,T12a,categorical,52.5647216033076,53.670534954308145,50,50
M1,N9,E10b,T12b,categorical,52.19598882346772,53.4311075171517,50,50
M1,N9,E10b,T12e,categorical,52.52106396578715,53.652040194312875,50,50
M1,N9,E10c,T12a,categorical,53.18988806847658,53.92101210023369,50,50
M1,N9,E10c,T12b,categorical,52.99465545939008,53.91215483230687,50,50
M1,N9,E10c,T12e,categorical,52.503235301961006,54.1298715315291,50,50
M1,N9,E11a,T12a,categorical,55.58977951471806,57.31825291489935,50,50
M1,N9,E11a,T12b,categorical,55.65283357126869,57.6180651227076,50,50
M1,N9,E11a,T12e,categorical,55.27442835984824,57.31241120137185,50,50
M1,N9,E11b,T12a,categorical,55.41947607512656,57.47506013713636,50,50
M1,N9,E11b,T12b,categorical,55.91185224408674,57.706148992576345,50,50
M1,N9,E11b,T12e,categorical,55.86935323899921,57.55111383909895,50,50
