system_name,node_idx,edge_idx,text_idx,train_mean,mean_composite
N8_E10c_T12a_text_based,N8,E10c,T12a,84.19927924995824,0.7036429051512825
N8_E10b_T12b_text_based,N8,E10b,T12b,84.15994164070703,0.6972166287172743
N8_E10b_T12e_text_based,N8,E10b,T12e,84.09470508459444,0.6984794622776179
N8_E10b_T12a_text_based,N8,E10b,T12a,84.09192610201374,0.7151671905751262
N8_E10c_T12b_text_based,N8,E10c,T12b,83.96151440123181,0.6814576058978947
N8_E10c_T12e_text_based,N8,E10c,T12e,83.91195705663272,0.7023588186578407
N8_E11a_T12a_text_based,N8,E11a,T12a,77.15167803969665,0.7029281129529881
N8_E11a_T12e_text_based,N8,E11a,T12e,77.11156244298212,0.6879115287261044
N8_E11a_T12b_text_based,N8,E11a,T12b,76.96327912207104,0.6921318131593535
N8_E11b_T12b_text_based,N8,E11b,T12b,75.65445095754838,0.3824264610498496
N8_E11b_T12e_text_based,N8,E11b,T12e,75.57351687467848,0.379258487682426
N8_E11b_T12a_text_based,N8,E11b,T12a,75.50837688452857,0.3890041045069805
N7_E11b_T12a_text_based,N7,E11b,T12a,54.67276772742579,0.35854669228311314
N7_E11a_T12a_text_based,N7,E11a,T12a,54.39232184447354,0.6920706595390858
N7_E10b_T12a_text_based,N7,E10b,T12a,54.33494941329087,0.7186979269696844
N7_E10c_T12a_text_based,N7,E10c,T12a,54.0127083719375,0.6909897077904231
N7_E11b_T12b_text_based,N7,E11b,T12b,38.97385968700546,0.36132490361077474
N7_E11a_T12b_text_based,N7,E11a,T12b,38.84224683044495,0.696853293137719
N7_E10c_T12b_text_based,N7,E10c,T12b,38.50200508013277,0.6868140768072674
N7_E10b_T12b_text_based,N7,E10b,T12b,38.12631047833316,0.7064735941561183
