system_name,node_idx,edge_idx,text_idx,train_mean,mean_composite
N7_E10b_T12a_text_based,N7,E10b,T12a,40.741741053324944,0.6252498813106823
N7_E10b_T12b_text_based,N7,E10b,T12b,38.73679168525954,0.6131932146173276
N7_E10c_T12a_text_based,N7,E10c,T12a,40.157834003504135,0.63450809583307
N7_E10c_T12b_text_based,N7,E10c,T12b,38.87946260530057,0.6579272244405714
N7_E11a_T12a_text_based,N7,E11a,T12a,42.21113851599443,0.7030231818937376
N7_E11a_T12b_text_based,N7,E11a,T12b,40.25564484096888,0.7230395419024235
N7_E11b_T12a_text_based,N7,E11b,T12a,43.60886769821098,0.46111598587101643
N7_E11b_T12b_text_based,N7,E11b,T12b,42.0452790818953,0.4518878516756396
N8_E10a_T12a_text_based,N8,E10a,T12a,12.626701844237498,0.6273653956372294
N8_E10a_T12b_text_based,N8,E10a,T12b,12.974050146791644,0.6200319176730729
N8_E10a_T12e_text_based,N8,E10a,T12e,12.858646545441625,0.6416858527495597
N8_E10b_T12a_text_based,N8,E10b,T12a,12.895009856746206,0.6320177078356892
N8_E10b_T12b_text_based,N8,E10b,T12b,12.606389150791,0.6400139976461504
N8_E10b_T12e_text_based,N8,E10b,T12e,12.847101728676298,0.6299824721500753
N8_E10c_T12a_text_based,N8,E10c,T12a,12.70042193257434,0.6074637436125598
N8_E10c_T12b_text_based,N8,E10c,T12b,12.957363664580113,0.6324652223524689
N8_E10c_T12e_text_based,N8,E10c,T12e,12.812622245721329,0.6198908174903991
N8_E11a_T12a_text_based,N8,E11a,T12a,12.289800319809192,0.4824567868238926
N8_E11a_T12b_text_based,N8,E11a,T12b,12.189588081267972,0.4919361551587917
N8_E11a_T12e_text_based,N8,E11a,T12e,12.098101983499042,0.47234795485739395
N8_E11b_T12a_text_based,N8,E11b,T12a,12.531866460868557,0.36858398097387207
N8_E11b_T12b_text_based,N8,E11b,T12b,12.628038989470138,0.36262108831397083
N8_E11b_T12e_text_based,N8,E11b,T12e,12.300183235724267,0.3555261617411792
N8_E11c_T12a_text_based,N8,E11c,T12a,13.064048602598891,0.6049224007474147
N8_E11c_T12b_text_based,N8,E11c,T12b,12.45628060347745,0.5999197613704046
N8_E11c_T12e_text_based,N8,E11c,T12e,12.671950387840248,0.6031610866116719
N9_E10b_T12a_text_based,N9,E10b,T12a,37.44080227719876,0.6021896515956281
N9_E10b_T12b_text_based,N9,E10b,T12b,37.73199714439061,0.5858704208789495
N9_E10b_T12e_text_based,N9,E10b,T12e,37.56120518382895,0.5877081570391067
N9_E10c_T12a_text_based,N9,E10c,T12a,37.527844614578,0.5956277754637501
N9_E10c_T12b_text_based,N9,E10c,T12b,37.86364757878168,0.594345076938288
N9_E10c_T12e_text_based,N9,E10c,T12e,37.59329273303808,0.5899939099119719
N9_E11a_T12a_text_based,N9,E11a,T12a,38.94273857573752,0.6813677517771822
N9_E11a_T12b_text_based,N9,E11a,T12b,39.01343692076899,0.6785934296800883
N9_E11a_T12e_text_based,N9,E11a,T12e,39.11967020823825,0.672666195363181
N9_E11b_T12a_text_based,N9,E11b,T12a,40.71352065804886,0.3698635035476133
N9_E11b_T12b_text_based,N9,E11b,T12b,41.00032152217096,0.4286576784054925
N9_E11b_T12e_text_based,N9,E11b,T12e,40.75325144272881,0.4040231516565935
