system_name,node_idx,edge_idx,text_idx,train_mean,mean_composite
N7_E10b_T12a_text_based,N7,E10b,T12a,54.54109726904737,0.6380694567780277
N7_E10b_T12b_text_based,N7,E10b,T12b,54.516007686120496,0.6517025401795202
N7_E10c_T12a_text_based,N7,E10c,T12a,54.13425364928053,0.6454777651135267
N7_E10c_T12b_text_based,N7,E10c,T12b,55.25261278716537,0.6285130984593584
N7_E11a_T12a_text_based,N7,E11a,T12a,56.72891004631957,0.6949288644185768
N7_E11a_T12b_text_based,N7,E11a,T12b,56.78932352796342,0.6684607541128915
N7_E11b_T12a_text_based,N7,E11b,T12a,57.18359436117151,0.47324734074103175
N7_E11b_T12b_text_based,N7,E11b,T12b,57.87783061502071,0.4942272444842094
N8_E10a_T12a_text_based,N8,E10a,T12a,13.707668883481686,0.6057231329179495
N8_E10a_T12b_text_based,N8,E10a,T12b,14.318990198808391,0.59648623350133
N8_E10a_T12e_text_based,N8,E10a,T12e,13.524540598695468,0.6038626901055505
N8_E10b_T12a_text_based,N8,E10b,T12a,12.929254232430411,0.6140690122113691
N8_E10b_T12b_text_based,N8,E10b,T12b,12.465834340851938,0.6073174076129653
N8_E10b_T12e_text_based,N8,E10b,T12e,12.31983023555267,0.6157846603962375
N8_E10c_T12a_text_based,N8,E10c,T12a,12.763933076357862,0.59120091068915
N8_E10c_T12b_text_based,N8,E10c,T12b,13.100751954486082,0.6261847858745042
N8_E10c_T12e_text_based,N8,E10c,T12e,12.898780115992018,0.6098292503081203
N8_E11a_T12a_text_based,N8,E11a,T12a,11.481933139939716,0.5323416418468617
N8_E11a_T12b_text_based,N8,E11a,T12b,11.323050947606522,0.5347017138510715
N8_E11a_T12e_text_based,N8,E11a,T12e,11.90582637071082,0.5289115218471263
N8_E11b_T12a_text_based,N8,E11b,T12a,11.51218341531077,0.4820452470351019
N8_E11b_T12b_text_based,N8,E11b,T12b,11.63603053473339,0.44148862919730886
N8_E11b_T12e_text_based,N8,E11b,T12e,10.779902455390143,0.47854071445804935
N8_E11c_T12a_text_based,N8,E11c,T12a,13.66722811352139,0.609109719708192
N8_E11c_T12b_text_based,N8,E11c,T12b,13.480280582466465,0.6103540004323194
N8_E11c_T12e_text_based,N8,E11c,T12e,13.645459637854518,0.5696211341445814
N9_E10b_T12a_text_based,N9,E10b,T12a,52.5647216033076,0.6089527764642815
N9_E10b_T12b_text_based,N9,E10b,T12b,52.19598882346772,0.6095944625930618
N9_E10b_T12e_text_based,N9,E10b,T12e,52.52106396578715,0.5961796580254194
N9_E10c_T12a_text_based,N9,E10c,T12a,53.18988806847658,0.5876473872015756
N9_E10c_T12b_text_based,N9,E10c,T12b,52.99465545939008,0.5848543388070022
N9_E10c_T12e_text_based,N9,E10c,T12e,52.503235301961006,0.5817360309402477
N9_E11a_T12a_text_based,N9,E11a,T12a,55.58977951471806,0.7117822155430638
N9_E11a_T12b_text_based,N9,E11a,T12b,55.65283357126869,0.70173793960717
N9_E11a_T12e_text_based,N9,E11a,T12e,55.27442835984824,0.6962823074592552
N9_E11b_T12a_text_based,N9,E11b,T12a,55.41947607512656,0.3965148488533515
N9_E11b_T12b_text_based,N9,E11b,T12b,55.91185224408674,0.4006663080134921
N9_E11b_T12e_text_based,N9,E11b,T12e,55.86935323899921,0.4024696234070272
