system_name,node_idx,edge_idx,text_idx,train_mean,mean_composite
N7_E10b_T12a_text_based,N7,E10b,T12a,9.755687271397711,0.5208156277187524
N7_E10b_T12b_text_based,N7,E10b,T12b,7.971351582214677,0.5250632382992557
N7_E10c_T12a_text_based,N7,E10c,T12a,8.598122569228197,0.5240844744174669
N7_E10c_T12b_text_based,N7,E10c,T12b,8.755849832605241,0.526259806198748
N7_E11a_T12a_text_based,N7,E11a,T12a,10.871622516415352,0.7478431598888184
N7_E11a_T12b_text_based,N7,E11a,T12b,9.996877575477864,0.7425337058885961
N7_E11b_T12a_text_based,N7,E11b,T12a,10.670575138168058,0.4162686374926448
N7_E11b_T12b_text_based,N7,E11b,T12b,10.993543599811344,0.4431435559590987
N8_E10a_T12a_text_based,N8,E10a,T12a,0.9475718705776714,0.5456908360086046
N8_E10a_T12b_text_based,N8,E10a,T12b,1.1423785595419973,0.5458572084360749
N8_E10a_T12e_text_based,N8,E10a,T12e,0.9818698112698538,0.5435318280139301
N8_E10b_T12a_text_based,N8,E10b,T12a,1.2640343422563636,0.5517619873272441
N8_E10b_T12b_text_based,N8,E10b,T12b,1.242792181121095,0.5474169129113579
N8_E10b_T12e_text_based,N8,E10b,T12e,1.1944045104390042,0.5496908332113675
N8_E10c_T12a_text_based,N8,E10c,T12a,1.1124638302091527,0.5420614383079758
N8_E10c_T12b_text_based,N8,E10c,T12b,1.1089223281387155,0.5486622573245702
N8_E10c_T12e_text_based,N8,E10c,T12e,1.08249399937679,0.5432800925261093
N8_E11a_T12a_text_based,N8,E11a,T12a,0.8355859218796413,0.4840395583558532
N8_E11a_T12b_text_based,N8,E11a,T12b,1.008638714429887,0.49101809775541627
N8_E11a_T12e_text_based,N8,E11a,T12e,0.8689407961862267,0.4854589617493933
N8_E11b_T12a_text_based,N8,E11b,T12a,1.058501181832474,0.41410211168818745
N8_E11b_T12b_text_based,N8,E11b,T12b,1.332760296284281,0.4206189653408581
N8_E11b_T12e_text_based,N8,E11b,T12e,1.2320289857029634,0.4251999912494444
N8_E11c_T12a_text_based,N8,E11c,T12a,1.1826644110343094,0.5523874097055235
N8_E11c_T12b_text_based,N8,E11c,T12b,1.3235488803210198,0.5419742834845659
N8_E11c_T12e_text_based,N8,E11c,T12e,1.2075038243103549,0.5532297772295793
N9_E10b_T12a_text_based,N9,E10b,T12a,9.026393566819356,0.5753020937348494
N9_E10b_T12b_text_based,N9,E10b,T12b,9.169027289613046,0.5400560764401557
N9_E10b_T12e_text_based,N9,E10b,T12e,9.038597939152725,0.5447285446779477
N9_E10c_T12a_text_based,N9,E10c,T12a,9.331545136636064,0.5568326231781286
N9_E10c_T12b_text_based,N9,E10c,T12b,8.695612754605397,0.550851261546283
N9_E10c_T12e_text_based,N9,E10c,T12e,9.374199161974929,0.5693512406979575
N9_E11a_T12a_text_based,N9,E11a,T12a,11.189081858573296,0.8112320067145932
N9_E11a_T12b_text_based,N9,E11a,T12b,11.156850622992046,0.812062474720952
N9_E11a_T12e_text_based,N9,E11a,T12e,10.99420113198613,0.8098889769184613
N9_E11b_T12a_text_based,N9,E11b,T12a,10.97227510157205,0.4610449838207458
N9_E11b_T12b_text_based,N9,E11b,T12b,11.08218489095088,0.47738731533898654
N9_E11b_T12e_text_based,N9,E11b,T12e,10.951700713396106,0.45453914069256846
