Task_Idx,Node_Idx,Edge_Idx,Text_Idx,task_type_500,train_mean_500,test_mean_500,n_train_valid_500,n_test_valid_500,task_type_1000,train_mean_1000,test_mean_1000,n_train_valid_1000,n_test_valid_1000,diff,abs_diff
M1,N7,E10b,T12a,categorical,43.71362095662128,43.12969463947867,50,50,categorical,54.54109726904737,52.652547596834175,50,50,10.827476312426093,10.827476312426093
M1,N7,E10b,T12b,categorical,44.09910239818133,43.67871419607693,50,50,categorical,54.516007686120496,54.324782152387655,50,50,10.416905287939166,10.416905287939166
M1,N7,E10c,T12a,categorical,43.346660745092215,43.17191681799655,50,50,categorical,54.13425364928053,52.88787081174902,50,50,10.787592904188315,10.787592904188315
M1,N7,E10c,T12b,categorical,43.80695429242812,43.65030867740942,50,50,categorical,55.25261278716537,53.836121588755894,50,50,11.445658494737252,11.445658494737252
M1,N7,E11a,T12a,categorical,44.76419422277404,45.95061527365202,50,50,categorical,56.72891004631957,55.940974388585154,50,50,11.964715823545532,11.964715823545532
M1,N7,E11a,T12b,categorical,45.37215141713214,47.32870959301662,50,50,categorical,56.78932352796342,57.711617485196456,50,50,11.417172110831281,11.417172110831281
M1,N7,E11b,T12a,categorical,46.63033951807322,48.84039228280947,50,50,categorical,57.18359436117151,57.47432512979933,50,50,10.553254843098287,10.553254843098287
M1,N7,E11b,T12b,categorical,48.23794647169089,49.12792424049815,50,50,categorical,57.877830615020706,58.14236480651913,50,50,9.639884143329816,9.639884143329816
M1,N8,E10a,T12a,categorical,4.724776511373474,1.759731053647319,50,50,categorical,13.707668883481686,7.982412841758521,50,50,8.982892372108212,8.982892372108212
M1,N8,E10a,T12b,categorical,4.576974340910389,1.4597850142866755,50,50,categorical,14.318990198808393,7.850598761916514,50,50,9.742015857898004,9.742015857898004
M1,N8,E10a,T12e,categorical,4.7575395043216515,1.6536104773157245,50,50,categorical,13.524540598695467,8.228966790127016,50,50,8.767001094373814,8.767001094373814
M1,N8,E10b,T12a,categorical,3.6723445372579837,1.527143681348555,50,50,categorical,12.929254232430413,6.40380178025553,50,50,9.256909695172428,9.256909695172428
M1,N8,E10b,T12b,categorical,4.073009659942914,1.6108943559935993,50,50,categorical,12.465834340851938,6.591684276268717,50,50,8.392824680909023,8.392824680909023
M1,N8,E10b,T12e,categorical,4.165178201638612,1.3375664668610185,50,50,categorical,12.31983023555267,6.903300931293728,50,50,8.154652033914058,8.154652033914058
M1,N8,E10c,T12a,categorical,3.5768245118596163,1.420905462151215,50,50,categorical,12.763933076357862,7.091668324744944,50,50,9.187108564498246,9.187108564498246
M1,N8,E10c,T12b,categorical,4.683191380870116,1.4487178649828074,50,50,categorical,13.100751954486082,6.987172435072283,50,50,8.417560573615965,8.417560573615965
M1,N8,E10c,T12e,categorical,4.065737816500884,1.6553529914717375,50,50,categorical,12.898780115992018,7.3692458008196295,50,50,8.833042299491133,8.833042299491133
M1,N8,E11a,T12a,categorical,3.1127436977651395,1.607706869110794,50,50,categorical,11.481933139939715,5.828661972984358,50,50,8.369189442174575,8.369189442174575
M1,N8,E11a,T12b,categorical,3.0215660888513525,1.2980386161896362,50,50,categorical,11.323050947606522,5.316952100582723,50,50,8.301484858755169,8.301484858755169
M1,N8,E11a,T12e,categorical,3.3739089677478558,1.6280101049346616,50,50,categorical,11.905826370710821,6.056218562467165,50,50,8.531917402962966,8.531917402962966
M1,N8,E11b,T12a,categorical,2.9689603557217383,1.3634820835665802,50,50,categorical,11.51218341531077,5.277878406752244,50,50,8.543223059589032,8.543223059589032
