variant,old_train_mean,new_train_mean,delta
N7_E10b_T12a,40.74174105332494,40.238744719218154,-0.5029963341067827
N7_E10b_T12b,38.73679168525954,38.789503774434294,0.05271208917475434
N7_E10c_T12a,40.15783400350414,41.16168862269431,1.0038546191901645
N7_E10c_T12b,38.87946260530057,39.10346411598956,0.22400151068899277
N7_E11a_T12a,42.21113851599443,42.38161028440167,0.1704717684072392
N7_E11a_T12b,40.25564484096888,40.05100077446494,-0.2046440665039384
N7_E11b_T12a,43.60886769821098,43.20959330467669,-0.3992743935342915
N7_E11b_T12b,42.04527908189531,41.86498058556788,-0.18029849632743122
N8_E10a_T12a,12.6267018442375,11.507899562299265,-1.118802281938235
N8_E10a_T12b,12.974050146791646,12.450680154316824,-0.5233699924748212
N8_E10a_T12e,12.858646545441625,,
N8_E10b_T12a,12.895009856746206,11.190994777339448,-1.7040150794067586
N8_E10b_T12b,12.606389150791001,11.715557635040438,-0.8908315157505626
N8_E10b_T12e,12.8471017286763,,
N8_E10c_T12a,12.70042193257434,12.21724233764524,-0.48317959492909957
N8_E10c_T12b,12.957363664580116,11.73613636975051,-1.2212272948296068
N8_E10c_T12e,12.81262224572133,,
N8_E11a_T12a,12.289800319809194,12.214716511879473,-0.07508380792972069
N8_E11a_T12b,12.18958808126797,11.685830810099658,-0.5037572711683129
N8_E11a_T12e,12.09810198349904,,
N8_E11b_T12a,12.531866460868557,11.126640859173238,-1.405225601695319
N8_E11b_T12b,12.62803898947014,12.128069833173253,-0.49996915629688665
N8_E11b_T12e,12.300183235724267,,
N8_E11c_T12a,13.064048602598893,,
N8_E11c_T12b,12.45628060347745,,
N8_E11c_T12e,12.671950387840248,,
N9_E10b_T12a,37.440802277198756,37.354274126774314,-0.08652815042444217
N9_E10b_T12b,37.731997144390604,37.42777264368049,-0.304224500710113
N9_E10b_T12e,37.56120518382895,,
N9_E10c_T12a,37.527844614578015,36.725846132614706,-0.8019984819633095
N9_E10c_T12b,37.86364757878168,37.22917328136111,-0.6344742974205673
N9_E10c_T12e,37.59329273303808,,
N9_E11a_T12a,38.94273857573752,38.600893333807846,-0.3418452419296756
N9_E11a_T12b,39.01343692076899,39.12047838894998,0.10704146818098792
N9_E11a_T12e,39.119670208238254,,
N9_E11b_T12a,40.71352065804885,39.46510594980783,-1.2484147082410217
N9_E11b_T12b,41.000321522170964,38.49368251357036,-2.506639008600601
N9_E11b_T12e,40.75325144272881,,
