variant,old_train_mean,new_train_mean,delta
N7_E10b_T12a,54.33494941329088,53.794163126037795,-0.5407862872530842
N7_E10b_T12b,38.12631047833317,38.40061414322597,0.27430366489280544
N7_E10c_T12a,54.0127083719375,53.05450283475906,-0.9582055371784364
N7_E10c_T12b,38.50200508013276,38.79224203186077,0.2902369517280121
N7_E11a_T12a,54.39232184447354,54.668021708509414,0.27569986403587166
N7_E11a_T12b,38.84224683044496,38.94214231280544,0.09989548236048051
N7_E11b_T12a,54.6727677274258,54.66129066121517,-0.011477066210630937
N7_E11b_T12b,38.97385968700546,39.234314916245246,0.26045522923978837
N8_E10b_T12a,84.09192610201376,84.1495276121383,0.05760151012454173
N8_E10b_T12b,84.15994164070705,84.67219853007647,0.512256889369425
N8_E10b_T12e,84.09470508459444,0.03523480895665,-84.05947027563779
N8_E10c_T12a,84.19927924995822,84.51069606369602,0.31141681373779306
N8_E10c_T12b,83.96151440123181,84.02924815458107,0.06773375334925902
N8_E10c_T12e,83.91195705663272,0.030653114875836995,-83.88130394175688
N8_E11a_T12a,77.15167803969665,76.9161699905862,-0.2355080491104502
N8_E11a_T12b,76.96327912207104,76.99784831118075,0.0345691891097033
N8_E11a_T12e,77.11156244298212,,
N8_E11b_T12a,75.50837688452859,74.20391253762591,-1.3044643469026767
N8_E11b_T12b,75.65445095754836,74.56195952539917,-1.0924914321491883
N8_E11b_T12e,75.57351687467848,,
