proxy_score,rho_full,p_full,n_full,rho_no_e11b,p_no_e11b,n_no_e11b,rho_vs_rawgnn,p_vs_rawgnn,n_rawgnn,cost_category,ragas_independent
homophily,-0.038310708317909774,0.928237677235886,8,-0.8451542547285165,0.034109423167409676,6,-0.5408987230262506,0.26777767151474974,6,graph_only,False
hop_reachability_fraction,-0.7509392614826383,0.00013593257707635804,20,-0.8183170883849713,0.0001921825741298847,15,-0.5891883036371793,0.020820689305471287,15,question_aware,False
n_communities,0.8755987131746401,6.286654296564437e-13,38,0.7447712788000589,2.3596057100370937e-06,30,0.369412043999415,0.04452887288591214,30,graph_only,False
modularity,0.8298068396964094,4.315651624350683e-09,32,0.6605866445768617,0.00044233084171948117,24,0.1192602734168965,0.5788595345103096,24,graph_only,True
link_pred_auc,0.7918981697545696,6.717117922842124e-08,32,0.5571160262602727,0.004684060559063894,24,0.09447133884286717,0.6605957480162523,24,graph_only,True
mean_degree,-0.7692256869065361,1.6773287752533597e-08,38,-0.5355201170580759,0.0022910381979467606,30,0.17482227915754375,0.35548788230428263,30,graph_only,True
mean_community_size,-0.7632738045318473,2.5143711572247635e-08,38,-0.516571637768742,0.0034715618820639004,30,0.17978497611427402,0.3417783631859117,30,graph_only,True
precision_at_1,0.3185965464321549,0.17098194397038324,20,0.47245559126153397,0.07534550110306507,15,0.6614378277661476,0.007243925986522502,15,question_aware,False
precision_at_5,0.30847977962273343,0.1857417047404862,20,0.45135378373869656,0.09126137615681856,15,0.7197263037995433,0.0024844245159124454,15,question_aware,False
precision_at_3,0.30847977962273343,0.1857417047404862,20,0.45135378373869656,0.09126137615681856,15,0.7197263037995433,0.0024844245159124454,15,question_aware,False
clustering_coeff_mean,-0.7044163010488139,7.991077962740065e-07,38,-0.40288076203273954,0.027285526900403395,30,0.43468713798269265,0.01637569245057332,30,graph_only,False
neighborhood_coherence_mean,0.5336466094908292,0.0016587199618837579,32,0.382360778561784,0.06518832679659348,24,-0.05443330528136509,0.8005626854871837,24,question_aware,True
query_alignment_delta,0.3670768045507103,0.12211096754297968,19,0.37135066227475966,0.19112122593394687,14,-0.004641883278434495,0.9874347281525,14,question_aware,False
isolated_node_fraction,0.683792303285796,2.219962518171814e-06,38,0.364983803454072,0.04734851123732114,30,-0.46987717094859827,0.008794532189493045,30,graph_only,False
pagerank_mean,-0.1681867213130825,0.3128057476784047,38,-0.30858610257164026,0.09708548494263328,30,-0.8951908164224471,2.4647821285020647e-11,30,graph_only,False
pagerank_std,-0.6385047147513345,1.6076699290562877e-05,38,-0.26121832163152986,0.16322600500388393,30,-0.24790927070211688,0.18653859013417345,30,graph_only,False
largest_community_fraction,-0.6202081874513653,3.277837564793076e-05,38,-0.23053983135356093,0.22032805192827543,30,0.2655042871850697,0.15618125538647504,30,graph_only,False
largest_cc_fraction,-0.6202081874513653,3.277837564793076e-05,38,-0.23053983135356093,0.22032805192827543,30,0.2655042871850697,0.15618125538647504,30,graph_only,False
diameter,-0.18626779378250743,0.26283783509692665,38,-0.19937160820374572,0.2908528350755863,30,0.2124188891080092,0.2597640736254126,30,graph_only,False
pagerank_gini,-0.2846983735892797,0.08319753786615651,38,-0.17188977641038494,0.36374080325280655,30,0.3002431658821816,0.10694766379014724,30,graph_only,False
neighborhood_coherence_std,0.2605407615588882,0.1498069793177359,32,0.14161510317103113,0.5092071467972894,24,-0.12524085686688066,0.559824404476001,24,question_aware,False
singleton_fraction,0.5478750244844109,0.000370183730276936,38,0.08797508241476396,0.6438787219703963,30,-0.6742500547121268,4.4009125668275473e-05,30,graph_only,False
betweenness_mean,,,0,,,0,,,0,graph_only,False
mean_hop_distance,-0.7703288865196432,0.0007786142225595833,15,,,10,,,10,question_aware,False
