proxy_score,rho_vs_ragas,p_vs_ragas,n_ragas,rho_vs_rawgnn,p_vs_rawgnn,n_rawgnn,cost_category,ragas_independent
query_alignment_delta,-0.8533103351879247,0.030698562972677874,6,0.08827348295047496,0.8679336982351336,6,question_aware,True
mean_hop_length,-0.7559289460184545,0.030019745287544385,8,0.37796447300922725,0.355917683749582,8,question_aware,False
pagerank_std,-0.6434064080764751,0.002208759207925062,20,-0.7398793877998663,0.0001922353605145176,20,graph_only,False
diameter,0.5837655090356317,0.006886075216002436,20,0.5938038048259269,0.005772885244626352,20,graph_only,False
coherence_mean,0.579877197899103,0.00736196198618435,20,0.6343826264222563,0.0026624516025438717,20,question_aware,False
largest_community_fraction,-0.5583278747771064,0.010512004529230769,20,0.2537163403749028,0.2804183465309277,20,graph_only,True
mean_degree,-0.5583278747771064,0.010512004529230769,20,0.2537163403749028,0.2804183465309277,20,graph_only,True
homophily,0.5491201525567067,0.15864929566929042,8,-0.0510809444238797,0.9043897033061394,8,graph_only,True
clustering_coeff_mean,-0.5181465551762425,0.01926580575785555,20,0.3738331442530816,0.10444296117810087,20,graph_only,False
singleton_fraction,0.5166539178765956,0.01967790657172575,20,-0.3785234021666048,0.09982302993042545,20,graph_only,False
isolated_node_fraction,0.5096365555072975,0.0217104471964739,20,-0.3945822422185288,0.08513043483270659,20,graph_only,False
link_pred_auc,0.506581886647669,0.02264571845982007,20,0.3282834280541541,0.15762105229161624,20,graph_only,False
mean_community_size,-0.4992619684068124,0.025017199361042092,20,0.38089590902768977,0.09754363594627574,20,graph_only,False
n_communities,0.48408683258897617,0.030557236396815735,20,0.3019852027749413,0.19565740320448918,20,graph_only,False
pagerank_gini,-0.2863804201237675,0.2209115852449106,20,-0.8340734782384529,4.8751815922131055e-06,20,graph_only,False
hop_within3_frac,0.2057377999494559,0.6249889931613329,8,-0.36004114991154784,0.3809940672366918,8,question_aware,False
hop_reachable_frac,0.2057377999494559,0.6249889931613329,8,-0.36004114991154784,0.3809940672366918,8,question_aware,False
largest_cc_fraction,-0.20035000133481376,0.39703054973305973,20,0.4981883174953798,0.025380943136007212,20,graph_only,False
modularity,0.19575925205008754,0.408158102091855,20,-0.5159546178064324,0.019873376881478718,20,graph_only,False
pagerank_mean,0.13056840381602935,0.5832254436731077,20,-0.567620725571481,0.00904115535624675,20,graph_only,False
coherence_std,-0.003028079362397405,0.9898910936790927,20,-0.03330887298637145,0.8891275463277932,20,question_aware,False
betweenness_mean,,,0,,,0,graph_only,False
precision_at_1,,,8,,,8,question_aware,False
precision_at_3,,,8,,,8,question_aware,False
precision_at_5,,,8,,,8,question_aware,False
