variant,mean_ragas_composite,num_nodes,num_edges,mean_degree,isolated_node_fraction,largest_cc_fraction,diameter,n_communities,modularity,mean_community_size,largest_community_fraction,singleton_fraction,pagerank_mean,pagerank_std,pagerank_gini,clustering_coeff_mean,betweenness_mean,link_pred_auc,node_type,homophily,node_type_l2,precision_at_1,precision_at_3,precision_at_5,q6_skip_rate,mean_hop_length,hop_reachable_frac,hop_within3_frac,q7_skip_rate,coherence_mean,coherence_std,query_alignment_delta,q9_skip_rate,raw_gnn_train_mean
N7_E10b_T12a,0.7186979269696844,9178,4021,0.8762257572455873,0.5633035519721072,0.0765962083242536,25.0,6400,0.973850107131541,1.4340625,0.010786663761168,0.8078125,0.0001089561996077,9.728793016207686e-05,0.4476435033747412,0.1311870520564652,,0.9272852157124823,N7,0.8144740114399404,N7,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.4493026393782796,0.1725128575203925,-0.0454023480415344,0.8571428571428571,54.33494941329088
N7_E10b_T12b,0.7064735941561183,9178,4021,0.8762257572455873,0.5633035519721072,0.0765962083242536,25.0,6400,0.973850107131541,1.4340625,0.010786663761168,0.8078125,0.0001089561996077,9.728793016207686e-05,0.4476435033747412,0.1311870520564652,,0.8649662137075815,N7,0.8144740114399404,N7,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.3247967894640495,0.1722965775619486,-0.0239162445068359,0.8571428571428571,38.12631047833317
N7_E10c_T12a,0.6909897077904231,9178,4021,0.8762257572455873,0.5633035519721072,0.0765962083242536,25.0,6400,0.973850107131541,1.4340625,0.010786663761168,0.8078125,0.0001089561996077,9.728793016207686e-05,0.4476435033747412,0.1311870520564652,,0.9272852157124823,N7,0.8144740114399404,N7,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.4493026393782796,0.1725128575203925,-0.0454023480415344,0.8571428571428571,54.0127083719375
N7_E10c_T12b,0.6868140768072674,9178,4021,0.8762257572455873,0.5633035519721072,0.0765962083242536,25.0,6400,0.973850107131541,1.4340625,0.010786663761168,0.8078125,0.0001089561996077,9.728793016207686e-05,0.4476435033747412,0.1311870520564652,,0.8649662137075815,N7,0.8144740114399404,N7,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.3247967894640495,0.1722965775619486,-0.0239162445068359,0.8571428571428571,38.50200508013276
N7_E11a_T12a,0.6920706595390858,9178,692,0.1507953802571366,0.9048812377424276,0.0146001307474395,15.0,8615,0.9486211116308596,1.065351131746953,0.0059925909784266,0.9640162507254788,0.0001089561996077,0.0001202558805412,0.3083160327255208,0.0104305829518294,,1.0,N7,0.934971098265896,N7,1.0,1.0,1.0,0.0,1.0,0.1666666666666666,0.1666666666666666,0.0,0.7860007292678556,0.0368143173587092,,1.0,54.39232184447354
N7_E11a_T12b,0.696853293137719,9178,468,0.1019830028328611,0.9228590106777076,0.0018522553933318,5.0,8760,0.9888870626050114,1.047716894977169,0.0018522553933318,0.9668949771689498,0.0001089561996077,0.0001119745395445,0.2678392150605566,0.0074671315464516,,1.0,N7,0.8012820512820513,N7,1.0,1.0,1.0,0.0,1.0,0.1666666666666666,0.1666666666666666,0.0,0.8016674008043039,0.0493541124381584,,1.0,38.84224683044496
N7_E11b_T12a,0.3585466922831131,9178,447618,97.54151231205056,0.0,0.5633035519721072,2.0,8,0.5979476750124827,1147.25,0.5633035519721072,0.0,0.0001089561996077,0.0004136871404752,0.4465218774558273,0.9677923785505618,,0.485450772934429,N7,0.1257612517816531,N7,1.0,1.0,1.0,0.0,2.0,0.3333333333333333,0.3333333333333333,0.0,0.1091496735490546,0.0568149805589569,-0.0155613677842276,0.0,54.6727677274258
N7_E11b_T12b,0.3613249036107747,9178,447618,97.54151231205056,0.0,0.5633035519721072,2.0,8,0.5979476750124827,1147.25,0.5633035519721072,0.0,0.0001089561996077,0.0004136871404752,0.4465218774558273,0.9677923785505618,,0.488683454577957,N7,0.1257612517816531,N7,1.0,1.0,1.0,0.0,2.0,0.3333333333333333,0.3333333333333333,0.0,0.0962830921500838,0.0418976054759184,-0.0175768477576119,0.0,38.97385968700546
N8_E10b_T12a,0.7151671905751262,24722,156282,12.643151848555942,0.0789580131057357,0.2104198689426421,26.0,6424,0.8798827176478154,3.84838107098381,0.0182833104117789,0.3038605230386052,4.0449801795971175e-05,1.3879002659746367e-05,0.1548451918547408,0.7084785670512707,,0.9929881617323794,N8,,N8,,,,1.0,,,,1.0,0.826845089029899,0.1236705364830729,,1.0,84.09192610201376
N8_E10b_T12b,0.6972166287172743,24722,156282,12.643151848555942,0.0789580131057357,0.2104198689426421,26.0,6424,0.8798827176478154,3.84838107098381,0.0182833104117789,0.3038605230386052,4.0449801795971175e-05,1.3879002659746367e-05,0.1548451918547408,0.7084785670512707,,0.9929881617323794,N8,,N8,,,,1.0,,,,1.0,0.826845089029899,0.1236705364830729,,1.0,84.15994164070705
N8_E10b_T12e,0.6984794622776179,24722,156282,12.643151848555942,0.0789580131057357,0.2104198689426421,26.0,6424,0.8798827176478154,3.84838107098381,0.0182833104117789,0.3038605230386052,4.0449801795971175e-05,1.3879002659746367e-05,0.1548451918547408,0.7084785670512707,,0.9929881617323794,N8,,N8,,,,1.0,,,,1.0,0.826845089029899,0.1236705364830729,,1.0,84.09470508459444
N8_E10c_T12a,0.7036429051512825,24722,156281,12.64307094895235,0.0789580131057357,0.2104198689426421,26.0,6426,0.8803346562259438,3.847183317771553,0.0154922740878569,0.3037659508247743,4.044980179597118e-05,1.3879007839036476e-05,0.1548451833067145,0.7084785670512707,,0.9929881617323794,N8,,N8,,,,1.0,,,,1.0,0.8268449863881882,0.1236705411616846,,1.0,84.19927924995822
N8_E10c_T12b,0.6814576058978947,24722,156281,12.64307094895235,0.0789580131057357,0.2104198689426421,26.0,6426,0.8803346562259438,3.847183317771553,0.0154922740878569,0.3037659508247743,4.044980179597118e-05,1.3879007839036476e-05,0.1548451833067145,0.7084785670512707,,0.9929881617323794,N8,,N8,,,,1.0,,,,1.0,0.8268449863881882,0.1236705411616846,,1.0,83.96151440123181
N8_E10c_T12e,0.7023588186578407,24722,156281,12.64307094895235,0.0789580131057357,0.2104198689426421,26.0,6427,0.8802712119989504,3.8465847207095054,0.0154922740878569,0.3037186867901043,4.044980179597118e-05,1.3879007839036476e-05,0.1548451833067145,0.7084785670512707,,0.9929881617323794,N8,,N8,,,,1.0,,,,1.0,0.8268449863881882,0.1236705411616846,,1.0,83.91195705663272
N8_E11a_T12a,0.7029281129529881,24722,172046,13.91845319957932,0.1598576166976781,0.3900169889167543,35.0,7435,0.871661784545194,3.325084061869536,0.068724213251355,0.5315400134498991,4.044980179597107e-05,2.5018022421123585e-05,0.2860231806220523,0.52918393018798,,0.9969643481417864,N8,,N8,,,,1.0,,,,1.0,0.8843901295068062,0.084310181984657,,1.0,77.15167803969665
N8_E11a_T12b,0.6921318131593535,24722,172046,13.91845319957932,0.1598576166976781,0.3900169889167543,35.0,7435,0.871661784545194,3.325084061869536,0.068724213251355,0.5315400134498991,4.044980179597107e-05,2.5018022421123585e-05,0.2860231806220523,0.52918393018798,,0.9969643481417864,N8,,N8,,,,1.0,,,,1.0,0.8843901295068062,0.084310181984657,,1.0,76.96327912207104
N8_E11a_T12e,0.6879115287261044,24722,172046,13.91845319957932,0.1598576166976781,0.3900169889167543,35.0,7435,0.871661784545194,3.325084061869536,0.068724213251355,0.5315400134498991,4.044980179597107e-05,2.5018022421123585e-05,0.2860231806220523,0.52918393018798,,0.9969643481417864,N8,,N8,,,,1.0,,,,1.0,0.8843901295068062,0.084310181984657,,1.0,77.11156244298212
N8_E11b_T12a,0.3890041045069805,24722,1171713,94.7911172235256,0.0,0.1785454251274168,2.0,37,0.8938370636566053,668.1621621621622,0.1785454251274168,0.0,4.0449801795970816e-05,0.0001159951325142,0.4353138020671898,0.8071602496486031,,0.5656905321928544,N8,,N8,,,,1.0,,,,1.0,0.2149270044014409,0.1746186367448894,,1.0,75.50837688452859
N8_E11b_T12b,0.3824264610498496,24722,1171713,94.7911172235256,0.0,0.1785454251274168,2.0,37,0.8938370636566053,668.1621621621622,0.1785454251274168,0.0,4.0449801795970816e-05,0.0001159951325142,0.4353138020671898,0.8071602496486031,,0.5656905321928544,N8,,N8,,,,1.0,,,,1.0,0.2149270044014409,0.1746186367448894,,1.0,75.65445095754836
N8_E11b_T12e,0.379258487682426,24722,1171713,94.7911172235256,0.0,0.1785454251274168,2.0,37,0.8938370636566053,668.1621621621622,0.1785454251274168,0.0,4.0449801795970816e-05,0.0001159951325142,0.4353138020671898,0.8071602496486031,,0.5656905321928544,N8,,N8,,,,1.0,,,,1.0,0.2149270044014409,0.1746186367448894,,1.0,75.57351687467848
