proxy,dataset,rho_full,p_full,n_full,rho_no_e11b,p_no_e11b,n_no_e11b,rho_vs_rawgnn,p_vs_rawgnn,n_rawgnn,ragas_independent,note
pagerank_std,arxiv,-0.8295150620062534,0.010857954728721145,8,-0.5976143046671969,0.2102953831183468,6,-0.8366600265340757,0.037840969485813045,6,False,
pagerank_std,amazon,-0.7200822998230957,0.04396480666491267,8,-0.8280786712108251,0.04179468045604526,6,0.0,1.0,6,True,
pagerank_std,electronics,-0.8461376739735587,0.0020275996038585757,10,-0.6943650748294136,0.0560144448658,8,-0.3086066999241838,0.4570516478374692,8,False,
pagerank_std,toys,-0.8082509124523546,0.00465926042883903,10,-0.6172133998483676,0.1030461731795404,8,-0.4629100498862757,0.24806639218090282,8,False,
link_pred_auc,arxiv,0.3086066999241838,0.4570516478374692,8,-0.8280786712108251,0.04179468045604526,6,-0.8280786712108251,0.04179468045604526,6,False,
link_pred_auc,amazon,-0.8944271909999159,0.10557280900008414,4,,,2,,,2,False,
link_pred_auc,electronics,0.956182887467515,0.002837845926734439,6,0.8944271909999159,0.10557280900008414,4,0.8944271909999159,0.10557280900008414,4,False,
link_pred_auc,toys,0.956182887467515,0.002837845926734439,6,0.8944271909999159,0.10557280900008414,4,0.8944271909999159,0.10557280900008414,4,False,
modularity,arxiv,-0.2439750182371333,0.560375584963329,8,0.8366600265340757,0.037840969485813045,6,0.5976143046671969,0.2102953831183468,6,False,
modularity,amazon,-0.8944271909999159,0.10557280900008414,4,,,2,,,2,False,
modularity,electronics,0.956182887467515,0.002837845926734439,6,0.8944271909999159,0.10557280900008414,4,0.8944271909999159,0.10557280900008414,4,False,
modularity,toys,0.956182887467515,0.002837845926734439,6,0.8944271909999159,0.10557280900008414,4,0.8944271909999159,0.10557280900008414,4,False,
n_communities,arxiv,0.3415650255319867,0.4076337385331202,8,-0.5976143046671969,0.2102953831183468,6,-0.8366600265340757,0.037840969485813045,6,False,
n_communities,amazon,0.7200822998230957,0.04396480666491267,8,0.8280786712108251,0.04179468045604526,6,0.0,1.0,6,True,
n_communities,electronics,0.8461376739735587,0.0020275996038585757,10,0.6943650748294136,0.0560144448658,8,0.3086066999241838,0.4570516478374692,8,False,
n_communities,toys,0.8082509124523546,0.00465926042883903,10,0.6172133998483676,0.1030461731795404,8,0.4629100498862757,0.24806639218090282,8,False,
mean_degree,arxiv,0.2439750182371333,0.560375584963329,8,-0.8366600265340757,0.037840969485813045,6,-0.5976143046671969,0.2102953831183468,6,False,
mean_degree,amazon,-0.9258200997725514,0.0009645351944151331,8,-0.8280786712108251,0.04179468045604526,6,0.0,1.0,6,True,
mean_degree,electronics,-0.8461376739735587,0.0020275996038585757,10,-0.6943650748294136,0.0560144448658,8,-0.3086066999241838,0.4570516478374692,8,False,
mean_degree,toys,-0.8082509124523546,0.00465926042883903,10,-0.6172133998483676,0.1030461731795404,8,-0.4629100498862757,0.24806639218090282,8,False,
largest_cc_fraction,arxiv,0.3086066999241838,0.4570516478374692,8,-0.8280786712108251,0.04179468045604526,6,-0.8280786712108251,0.04179468045604526,6,False,
largest_cc_fraction,amazon,-0.7200822998230957,0.04396480666491267,8,-0.8280786712108251,0.04179468045604526,6,0.0,1.0,6,True,
largest_cc_fraction,electronics,-0.8461376739735587,0.0020275996038585757,10,-0.6943650748294136,0.0560144448658,8,-0.3086066999241838,0.4570516478374692,8,False,
largest_cc_fraction,toys,-0.8082509124523546,0.00465926042883903,10,-0.6172133998483676,0.1030461731795404,8,-0.4629100498862757,0.24806639218090282,8,False,
pagerank_std,history,,,0,,,0,,,0,False,N/A -- no N8 exists for History
link_pred_auc,history,,,0,,,0,,,0,False,N/A -- no N8 exists for History
modularity,history,,,0,,,0,,,0,False,N/A -- no N8 exists for History
n_communities,history,,,0,,,0,,,0,False,N/A -- no N8 exists for History
mean_degree,history,,,0,,,0,,,0,False,N/A -- no N8 exists for History
largest_cc_fraction,history,,,0,,,0,,,0,False,N/A -- no N8 exists for History
