proxy_score,rho_full,p_full,n_full,rho_no_e11b,p_no_e11b,n_no_e11b,rho_vs_rawgnn,p_vs_rawgnn,n_rawgnn,ragas_independent,underpowered
homophily,0.3192559026492481,0.44082638352293146,8,-0.7775419143502353,0.06872694144108958,6,-0.8451542547285165,0.034109423167409676,6,False,False
pagerank_std,-0.6680436865368269,4.591294525728733e-06,38,-0.3807742028618501,0.037903253093150076,30,-0.07804968850130341,0.6818373700224392,30,True,False
link_pred_auc,0.7002544776565077,8.134622594361217e-06,32,0.2931394187943695,0.1644732605177249,24,0.10748445355793548,0.6171408783222658,24,False,False
n_communities,0.6450288234575287,1.2329867634255127e-05,38,0.29299967349068645,0.11610261794474215,30,-0.09736253741674948,0.6087660369981973,30,False,False
largest_cc_fraction,-0.6100679434055993,4.77321426592538e-05,38,-0.27430179542654604,0.14240912683659387,30,0.2526463905244503,0.17798884970748452,30,False,False
singleton_fraction,0.4039320134382227,0.01190248078990352,38,-0.20351983889425976,0.28072265786346284,30,-0.6870200086430536,2.7507286963418596e-05,30,False,False
clustering_coeff_mean,-0.553855720977983,0.0003093145988456647,38,-0.10511894462892309,0.5803793440912178,30,0.5003300840921703,0.004867213084433827,30,False,False
mean_degree,-0.5313708320069366,0.0005974379283897195,38,-0.07128237446939847,0.7081689063456057,30,0.3528026381966431,0.0558410854698264,30,False,False
isolated_node_fraction,0.47305411204977205,0.0027051112414324726,38,-0.06451506043749357,0.7348344582740227,30,-0.48228391334042386,0.006954885961546967,30,False,False
mean_community_size,-0.5216617090945646,0.0007829064166503805,38,-0.05284769297254259,0.781509125448661,30,0.3928719983958804,0.03174441945278698,30,False,False
modularity,0.5133846165196184,0.0026555537294320527,32,-0.02115194324847231,0.9218514687838535,24,-0.1819948450337305,0.394694916778598,24,False,False
