proxy_score,rho_full,p_full,n_full,rho_no_e11b,p_no_e11b,n_no_e11b,rho_vs_rawgnn,p_vs_rawgnn,n_rawgnn,ragas_independent,underpowered
n_communities,0.9404801560780579,0.00015975355590939954,9,0.9543135154205278,0.0008360075278773985,7,-0.6174969805662239,0.13954464740813832,7,False,False
mean_community_size,-0.9404801560780579,0.00015975355590939954,9,-0.9543135154205278,0.0008360075278773985,7,0.6174969805662239,0.13954464740813832,7,False,False
mean_degree,-0.9404801560780579,0.00015975355590939954,9,-0.9543135154205278,0.0008360075278773985,7,0.6174969805662239,0.13954464740813832,7,False,False
isolated_node_fraction,0.9404801560780579,0.00015975355590939954,9,0.9543135154205278,0.0008360075278773985,7,-0.6174969805662239,0.13954464740813832,7,False,False
largest_cc_fraction,-0.46169025843831935,0.21091324400672062,9,-0.9543135154205278,0.0008360075278773985,7,0.6174969805662239,0.13954464740813832,7,False,False
clustering_coeff_mean,-0.9404801560780579,0.00015975355590939954,9,-0.9543135154205278,0.0008360075278773985,7,0.6174969805662239,0.13954464740813832,7,False,False
modularity,0.44459061923690013,0.23052281353954826,9,0.9168894559922718,0.0036557676856843885,7,-0.6923450994227357,0.08472434870236932,7,False,False
homophily,0.9233805168766387,0.0003801205782783625,9,0.9168894559922718,0.0036557676856843885,7,-0.6923450994227357,0.08472434870236932,7,False,False
link_pred_auc,0.6276205565667923,0.07036502278970762,9,0.6666937223947136,0.10192046024618229,7,-0.07207499701564472,0.8779592508225129,7,False,False
singleton_fraction,0.6326866504525117,0.0674520804112077,9,0.3929526239966879,0.3831908230684289,7,0.16840826742715195,0.7181381759448044,7,False,False
pagerank_std,0.1538967528127731,0.6926061605568505,9,-0.05613608914238399,0.9048505011274567,7,-0.5052248022814558,0.24743899672082056,7,False,False
