proxy_score,rho_full,p_full,n_full,rho_no_e11b,p_no_e11b,n_no_e11b,rho_vs_rawgnn,p_vs_rawgnn,n_rawgnn,ragas_independent,underpowered
homophily,0.3192559026492481,0.44082638352293146,8,-0.7775419143502353,0.06872694144108958,6,-0.7775419143502353,0.06872694144108958,6,False,False
modularity,0.5801435382499747,0.0005006154159137593,32,0.6481729358197127,0.0006143904245077813,24,0.4406866608787923,0.0311333827722966,24,False,False
n_communities,0.7229154247031784,2.961790322798354e-07,38,0.43231502362779833,0.017038756028069275,30,0.45930612034106827,0.010671073758622673,30,False,False
link_pred_auc,0.7341209839426395,1.7357346586130038e-06,32,0.42688684421052586,0.037486784711545894,24,0.14038264370108297,0.5129377556189992,24,True,False
mean_degree,-0.6325528323766457,2.0371572047885737e-05,38,-0.2512929277180693,0.18040296720744312,30,0.21204250633302082,0.2606291776274699,30,False,False
mean_community_size,-0.6325528323766457,2.0371572047885737e-05,38,-0.2512929277180693,0.18040296720744312,30,0.21204250633302082,0.2606291776274699,30,False,False
clustering_coeff_mean,-0.5571623222972547,0.0002796601362689212,38,-0.09699816779063718,0.6101137943145225,30,0.4534100401376296,0.011856487045690794,30,False,False
isolated_node_fraction,0.5523022974095374,0.0003241947324391494,38,0.09699816779063718,0.6101137943145225,30,-0.4534100401376296,0.011856487045690794,30,False,False
singleton_fraction,0.5359213875865692,0.0005248537036324138,38,0.06361275189990624,0.7384135909027381,30,-0.6022909488395378,0.0004288781962849631,30,False,False
largest_cc_fraction,-0.4661205659733115,0.003182744393696815,38,0.059552363480763294,0.7545851082049255,30,0.36994650041080224,0.04419781713288756,30,False,False
pagerank_std,-0.5064611020684243,0.001176713623759699,38,-0.032483107353143616,0.8646939844743667,30,-0.1921917185060997,0.30892853549021493,30,False,False
