variant,num_nodes,num_edges,mean_degree,isolated_node_fraction,largest_cc_fraction,diameter,n_communities,modularity,mean_community_size,largest_community_fraction,singleton_fraction,pagerank_mean,pagerank_std,pagerank_gini,clustering_coeff_mean,betweenness_mean,link_pred_auc,node_type,homophily
N7_E10b_T12a,8610,13921,3.2336817653890826,0.49117305458768873,0.00743321718931475,1.0,5519,0.965929756395599,1.5600652292081898,0.00743321718931475,0.7662620039862293,0.00011614401858304411,8.427795845422367e-05,0.36276006905229113,0.3357723577235772,,0.6142029784317611,N7,0.813878313339559
N7_E10b_T12b,8610,13921,3.2336817653890826,0.49117305458768873,0.00743321718931475,1.0,5519,0.965929756395599,1.5600652292081898,0.00743321718931475,0.7662620039862293,0.00011614401858304411,8.427795845422367e-05,0.36276006905229113,0.3357723577235772,,0.5917346867155503,N7,0.813878313339559
N7_E10c_T12a,8610,13921,3.2336817653890826,0.49117305458768873,0.00743321718931475,1.0,5519,0.965929756395599,1.5600652292081898,0.00743321718931475,0.7662620039862293,0.00011614401858304411,8.427795845422367e-05,0.36276006905229113,0.3357723577235772,,0.6142029784317611,N7,0.813878313339559
N7_E10c_T12b,8610,13921,3.2336817653890826,0.49117305458768873,0.00743321718931475,1.0,5519,0.965929756395599,1.5600652292081898,0.00743321718931475,0.7662620039862293,0.00011614401858304411,8.427795845422367e-05,0.36276006905229113,0.3357723577235772,,0.5917346867155503,N7,0.813878313339559
N7_E11a_T12a,8610,4450,1.0336817653890824,0.6797909407665506,0.013472706155632985,11.0,6448,0.9739491730842066,1.3352977667493797,0.007665505226480836,0.9077233250620348,0.0001161440185830522,0.0001256173473028008,0.4874732996981322,0.09436407947593274,,1.0,N7,0.7501123595505618
N7_E11a_T12b,8610,9408,2.1853658536585368,0.5451800232288038,0.02497096399535424,12.0,5491,0.9717332913315199,1.5680203970132944,0.01289198606271777,0.8548533964669459,0.00011614401858304197,0.00010600773111943868,0.46508450200805257,0.19810118686255712,,1.0,N7,0.7097151360544217
N7_E11b_T12a,8610,402955,93.60162601626017,0.0,0.49117305458768873,2.0,17,0.6814261069461118,506.47058823529414,0.49117305458768873,0.0,0.00011614401858304041,0.0003400138027946619,0.43019408045267016,0.9158747156062361,,0.4952806526861296,N7,0.730265166085543
N7_E11b_T12b,8610,402955,93.60162601626017,0.0,0.49117305458768873,2.0,17,0.6814261069461118,506.47058823529414,0.49117305458768873,0.0,0.00011614401858304041,0.0003400138027946619,0.43019408045267016,0.9158747156062361,,0.492064701015887,N7,0.730265166085543
N8_E10a_T12a,5519,243,0.08805943105635079,0.9351331763000543,0.0007247689798876608,1.0,5321,0.9898897525783671,1.037211050554407,0.0007247689798876608,0.969930464198459,0.00018119224497192292,0.00017747995151234634,0.24124467962363544,0.01811922449719152,,0.9913194444444444,N8,
N8_E10a_T12b,5519,243,0.08805943105635079,0.9351331763000543,0.0007247689798876608,1.0,5321,0.9898897525783671,1.037211050554407,0.0007247689798876608,0.969930464198459,0.00018119224497192292,0.00017747995151234634,0.24124467962363544,0.01811922449719152,,0.9913194444444444,N8,
N8_E10a_T12e,5519,243,0.08805943105635079,0.9351331763000543,0.0007247689798876608,1.0,5321,0.9898897525783671,1.037211050554407,0.0007247689798876608,0.969930464198459,0.00018119224497192292,0.00017747995151234634,0.24124467962363544,0.01811922449719152,,0.9913194444444444,N8,
N8_E10b_T12a,5519,0,0.0,1.0,0.0001811922449719152,0.0,5519,,1.0,0.0001811922449719152,1.0,0.00018119224497192485,2.710505431213761e-20,4.943801604128981e-16,0.0,,,N8,
N8_E10b_T12b,5519,0,0.0,1.0,0.0001811922449719152,0.0,5519,,1.0,0.0001811922449719152,1.0,0.00018119224497192485,2.710505431213761e-20,4.943801604128981e-16,0.0,,,N8,
N8_E10b_T12e,5519,0,0.0,1.0,0.0001811922449719152,0.0,5519,,1.0,0.0001811922449719152,1.0,0.00018119224497192485,2.710505431213761e-20,4.943801604128981e-16,0.0,,,N8,
N8_E10c_T12a,5519,0,0.0,1.0,0.0001811922449719152,0.0,5519,,1.0,0.0001811922449719152,1.0,0.00018119224497192485,2.710505431213761e-20,4.943801604128981e-16,0.0,,,N8,
N8_E10c_T12b,5519,0,0.0,1.0,0.0001811922449719152,0.0,5519,,1.0,0.0001811922449719152,1.0,0.00018119224497192485,2.710505431213761e-20,4.943801604128981e-16,0.0,,,N8,
N8_E10c_T12e,5519,0,0.0,1.0,0.0001811922449719152,0.0,5519,,1.0,0.0001811922449719152,1.0,0.00018119224497192485,2.710505431213761e-20,4.943801604128981e-16,0.0,,,N8,
N8_E11a_T12a,5519,71236,25.814821525638703,0.5520927704294256,0.3817720601558253,17.0,3219,0.26228007915809665,1.7145076110593351,0.08026816452255843,0.9465672569120845,0.00018119224497191883,0.0002935121179000399,0.5830725750748893,0.26471657252061354,,0.7525682818986467,N8,
N8_E11a_T12b,5519,71236,25.814821525638703,0.5520927704294256,0.3817720601558253,17.0,3219,0.26228007915809665,1.7145076110593351,0.08026816452255843,0.9465672569120845,0.00018119224497191883,0.0002935121179000399,0.5830725750748893,0.26471657252061354,,0.7525682818986467,N8,
N8_E11a_T12e,5519,71236,25.814821525638703,0.5520927704294256,0.3817720601558253,17.0,3219,0.26228007915809665,1.7145076110593351,0.08026816452255843,0.9465672569120845,0.00018119224497191883,0.0002935121179000399,0.5830725750748893,0.26471657252061354,,0.7525682818986467,N8,
N8_E11b_T12a,5519,274675,99.53795977532161,0.0,1.0,2.0,1,0.0,5519.0,1.0,0.0,0.00018119224497191303,0.0008684662048521553,0.4541422287851466,0.9911005870480128,,0.5120836981858645,N8,
N8_E11b_T12b,5519,274675,99.53795977532161,0.0,1.0,2.0,1,0.0,5519.0,1.0,0.0,0.00018119224497191303,0.0008684662048521553,0.4541422287851466,0.9911005870480128,,0.5120836981858645,N8,
N8_E11b_T12e,5519,274675,99.53795977532161,0.0,1.0,2.0,1,0.0,5519.0,1.0,0.0,0.00018119224497191303,0.0008684662048521553,0.4541422287851466,0.9911005870480128,,0.5120836981858645,N8,
N8_E11c_T12a,5519,243,0.08805943105635079,0.9351331763000543,0.0007247689798876608,1.0,5321,0.9898897525783671,1.037211050554407,0.0007247689798876608,0.969930464198459,0.00018119224497192292,0.00017747995151234634,0.24124467962363544,0.01811922449719152,,0.9913194444444444,N8,
N8_E11c_T12b,5519,243,0.08805943105635079,0.9351331763000543,0.0007247689798876608,1.0,5321,0.9898897525783671,1.037211050554407,0.0007247689798876608,0.969930464198459,0.00018119224497192292,0.00017747995151234634,0.24124467962363544,0.01811922449719152,,0.9913194444444444,N8,
N8_E11c_T12e,5519,243,0.08805943105635079,0.9351331763000543,0.0007247689798876608,1.0,5321,0.9898897525783671,1.037211050554407,0.0007247689798876608,0.969930464198459,0.00018119224497192292,0.00017747995151234634,0.24124467962363544,0.01811922449719152,,0.9913194444444444,N8,
N9_E10b_T12a,8238,13918,3.378975479485312,0.47936392328235006,0.015780529254673464,5.0,5153,0.957527748954157,1.5986803803609548,0.007890264627336732,0.766349699204347,0.00012138868657441114,8.8179257728176e-05,0.3693539087245221,0.3406850572697408,,0.6043808378913226,N9,
N9_E10b_T12b,8238,13918,3.378975479485312,0.47936392328235006,0.015780529254673464,5.0,5153,0.957527748954157,1.5986803803609548,0.007890264627336732,0.766349699204347,0.00012138868657441114,8.8179257728176e-05,0.3693539087245221,0.3406850572697408,,0.6043808378913226,N9,
N9_E10b_T12e,8238,13918,3.378975479485312,0.47936392328235006,0.015780529254673464,5.0,5153,0.957527748954157,1.5986803803609548,0.007890264627336732,0.766349699204347,0.00012138868657441114,8.8179257728176e-05,0.3693539087245221,0.3406850572697408,,0.6043808378913226,N9,
N9_E10c_T12a,8238,13918,3.378975479485312,0.47936392328235006,0.015780529254673464,5.0,5153,0.957527748954157,1.5986803803609548,0.007890264627336732,0.766349699204347,0.00012138868657441114,8.8179257728176e-05,0.3693539087245221,0.3406850572697408,,0.6040268109511644,N9,
N9_E10c_T12b,8238,13918,3.378975479485312,0.47936392328235006,0.015780529254673464,5.0,5153,0.957527748954157,1.5986803803609548,0.007890264627336732,0.766349699204347,0.00012138868657441114,8.8179257728176e-05,0.3693539087245221,0.3406850572697408,,0.6040268109511644,N9,
N9_E10c_T12e,8238,13918,3.378975479485312,0.47936392328235006,0.015780529254673464,5.0,5153,0.957527748954157,1.5986803803609548,0.007890264627336732,0.766349699204347,0.00012138868657441114,8.8179257728176e-05,0.3693539087245221,0.3406850572697408,,0.6040268109511644,N9,
N9_E11a_T12a,8238,7545,1.831755280407866,0.5848506919155134,0.023306627822286964,12.0,5493,0.9715844890893209,1.4997269251774987,0.010924981791697014,0.8771163298743856,0.00012138868657441442,0.00011834854901305767,0.4813036338361419,0.1604361618005289,,1.0,N9,
N9_E11a_T12b,8238,7545,1.831755280407866,0.5848506919155134,0.023306627822286964,12.0,5493,0.9715844890893209,1.4997269251774987,0.010924981791697014,0.8771163298743856,0.00012138868657441442,0.00011834854901305767,0.4813036338361419,0.1604361618005289,,1.0,N9,
