variant,num_nodes,num_edges,mean_degree,isolated_node_fraction,largest_cc_fraction,diameter,n_communities,modularity,mean_community_size,largest_community_fraction,singleton_fraction,pagerank_mean,pagerank_std,pagerank_gini,clustering_coeff_mean,betweenness_mean,link_pred_auc,node_type,homophily
N7_E10b_T12a,9178,4021,0.8762257572455873,0.5633035519721072,0.07659620832425365,25.0,6400,0.973850107131541,1.4340625,0.01078666376116801,0.8078125,0.00010895619960775562,9.728793016207686e-05,0.4476435033747412,0.1311870520564652,,0.9272852157124825,N7,0.8144740114399404
N7_E10b_T12b,9178,4021,0.8762257572455873,0.5633035519721072,0.07659620832425365,25.0,6400,0.973850107131541,1.4340625,0.01078666376116801,0.8078125,0.00010895619960775562,9.728793016207686e-05,0.4476435033747412,0.1311870520564652,,0.8649662137075815,N7,0.8144740114399404
N7_E10c_T12a,9178,4021,0.8762257572455873,0.5633035519721072,0.07659620832425365,25.0,6400,0.973850107131541,1.4340625,0.01078666376116801,0.8078125,0.00010895619960775562,9.728793016207686e-05,0.4476435033747412,0.1311870520564652,,0.9272852157124825,N7,0.8144740114399404
N7_E10c_T12b,9178,4021,0.8762257572455873,0.5633035519721072,0.07659620832425365,25.0,6400,0.973850107131541,1.4340625,0.01078666376116801,0.8078125,0.00010895619960775562,9.728793016207686e-05,0.4476435033747412,0.1311870520564652,,0.8649662137075815,N7,0.8144740114399404
N7_E11a_T12a,9178,692,0.15079538025713662,0.9048812377424276,0.01460013074743953,15.0,8615,0.9486211116308596,1.065351131746953,0.005992590978426673,0.9640162507254788,0.00010895619960776003,0.00012025588054128269,0.3083160327255208,0.01043058295182941,,1.0,N7,0.934971098265896
N7_E11a_T12b,9178,468,0.10198300283286119,0.9228590106777076,0.0018522553933318807,5.0,8760,0.9888870626050114,1.047716894977169,0.0018522553933318807,0.9668949771689498,0.00010895619960776313,0.00011197453954458354,0.26783921506055663,0.007467131546451659,,1.0,N7,0.8012820512820513
N7_E11b_T12a,9178,447618,97.54151231205056,0.0,0.5633035519721072,2.0,8,0.5979476750124827,1147.25,0.5633035519721072,0.0,0.00010895619960776024,0.00041368714047525896,0.44652187745582733,0.9677923785505618,,0.48545077293442906,N7,0.1257612517816531
N7_E11b_T12b,9178,447618,97.54151231205056,0.0,0.5633035519721072,2.0,8,0.5979476750124827,1147.25,0.5633035519721072,0.0,0.00010895619960776024,0.00041368714047525896,0.44652187745582733,0.9677923785505618,,0.488683454577957,N7,0.1257612517816531
N8_E10b_T12a,24722,156282,12.643151848555942,0.07895801310573579,0.21041986894264217,26.0,6424,0.8798827176478154,3.8483810709838107,0.018283310411778983,0.3038605230386052,4.0449801795971175e-05,1.3879002659746367e-05,0.1548451918547408,0.7084785670512707,,0.9929881617323794,N8,
N8_E10b_T12b,24722,156282,12.643151848555942,0.07895801310573579,0.21041986894264217,26.0,6424,0.8798827176478154,3.8483810709838107,0.018283310411778983,0.3038605230386052,4.0449801795971175e-05,1.3879002659746367e-05,0.1548451918547408,0.7084785670512707,,0.9929881617323794,N8,
N8_E10b_T12e,24722,156282,12.643151848555942,0.07895801310573579,0.21041986894264217,26.0,6424,0.8798827176478154,3.8483810709838107,0.018283310411778983,0.3038605230386052,4.0449801795971175e-05,1.3879002659746367e-05,0.1548451918547408,0.7084785670512707,,0.9929881617323794,N8,
N8_E10c_T12a,24722,156281,12.64307094895235,0.07895801310573579,0.21041986894264217,26.0,6426,0.8803346562259438,3.847183317771553,0.01549227408785697,0.30376595082477437,4.044980179597118e-05,1.3879007839036475e-05,0.1548451833067145,0.7084785670512707,,0.9929881617323794,N8,
N8_E10c_T12b,24722,156281,12.64307094895235,0.07895801310573579,0.21041986894264217,26.0,6426,0.8803346562259438,3.847183317771553,0.01549227408785697,0.30376595082477437,4.044980179597118e-05,1.3879007839036475e-05,0.1548451833067145,0.7084785670512707,,0.9929881617323794,N8,
N8_E10c_T12e,24722,156281,12.64307094895235,0.07895801310573579,0.21041986894264217,26.0,6427,0.8802712119989504,3.8465847207095067,0.01549227408785697,0.3037186867901043,4.044980179597118e-05,1.3879007839036475e-05,0.1548451833067145,0.7084785670512707,,0.9929881617323794,N8,
N8_E11a_T12a,24722,172046,13.918453199579321,0.15985761669767817,0.3900169889167543,35.0,7435,0.871661784545194,3.325084061869536,0.06872421325135507,0.5315400134498991,4.044980179597107e-05,2.5018022421123585e-05,0.2860231806220523,0.52918393018798,,0.9969643481417865,N8,
N8_E11a_T12b,24722,172046,13.918453199579321,0.15985761669767817,0.3900169889167543,35.0,7435,0.871661784545194,3.325084061869536,0.06872421325135507,0.5315400134498991,4.044980179597107e-05,2.5018022421123585e-05,0.2860231806220523,0.52918393018798,,0.9969643481417865,N8,
N8_E11a_T12e,24722,172046,13.918453199579321,0.15985761669767817,0.3900169889167543,35.0,7435,0.871661784545194,3.325084061869536,0.06872421325135507,0.5315400134498991,4.044980179597107e-05,2.5018022421123585e-05,0.2860231806220523,0.52918393018798,,0.9969643481417865,N8,
N8_E11b_T12a,24722,1171713,94.7911172235256,0.0,0.17854542512741686,2.0,37,0.8938370636566053,668.1621621621622,0.17854542512741686,0.0,4.0449801795970816e-05,0.00011599513251425242,0.43531380206718984,0.8071602496486031,,0.5656905321928544,N8,
N8_E11b_T12b,24722,1171713,94.7911172235256,0.0,0.17854542512741686,2.0,37,0.8938370636566053,668.1621621621622,0.17854542512741686,0.0,4.0449801795970816e-05,0.00011599513251425242,0.43531380206718984,0.8071602496486031,,0.5656905321928544,N8,
N8_E11b_T12e,24722,1171713,94.7911172235256,0.0,0.17854542512741686,2.0,37,0.8938370636566053,668.1621621621622,0.17854542512741686,0.0,4.0449801795970816e-05,0.00011599513251425242,0.43531380206718984,0.8071602496486031,,0.5656905321928544,N8,
