variant,num_nodes,num_edges,mean_degree,isolated_node_fraction,largest_cc_fraction,diameter,n_communities,modularity,mean_community_size,largest_community_fraction,singleton_fraction,pagerank_mean,pagerank_std,pagerank_gini,clustering_coeff_mean,betweenness_mean,link_pred_auc,_timing,node_type,dataset,homophily
N8_E10a_T12a,3641,428,0.23510024718483932,0.8508651469376545,0.0019225487503433123,1.0,3334,0.9867892392348676,1.0920815836832634,0.0019225487503433123,0.9292141571685663,0.00027464982147761604,0.0002972554781797049,0.38554092816605057,0.042021422686075255,0.0,0.8492063492063492,louvain=0.3s pagerank=0.1s clustering=0.0s betweenness=12.2s,N8,electronics,
N8_E10a_T12b,3641,428,0.23510024718483932,0.8508651469376545,0.0019225487503433123,1.0,3334,0.9867892392348676,1.0920815836832634,0.0019225487503433123,0.9292141571685663,0.00027464982147761604,0.0002972554781797049,0.38554092816605057,0.042021422686075255,0.0,0.8492063492063492,louvain=0.3s pagerank=0.0s clustering=0.0s betweenness=10.5s,N8,electronics,
N8_E10b_T12a,3641,0,0.0,1.0,0.00027464982147761604,0.0,3641,,1.0,0.00027464982147761604,1.0,0.00027464982147762157,5.421010862427522e-20,0.0,0.0,0.0,,louvain=0.0s pagerank=0.0s clustering=0.0s betweenness=7.8s,N8,electronics,
N8_E10b_T12b,3641,0,0.0,1.0,0.00027464982147761604,0.0,3641,,1.0,0.00027464982147761604,1.0,0.00027464982147762157,5.421010862427522e-20,0.0,0.0,0.0,,louvain=0.2s pagerank=0.0s clustering=0.0s betweenness=13.0s,N8,electronics,
N8_E10c_T12a,3641,0,0.0,1.0,0.00027464982147761604,0.0,3641,,1.0,0.00027464982147761604,1.0,0.00027464982147762157,5.421010862427522e-20,0.0,0.0,0.0,,louvain=0.0s pagerank=0.0s clustering=0.0s betweenness=7.8s,N8,electronics,
N8_E10c_T12b,3641,0,0.0,1.0,0.00027464982147761604,0.0,3641,,1.0,0.00027464982147761604,1.0,0.00027464982147762157,5.421010862427522e-20,0.0,0.0,0.0,,louvain=0.0s pagerank=0.0s clustering=0.0s betweenness=8.2s,N8,electronics,
N8_E11a_T12a,3641,70247,38.58665201867619,0.37462235649546827,0.5569898379566053,12.0,1489,0.21626439401642802,2.445265278710544,0.13897280966767372,0.916051040967092,0.00027464982147761734,0.00036892658208442786,0.565798610329105,0.3388430149760238,0.00020089830477299566,0.7100353701075648,louvain=3.0s pagerank=0.3s clustering=12.1s betweenness=143.9s,N8,electronics,
N8_E11a_T12b,3641,70247,38.58665201867619,0.37462235649546827,0.5569898379566053,12.0,1489,0.21626439401642802,2.445265278710544,0.13897280966767372,0.916051040967092,0.00027464982147761734,0.00036892658208442786,0.565798610329105,0.3388430149760238,0.00020089830477299566,0.7100353701075648,louvain=0.7s pagerank=0.1s clustering=3.6s betweenness=42.0s,N8,electronics,
N8_E11b_T12a,3641,180775,99.29964295523207,0.0,1.0,2.0,1,1.1102230246251565e-16,3641.0,1.0,0.0,0.00027464982147763165,0.001059421450630521,0.44891226046472693,0.9866347914494504,0.0002673041710109768,0.5108496862405906,louvain=1.5s pagerank=0.3s clustering=15.4s betweenness=559.2s,N8,electronics,
N8_E11b_T12b,3641,180775,99.29964295523207,0.0,1.0,2.0,1,1.1102230246251565e-16,3641.0,1.0,0.0,0.00027464982147763165,0.001059421450630521,0.44891226046472693,0.9866347914494504,0.0002673041710109768,0.5108496862405906,louvain=3.0s pagerank=0.5s clustering=46.4s betweenness=665.2s,N8,electronics,
N8_E10a_T12e,3641,428,0.23510024718483932,0.8508651469376545,0.0019225487503433123,1.0,3334,0.9867892392348676,1.0920815836832634,0.0019225487503433123,0.9292141571685663,0.00027464982147761604,0.0002972554781797049,0.38554092816605057,0.042021422686075255,0.0,0.8492063492063492,louvain=0.2s pagerank=0.0s clustering=0.0s betweenness=10.4s,N8,electronics,
N8_E10b_T12e,3641,0,0.0,1.0,0.00027464982147761604,0.0,3641,,1.0,0.00027464982147761604,1.0,0.00027464982147762157,5.421010862427522e-20,0.0,0.0,0.0,,louvain=0.0s pagerank=0.0s clustering=0.0s betweenness=13.0s,N8,electronics,
N8_E10c_T12e,3641,0,0.0,1.0,0.00027464982147761604,0.0,3641,,1.0,0.00027464982147761604,1.0,0.00027464982147762157,5.421010862427522e-20,0.0,0.0,0.0,,louvain=0.0s pagerank=0.0s clustering=0.0s betweenness=13.7s,N8,electronics,
