variant,num_nodes,num_edges,mean_degree,isolated_node_fraction,largest_cc_fraction,diameter,n_communities,modularity,mean_community_size,largest_community_fraction,singleton_fraction,pagerank_mean,pagerank_std,pagerank_gini,clustering_coeff_mean,betweenness_mean,link_pred_auc,node_type,homophily
N7_E10b_T12a,6927,71480,20.638082864154757,0.393532553775083,0.03796737404359752,1.0,3625,0.7462071710159396,1.9108965517241379,0.03796737404359752,0.752,0.000144362638949039,8.970133201613033e-05,0.30355553673786745,0.45864010394110005,,0.6706210392535281,N7,0.9116955791829883
N7_E10b_T12b,6927,71480,20.638082864154757,0.393532553775083,0.03796737404359752,1.0,3625,0.7462071710159396,1.9108965517241379,0.03796737404359752,0.752,0.000144362638949039,8.970133201613033e-05,0.30355553673786745,0.45864010394110005,,0.5876616709500218,N7,0.9116955791829883
N7_E10c_T12a,6927,71480,20.638082864154757,0.393532553775083,0.03796737404359752,1.0,3625,0.7462071710159396,1.9108965517241379,0.03796737404359752,0.752,0.000144362638949039,8.970133201613033e-05,0.30355553673786745,0.45864010394110005,,0.6706210392535281,N7,0.9116955791829883
N7_E10c_T12b,6927,71480,20.638082864154757,0.393532553775083,0.03796737404359752,1.0,3625,0.7462071710159396,1.9108965517241379,0.03796737404359752,0.752,0.000144362638949039,8.970133201613033e-05,0.30355553673786745,0.45864010394110005,,0.5876616709500218,N7,0.9116955791829883
N7_E11a_T12a,6927,4467,1.2897358163707233,0.6070448967807132,0.1357008806120976,27.0,4755,0.9566497623619901,1.456782334384858,0.01313700014436264,0.8843322818086226,0.000144362638949037,0.0001467808267067716,0.48645459073902,0.12742664597655545,,1.0,N7,0.8623237071860309
N7_E11a_T12b,6927,7630,2.2029738703623503,0.48938934603724554,0.2025407824455031,28.0,4051,0.942114094017373,1.7099481609479141,0.02699581348347048,0.8368304122438904,0.0001443626389490397,0.00012577457662124486,0.4524142052513231,0.22227790427987149,,1.0,N7,0.8039318479685452
N7_E11b_T12a,6927,307303,88.72614407391367,0.0,0.393532553775083,2.0,21,0.7663290376214095,329.85714285714283,0.393532553775083,0.0,0.00014436263894903982,0.00027861826783951674,0.38923180605761576,0.841558261972517,,0.5051787288148066,N7,0.7634061496308204
N7_E11b_T12b,6927,307303,88.72614407391367,0.0,0.393532553775083,2.0,21,0.7663290376214095,329.85714285714283,0.393532553775083,0.0,0.00014436263894903982,0.00027861826783951674,0.38923180605761576,0.841558261972517,,0.5112496715935663,N7,0.7634061496308204
N8_E10a_T12a,3625,213,0.11751724137931034,0.9315862068965517,0.0030344827586206895,1.0,3487,0.9183363089334127,1.0395755663894466,0.0030344827586206895,0.9684542586750788,0.00027586206896552224,0.0002775950174709047,0.25404054599303005,0.016,0.0,0.9523809523809523,N8,
N8_E10a_T12b,3625,213,0.11751724137931034,0.9315862068965517,0.0030344827586206895,1.0,3487,0.9183363089334127,1.0395755663894466,0.0030344827586206895,0.9684542586750788,0.00027586206896552224,0.0002775950174709047,0.25404054599303005,0.016,0.0,0.9523809523809523,N8,
