variant,num_nodes,num_edges,mean_degree,isolated_node_fraction,largest_cc_fraction,diameter,n_communities,modularity,mean_community_size,largest_community_fraction,singleton_fraction,pagerank_mean,pagerank_std,pagerank_gini,clustering_coeff_mean,betweenness_mean,link_pred_auc,_timing,node_type,dataset,homophily
N8_E10a_T12a,3625,213,0.11751724137931034,0.9315862068965517,0.0030344827586206895,1.0,3487,0.9183363089334127,1.0395755663894466,0.0030344827586206895,0.9684542586750788,0.00027586206896552224,0.0002775950174709047,0.25404054599303005,0.016,0.0,0.9523809523809523,louvain=0.5s pagerank=0.0s clustering=0.0s betweenness=10.5s,N8,toys,
N8_E10a_T12b,3625,213,0.11751724137931034,0.9315862068965517,0.0030344827586206895,1.0,3487,0.9183363089334127,1.0395755663894466,0.0030344827586206895,0.9684542586750788,0.00027586206896552224,0.0002775950174709047,0.25404054599303005,0.016,0.0,0.9523809523809523,louvain=0.2s pagerank=0.0s clustering=0.0s betweenness=11.1s,N8,toys,
N8_E10b_T12a,3625,0,0.0,1.0,0.00027586206896551725,0.0,3625,,1.0,0.00027586206896551725,1.0,0.0002758620689655394,0.0,3.249091417368116e-14,0.0,0.0,,louvain=0.0s pagerank=0.0s clustering=0.0s betweenness=10.7s,N8,toys,
N8_E10b_T12b,3625,0,0.0,1.0,0.00027586206896551725,0.0,3625,,1.0,0.00027586206896551725,1.0,0.0002758620689655394,0.0,3.249091417368116e-14,0.0,0.0,,louvain=0.0s pagerank=0.0s clustering=0.0s betweenness=7.5s,N8,toys,
N8_E10c_T12a,3625,0,0.0,1.0,0.00027586206896551725,0.0,3625,,1.0,0.00027586206896551725,1.0,0.0002758620689655394,0.0,3.249091417368116e-14,0.0,0.0,,louvain=0.0s pagerank=0.0s clustering=0.0s betweenness=8.6s,N8,toys,
N8_E10c_T12b,3625,0,0.0,1.0,0.00027586206896551725,0.0,3625,,1.0,0.00027586206896551725,1.0,0.0002758620689655394,0.0,3.249091417368116e-14,0.0,0.0,,louvain=0.0s pagerank=0.0s clustering=0.0s betweenness=8.2s,N8,toys,
N8_E11a_T12a,3625,139716,77.08468965517241,0.40993103448275864,0.5053793103448276,10.0,1643,0.1099247671628966,2.206329884357882,0.13406896551724137,0.9044430919050518,0.00027586206896551704,0.0003704233379970322,0.5719079961099758,0.3618346526879512,0.00012071233595903097,0.7401895429052731,louvain=2.4s pagerank=0.2s clustering=26.5s betweenness=132.8s,N8,toys,
N8_E11a_T12b,3625,139716,77.08468965517241,0.40993103448275864,0.5053793103448276,10.0,1643,0.1099247671628966,2.206329884357882,0.13406896551724137,0.9044430919050518,0.00027586206896551704,0.0003704233379970322,0.5719079961099758,0.3618346526879512,0.00012071233595903097,0.7401895429052731,louvain=1.4s pagerank=0.1s clustering=10.8s betweenness=64.3s,N8,toys,
N8_E11b_T12a,3625,179975,99.29655172413793,0.0,1.0,2.0,1,0.0,3625.0,1.0,0.0,0.0002758620689655147,0.001061692240755753,0.44887112461927664,0.9865774180339589,0.00026845163932084193,0.5285458725225913,louvain=0.8s pagerank=0.2s clustering=12.6s betweenness=181.1s,N8,toys,
N8_E11b_T12b,3625,179975,99.29655172413793,0.0,1.0,2.0,1,0.0,3625.0,1.0,0.0,0.0002758620689655147,0.001061692240755753,0.44887112461927664,0.9865774180339589,0.00026845163932084193,0.5285458725225913,louvain=0.8s pagerank=0.2s clustering=12.7s betweenness=184.6s,N8,toys,
