variant,node_type,precision_at_1,precision_at_3,precision_at_5,precision_skip_rate,mean_hop_distance,hop_reachability_fraction,hop_skip_rate,neighborhood_coherence_mean,neighborhood_coherence_std,query_alignment_delta,align_skip_rate
N7_E10b_T12a,N7,0.8571428571428571,1.0,1.0,0.0,1.0,1.0,0.0,0.21956573086982917,0.11759045692374775,-0.09649010896682739,0.2857142857142857
N7_E10b_T12b,N7,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.0,1.0,1.0,0.0,0.22697689252529143,0.11497302498310376,-0.08494571447372437,0.2857142857142857
N7_E10c_T12a,N7,0.8571428571428571,1.0,1.0,0.0,1.0,1.0,0.0,0.21956573086982917,0.11759045692374775,-0.09649010896682739,0.2857142857142857
N7_E10c_T12b,N7,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.0,1.0,1.0,0.0,0.22697689252529143,0.11497302498310376,-0.08494571447372437,0.2857142857142857
N7_E11a_T12a,N7,0.8571428571428571,1.0,1.0,0.0,,0.0,0.0,0.7940119410029562,0.03935503918748026,,1.0
N7_E11a_T12b,N7,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.0,,0.0,0.0,0.8215981035506171,0.0664776197794419,-0.007730230689048767,0.7142857142857143
N7_E11b_T12a,N7,0.8571428571428571,1.0,1.0,0.0,1.5,1.0,0.0,0.15918363096291463,0.042862476821957415,-0.02450946399143764,0.0
N7_E11b_T12b,N7,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.0,1.5,1.0,0.0,0.17610852581088648,0.046069311398137046,-0.03498154878616333,0.0
N8_E10a_T12a,N8,,,,1.0,,,1.0,0.7054701268506449,0.15750609492617243,,1.0
N8_E10a_T12b,N8,,,,1.0,,,1.0,0.7054701268506449,0.15750609492617243,,1.0
N8_E10a_T12e,N8,,,,1.0,,,1.0,0.7054701268506449,0.15750609492617243,,1.0
N8_E10b_T12a,N8,,,,1.0,,,1.0,,,,1.0
N8_E10b_T12b,N8,,,,1.0,,,1.0,,,,1.0
N8_E10b_T12e,N8,,,,1.0,,,1.0,,,,1.0
N8_E10c_T12a,N8,,,,1.0,,,1.0,,,,1.0
N8_E10c_T12b,N8,,,,1.0,,,1.0,,,,1.0
N8_E10c_T12e,N8,,,,1.0,,,1.0,,,,1.0
N8_E11a_T12a,N8,,,,1.0,,,1.0,0.7841660112766681,0.0353072913210284,,1.0
N8_E11a_T12b,N8,,,,1.0,,,1.0,0.7841660112766681,0.0353072913210284,,1.0
N8_E11a_T12e,N8,,,,1.0,,,1.0,0.7841660112766681,0.0353072913210284,,1.0
N8_E11b_T12a,N8,,,,1.0,,,1.0,0.33950624964675125,0.09332012842122007,,1.0
N8_E11b_T12b,N8,,,,1.0,,,1.0,0.33950624964675125,0.09332012842122007,,1.0
N8_E11b_T12e,N8,,,,1.0,,,1.0,0.33950624964675125,0.09332012842122007,,1.0
N8_E11c_T12a,N8,,,,1.0,,,1.0,0.7054701268506449,0.15750609492617243,,1.0
N8_E11c_T12b,N8,,,,1.0,,,1.0,0.7054701268506449,0.15750609492617243,,1.0
N8_E11c_T12e,N8,,,,1.0,,,1.0,0.7054701268506449,0.15750609492617243,,1.0
N9_E10b_T12a,N9,0.75,0.75,0.75,0.42857142857142855,1.0,1.0,0.5,0.2263169584974434,0.11256944644460695,-0.014603644609451294,0.7142857142857143
N9_E10b_T12b,N9,0.75,0.75,0.75,0.42857142857142855,1.0,1.0,0.5,0.2263169584974434,0.11256944644460695,-0.014603644609451294,0.7142857142857143
N9_E10b_T12e,N9,0.75,0.75,0.75,0.42857142857142855,1.0,1.0,0.5,0.2263169584974434,0.11256944644460695,-0.014603644609451294,0.7142857142857143
N9_E10c_T12a,N9,0.75,0.75,0.75,0.42857142857142855,1.0,1.0,0.5,0.2263169584974434,0.11256944644460695,-0.014603644609451294,0.7142857142857143
N9_E10c_T12b,N9,0.75,0.75,0.75,0.42857142857142855,1.0,1.0,0.5,0.2263169584974434,0.11256944644460695,-0.014603644609451294,0.7142857142857143
N9_E10c_T12e,N9,0.75,0.75,0.75,0.42857142857142855,1.0,1.0,0.5,0.2263169584974434,0.11256944644460695,-0.014603644609451294,0.7142857142857143
N9_E11a_T12a,N9,0.75,0.75,0.75,0.42857142857142855,,0.0,0.5,0.8017970593223543,0.04311049932474922,-0.007730230689048767,0.7142857142857143
N9_E11a_T12b,N9,0.75,0.75,0.75,0.42857142857142855,,0.0,0.5,0.8017970593223543,0.04311049932474922,-0.007730230689048767,0.7142857142857143
N9_E11a_T12e,N9,0.75,0.75,0.75,0.42857142857142855,,0.0,0.5,0.8017970593223543,0.04311049932474922,-0.007730230689048767,0.7142857142857143
N9_E11b_T12a,N9,0.75,0.75,0.75,0.42857142857142855,1.3333333333333333,1.0,0.5,0.16836730779952808,0.04456559379728861,-0.026903115212917328,0.42857142857142855
N9_E11b_T12b,N9,0.75,0.75,0.75,0.42857142857142855,1.3333333333333333,1.0,0.5,0.16836730779952808,0.04456559379728861,-0.026903115212917328,0.42857142857142855
N9_E11b_T12e,N9,0.75,0.75,0.75,0.42857142857142855,1.3333333333333333,1.0,0.5,0.16836730779952808,0.04456559379728861,-0.026903115212917328,0.42857142857142855
