variant,node_type,precision_at_1,precision_at_3,precision_at_5,q6_skip_rate,mean_hop_length,hop_reachable_frac,hop_within3_frac,q7_skip_rate,coherence_mean,coherence_std,query_alignment_delta,q9_skip_rate
N7_E10b_T12a,N7,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.4493026393782796,0.1725128575203925,-0.045402348041534424,0.8571428571428571
N7_E10b_T12b,N7,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.3247967894640495,0.1722965775619486,-0.023916244506835938,0.8571428571428571
N7_E10c_T12a,N7,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.4493026393782796,0.1725128575203925,-0.045402348041534424,0.8571428571428571
N7_E10c_T12b,N7,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.3247967894640495,0.1722965775619486,-0.023916244506835938,0.8571428571428571
N7_E11a_T12a,N7,1.0,1.0,1.0,0.0,1.0,0.16666666666666666,0.16666666666666666,0.0,0.7860007292678556,0.03681431735870926,,1.0
N7_E11a_T12b,N7,1.0,1.0,1.0,0.0,1.0,0.16666666666666666,0.16666666666666666,0.0,0.8016674008043039,0.04935411243815846,,1.0
N7_E11b_T12a,N7,1.0,1.0,1.0,0.0,2.0,0.3333333333333333,0.3333333333333333,0.0,0.1091496735490546,0.05681498055895696,-0.015561367784227644,0.0
N7_E11b_T12b,N7,1.0,1.0,1.0,0.0,2.0,0.3333333333333333,0.3333333333333333,0.0,0.09628309215008389,0.04189760547591849,-0.017576847757611955,0.0
N8_E10b_T12a,N8,,,,1.0,,,,1.0,0.826845089029899,0.12367053648307295,,1.0
N8_E10b_T12b,N8,,,,1.0,,,,1.0,0.826845089029899,0.12367053648307295,,1.0
N8_E10b_T12e,N8,,,,1.0,,,,1.0,0.826845089029899,0.12367053648307295,,1.0
N8_E10c_T12a,N8,,,,1.0,,,,1.0,0.8268449863881882,0.12367054116168465,,1.0
N8_E10c_T12b,N8,,,,1.0,,,,1.0,0.8268449863881882,0.12367054116168465,,1.0
N8_E10c_T12e,N8,,,,1.0,,,,1.0,0.8268449863881882,0.12367054116168465,,1.0
N8_E11a_T12a,N8,,,,1.0,,,,1.0,0.8843901295068062,0.08431018198465703,,1.0
N8_E11a_T12b,N8,,,,1.0,,,,1.0,0.8843901295068062,0.08431018198465703,,1.0
N8_E11a_T12e,N8,,,,1.0,,,,1.0,0.8843901295068062,0.08431018198465703,,1.0
N8_E11b_T12a,N8,,,,1.0,,,,1.0,0.21492700440144094,0.17461863674488942,,1.0
N8_E11b_T12b,N8,,,,1.0,,,,1.0,0.21492700440144094,0.17461863674488942,,1.0
N8_E11b_T12e,N8,,,,1.0,,,,1.0,0.21492700440144094,0.17461863674488942,,1.0
