variant,node_type,precision_at_1,precision_at_3,precision_at_5,precision_skip_rate,mean_hop_distance,hop_reachability_fraction,hop_skip_rate,neighborhood_coherence_mean,neighborhood_coherence_std,query_alignment_delta,align_skip_rate
N7_E10b_T12a,N7,0.14285714285714285,0.42857142857142855,0.42857142857142855,0.0,1.0,1.0,0.0,0.21113343569117926,0.11575001233664924,-0.05556534727414449,0.5714285714285714
N7_E10b_T12b,N7,0.2857142857142857,0.2857142857142857,0.42857142857142855,0.0,1.0,1.0,0.0,0.2216726367589208,0.11766491571068333,-0.06218720475832621,0.5714285714285714
N7_E10c_T12a,N7,0.14285714285714285,0.42857142857142855,0.42857142857142855,0.0,1.0,1.0,0.0,0.21113343569117926,0.11575001233664924,-0.05556534727414449,0.5714285714285714
N7_E10c_T12b,N7,0.2857142857142857,0.2857142857142857,0.42857142857142855,0.0,1.0,1.0,0.0,0.2216726367589208,0.11766491571068333,-0.06218720475832621,0.5714285714285714
N7_E11a_T12a,N7,0.14285714285714285,0.42857142857142855,0.42857142857142855,0.0,,0.0,0.0,0.7968409399356957,0.036415928983157576,-0.0025977343320846558,0.42857142857142855
N7_E11a_T12b,N7,0.2857142857142857,0.2857142857142857,0.42857142857142855,0.0,4.0,0.16666666666666666,0.0,0.8244324465859759,0.059812276638242005,0.001555800437927246,0.42857142857142855
N7_E11b_T12a,N7,0.14285714285714285,0.42857142857142855,0.42857142857142855,0.0,1.3333333333333333,1.0,0.0,0.17638829945478976,0.0475563277052269,-0.012526933635984148,0.0
N7_E11b_T12b,N7,0.2857142857142857,0.2857142857142857,0.42857142857142855,0.0,1.3333333333333333,1.0,0.0,0.1904112661714787,0.052501708429851406,-0.019786919866289412,0.0
N8_E10a_T12a,N8,,,,1.0,,,1.0,0.6928031610118018,0.13318118062338452,,1.0
N8_E10a_T12b,N8,,,,1.0,,,1.0,0.6928031610118018,0.13318118062338452,,1.0
N8_E10a_T12e,N8,,,,1.0,,,1.0,0.6928031610118018,0.13318118062338452,,1.0
N8_E10b_T12a,N8,,,,1.0,,,1.0,,,,1.0
N8_E10b_T12b,N8,,,,1.0,,,1.0,,,,1.0
N8_E10b_T12e,N8,,,,1.0,,,1.0,,,,1.0
N8_E10c_T12a,N8,,,,1.0,,,1.0,,,,1.0
N8_E10c_T12b,N8,,,,1.0,,,1.0,,,,1.0
N8_E10c_T12e,N8,,,,1.0,,,1.0,,,,1.0
N8_E11a_T12a,N8,,,,1.0,,,1.0,0.7839867698818053,0.029434353049275504,,1.0
N8_E11a_T12b,N8,,,,1.0,,,1.0,0.7839867698818053,0.029434353049275504,,1.0
N8_E11a_T12e,N8,,,,1.0,,,1.0,0.7839867698818053,0.029434353049275504,,1.0
N8_E11b_T12a,N8,,,,1.0,,,1.0,0.3870258269788363,0.10057216968930506,,1.0
N8_E11b_T12b,N8,,,,1.0,,,1.0,0.3870258269788363,0.10057216968930506,,1.0
N8_E11b_T12e,N8,,,,1.0,,,1.0,0.3870258269788363,0.10057216968930506,,1.0
N8_E11c_T12a,N8,,,,1.0,,,1.0,0.6928031610118018,0.13318118062338452,,1.0
N8_E11c_T12b,N8,,,,1.0,,,1.0,0.6928031610118018,0.13318118062338452,,1.0
N8_E11c_T12e,N8,,,,1.0,,,1.0,0.6928031610118018,0.13318118062338452,,1.0
N9_E10b_T12a,N9,,,,1.0,1.0,1.0,0.8333333333333334,0.22075435478896865,0.11577059699170933,,1.0
N9_E10b_T12b,N9,,,,1.0,1.0,1.0,0.8333333333333334,0.22075435478896865,0.11577059699170933,,1.0
N9_E10b_T12e,N9,,,,1.0,1.0,1.0,0.8333333333333334,0.22075435478896865,0.11577059699170933,,1.0
N9_E10c_T12a,N9,,,,1.0,1.0,1.0,0.8333333333333334,0.22075435478896865,0.11577059699170933,,1.0
N9_E10c_T12b,N9,,,,1.0,1.0,1.0,0.8333333333333334,0.22075435478896865,0.11577059699170933,,1.0
N9_E10c_T12e,N9,,,,1.0,1.0,1.0,0.8333333333333334,0.22075435478896865,0.11577059699170933,,1.0
N9_E11a_T12a,N9,,,,1.0,,0.0,0.8333333333333334,0.8038981817390047,0.03682730389222564,,1.0
N9_E11a_T12b,N9,,,,1.0,,0.0,0.8333333333333334,0.8038981817390047,0.03682730389222564,,1.0
N9_E11a_T12e,N9,,,,1.0,,0.0,0.8333333333333334,0.8038981817390047,0.03682730389222564,,1.0
N9_E11b_T12a,N9,,,,1.0,1.0,1.0,0.8333333333333334,0.18555859635933827,0.05318152575990102,,1.0
N9_E11b_T12b,N9,,,,1.0,1.0,1.0,0.8333333333333334,0.18555859635933827,0.05318152575990102,,1.0
N9_E11b_T12e,N9,,,,1.0,1.0,1.0,0.8333333333333334,0.18555859635933827,0.05318152575990102,,1.0
