variant,node_type,precision_at_1,precision_at_3,precision_at_5,precision_skip_rate,mean_hop_distance,hop_reachability_fraction,hop_skip_rate,neighborhood_coherence_mean,neighborhood_coherence_std,query_alignment_delta,align_skip_rate
N7_E10b_T12a,N7,0.42857142857142855,0.5714285714285714,0.7142857142857143,0.0,1.0,1.0,0.0,0.3264146635908551,0.10967553183407139,-0.04748470336198807,0.42857142857142855
N7_E10b_T12b,N7,0.5714285714285714,0.5714285714285714,0.7142857142857143,0.0,1.0,1.0,0.0,0.2927683845816385,0.11786109092803033,-0.039347514510154724,0.42857142857142855
N7_E10c_T12a,N7,0.42857142857142855,0.5714285714285714,0.7142857142857143,0.0,1.0,1.0,0.0,0.3264146635908551,0.10967553183407139,-0.04748470336198807,0.42857142857142855
N7_E10c_T12b,N7,0.5714285714285714,0.5714285714285714,0.7142857142857143,0.0,1.0,1.0,0.0,0.2927683845816385,0.11786109092803033,-0.039347514510154724,0.42857142857142855
N7_E11a_T12a,N7,0.42857142857142855,0.5714285714285714,0.7142857142857143,0.0,,0.0,0.0,0.798001719692385,0.04232254396249628,0.02835819125175476,0.42857142857142855
N7_E11a_T12b,N7,0.5714285714285714,0.5714285714285714,0.7142857142857143,0.0,,0.0,0.0,0.8251887532207629,0.0691387234317576,0.014208267132441202,0.5714285714285714
N7_E11b_T12a,N7,0.42857142857142855,0.5714285714285714,0.7142857142857143,0.0,1.3333333333333333,1.0,0.0,0.284748191755426,0.07254601562635565,-0.002532882349831717,0.0
N7_E11b_T12b,N7,0.5714285714285714,0.5714285714285714,0.7142857142857143,0.0,1.3333333333333333,1.0,0.0,0.26366728530060857,0.07310920684901541,-0.003987159047807966,0.0
N8_E10a_T12a,N8,,,,1.0,,,1.0,0.7611965472819984,0.13297018084796036,,1.0
N8_E10a_T12b,N8,,,,1.0,,,1.0,0.7611965472819984,0.13297018084796036,,1.0
N8_E10a_T12e,N8,,,,1.0,,,1.0,0.7611965472819984,0.13297018084796036,,1.0
N8_E10b_T12a,N8,,,,1.0,,,1.0,,,,1.0
N8_E10b_T12b,N8,,,,1.0,,,1.0,,,,1.0
N8_E10b_T12e,N8,,,,1.0,,,1.0,,,,1.0
N8_E10c_T12a,N8,,,,1.0,,,1.0,,,,1.0
N8_E10c_T12b,N8,,,,1.0,,,1.0,,,,1.0
N8_E10c_T12e,N8,,,,1.0,,,1.0,,,,1.0
N8_E11a_T12a,N8,,,,1.0,,,1.0,0.7887031650316129,0.0367197396577987,,1.0
N8_E11a_T12b,N8,,,,1.0,,,1.0,0.7887031650316129,0.0367197396577987,,1.0
N8_E11a_T12e,N8,,,,1.0,,,1.0,0.7887031650316129,0.0367197396577987,,1.0
N8_E11b_T12a,N8,,,,1.0,,,1.0,0.43284522721938734,0.1165582097359255,,1.0
N8_E11b_T12b,N8,,,,1.0,,,1.0,0.43284522721938734,0.1165582097359255,,1.0
N8_E11b_T12e,N8,,,,1.0,,,1.0,0.43284522721938734,0.1165582097359255,,1.0
N8_E11c_T12a,N8,,,,1.0,,,1.0,0.7611965472819984,0.13297018084796036,,1.0
N8_E11c_T12b,N8,,,,1.0,,,1.0,0.7611965472819984,0.13297018084796036,,1.0
N8_E11c_T12e,N8,,,,1.0,,,1.0,0.7611965472819984,0.13297018084796036,,1.0
N9_E10b_T12a,N9,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.14285714285714285,1.0,1.0,0.5,0.2916976194440446,0.11448608044001429,-0.039347514510154724,0.42857142857142855
N9_E10b_T12b,N9,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.14285714285714285,1.0,1.0,0.5,0.2916976194440446,0.11448608044001429,-0.039347514510154724,0.42857142857142855
N9_E10b_T12e,N9,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.14285714285714285,1.0,1.0,0.5,0.2916976194440446,0.11448608044001429,-0.039347514510154724,0.42857142857142855
N9_E10c_T12a,N9,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.14285714285714285,1.0,1.0,0.5,0.2916976194440446,0.11448608044001429,-0.039347514510154724,0.42857142857142855
N9_E10c_T12b,N9,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.14285714285714285,1.0,1.0,0.5,0.2916976194440446,0.11448608044001429,-0.039347514510154724,0.42857142857142855
N9_E10c_T12e,N9,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.14285714285714285,1.0,1.0,0.5,0.2916976194440446,0.11448608044001429,-0.039347514510154724,0.42857142857142855
N9_E11a_T12a,N9,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.14285714285714285,,0.0,0.5,0.8017914965183969,0.03994594823226111,-0.0010009407997131348,0.7142857142857143
N9_E11a_T12b,N9,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.14285714285714285,,0.0,0.5,0.8017914965183969,0.03994594823226111,-0.0010009407997131348,0.7142857142857143
N9_E11a_T12e,N9,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.14285714285714285,,0.0,0.5,0.8017914965183969,0.03994594823226111,-0.0010009407997131348,0.7142857142857143
N9_E11b_T12a,N9,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.14285714285714285,2.0,1.0,0.5,0.25604052461020554,0.0723448541649565,-0.004976754387219747,0.14285714285714285
N9_E11b_T12b,N9,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.14285714285714285,2.0,1.0,0.5,0.25604052461020554,0.0723448541649565,-0.004976754387219747,0.14285714285714285
N9_E11b_T12e,N9,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.14285714285714285,2.0,1.0,0.5,0.25604052461020554,0.0723448541649565,-0.004976754387219747,0.14285714285714285
