proxy,dataset,rho_no_e11b,p_no_e11b,n_no_e11b,rho_vs_rawgnn,ragas_independent
link_pred_auc,arxiv,-0.1930965195380135,0.4905004259016282,15,0.2116634925705147,False
link_pred_auc,amazon,0.5571160262602727,0.0046840605590638,24,0.0944713388428671,True
link_pred_auc,history,0.6666937223947136,0.1019204602461822,7,-0.0720749970156447,False
link_pred_auc,electronics,0.2931394187943695,0.1644732605177249,24,0.1074844535579354,False
link_pred_auc,toys,0.4268868442105258,0.0374867847115458,24,0.1403826437010829,True
modularity,arxiv,-0.0163512087623665,0.9538783206250744,15,-0.6213459329699302,False
modularity,amazon,0.6605866445768617,0.0004423308417194,24,0.1192602734168965,True
modularity,history,0.9168894559922718,0.0036557676856843,7,-0.6923450994227357,False
modularity,electronics,-0.0211519432484723,0.9218514687838536,24,-0.1819948450337305,False
modularity,toys,0.6481729358197127,0.0006143904245077,24,0.4406866608787923,False
pagerank_std,amazon,-0.2612183216315298,0.1632260050038839,30,-0.2479092707021168,False
pagerank_std,history,-0.0561360891423839,0.9048505011274568,7,-0.5052248022814558,False
pagerank_std,electronics,-0.3807742028618501,0.03790325309315,30,-0.0780496885013034,True
pagerank_std,toys,-0.0324831073531436,0.8646939844743667,30,-0.1921917185060997,False
