dataset,subtype,metric,node_type,rho,p,n
amazon,single_specific,faithfulness,all,0.14339496856554357,0.48465298825459247,26
amazon,single_specific,faithfulness,N7,0.023809523809523815,0.9553740118158807,8
amazon,single_specific,faithfulness,N8,-0.10334394242561099,0.7763340602409096,10
amazon,single_specific,faithfulness,N9,0.467074242146171,0.24326991663399547,8
amazon,single_specific,answer_relevance,all,0.3305982905982906,0.099028787150502,26
amazon,single_specific,answer_relevance,N7,-0.38095238095238104,0.3518125531175647,8
amazon,single_specific,answer_relevance,N8,0.04242424242424241,0.907363817812816,10
amazon,single_specific,answer_relevance,N9,0.11904761904761905,0.7788857260523797,8
amazon,single_specific,context_relevance,all,0.08714560240263941,0.6720690463191779,26
amazon,single_specific,context_relevance,N7,-0.02689474494405527,0.9495966650823675,8
amazon,single_specific,context_relevance,N8,-0.22630245955534864,0.5295460674286563,10
amazon,single_specific,context_relevance,N9,0.3424657534246575,0.40631687339897876,8
amazon,single_specific,composite,all,0.347008547008547,0.08241942822942935,26
amazon,single_specific,composite,N7,-0.7142857142857144,0.04652823228416724,8
amazon,single_specific,composite,N8,0.4666666666666666,0.17393859716506632,10
amazon,single_specific,composite,N9,0.4761904761904762,0.23293553465009798,8
amazon,aggregate_cross_paper,faithfulness,all,0.2622222222222222,0.19563004629311073,26
amazon,aggregate_cross_paper,faithfulness,N7,0.5714285714285715,0.1389599571607067,8
amazon,aggregate_cross_paper,faithfulness,N8,0.2606060606060606,0.4670890543863402,10
amazon,aggregate_cross_paper,faithfulness,N9,0.4523809523809524,0.260404767436885,8
amazon,aggregate_cross_paper,answer_relevance,all,0.05299145299145299,0.7971047301741516,26
amazon,aggregate_cross_paper,answer_relevance,N7,-0.2142857142857143,0.6103444156452669,8
amazon,aggregate_cross_paper,answer_relevance,N8,0.6,0.06668799999999996,10
amazon,aggregate_cross_paper,answer_relevance,N9,-0.3571428571428572,0.3851206435562562,8
amazon,aggregate_cross_paper,context_relevance,all,0.4905407682747141,0.010950238476377947,26
amazon,aggregate_cross_paper,context_relevance,N7,0.13199091933711365,0.7553763701306873,8
amazon,aggregate_cross_paper,context_relevance,N8,0.22657332165431587,0.5290401046835154,10
amazon,aggregate_cross_paper,context_relevance,N9,0.25001953353911643,0.5503828491173359,8
amazon,aggregate_cross_paper,composite,all,0.377094017094017,0.05756027347289113,26
amazon,aggregate_cross_paper,composite,N7,-0.523809523809524,0.18272075053971482,8
amazon,aggregate_cross_paper,composite,N8,0.35757575757575755,0.3103760917056799,10
amazon,aggregate_cross_paper,composite,N9,0.3571428571428572,0.3851206435562562,8
amazon,edge_multihop,faithfulness,all,0.533424524807597,0.00501231322799021,26
amazon,edge_multihop,faithfulness,N7,0.14285714285714288,0.735764859879812,8
amazon,edge_multihop,faithfulness,N8,0.7112494861056756,0.021090925985548795,10
amazon,edge_multihop,faithfulness,N9,0.1666666666666667,0.693238811728395,8
amazon,edge_multihop,answer_relevance,all,0.09315082149396253,0.6508337640248406,26
amazon,edge_multihop,answer_relevance,N7,0.38324040381224284,0.348683741124201,8
amazon,edge_multihop,answer_relevance,N8,0.3696969696969697,0.2930500752928223,10
amazon,edge_multihop,answer_relevance,N9,-0.17964393928698885,0.6703442772469386,8
amazon,edge_multihop,context_relevance,all,0.36801194209812615,0.06435169817452503,26
amazon,edge_multihop,context_relevance,N7,-0.7173393036622792,0.04516690356106401,8
amazon,edge_multihop,context_relevance,N8,0.18924258823437734,0.60054133402318,10
amazon,edge_multihop,context_relevance,N9,-0.1583891032045364,0.7079499555771457,8
amazon,edge_multihop,composite,all,-0.15350427350427348,0.4540497924839445,26
amazon,edge_multihop,composite,N7,-0.3571428571428572,0.3851206435562562,8
amazon,edge_multihop,composite,N8,0.6,0.06668799999999996,10
amazon,edge_multihop,composite,N9,-0.4285714285714286,0.2894032248467901,8
amazon,all_combined,faithfulness,all,0.19589743589743588,0.33751088941727747,26
amazon,all_combined,faithfulness,N7,0.2380952380952381,0.5701563208157683,8
amazon,all_combined,faithfulness,N8,0.33333333333333326,0.34659350708733405,10
amazon,all_combined,faithfulness,N9,0.28571428571428575,0.4927262450169573,8
amazon,all_combined,answer_relevance,all,0.26837606837606837,0.18496360815480692,26
amazon,all_combined,answer_relevance,N7,-0.2142857142857143,0.6103444156452669,8
amazon,all_combined,answer_relevance,N8,0.16363636363636364,0.6514773427962428,10
amazon,all_combined,answer_relevance,N9,0.04761904761904763,0.9108491685195836,8
amazon,all_combined,context_relevance,all,0.12826211254587688,0.5323428082860007,26
amazon,all_combined,context_relevance,N7,-0.686801121975642,0.05989521317769338,8
amazon,all_combined,context_relevance,N8,0.06942861831544639,0.8488548710936163,10
amazon,all_combined,context_relevance,N9,0.7531438174453121,0.03098835246637982,8
amazon,all_combined,composite,all,0.24854700854700856,0.22082337584912237,26
amazon,all_combined,composite,N7,-0.9523809523809524,0.00026040002438725105,8
amazon,all_combined,composite,N8,0.6606060606060605,0.03758837757140939,10
amazon,all_combined,composite,N9,0.6428571428571429,0.08555889101267318,8
