dataset,scale,subtype,metric,n,n_full,mean_rho,std_rho,n_seeds
amazon,B,single_specific,faithfulness,3,35,0.19652597814003586,0.21090144145737738,20
amazon,B,single_specific,faithfulness,5,35,0.3152226739169549,0.18944938219532756,20
amazon,B,single_specific,faithfulness,10,35,0.4258031124280639,0.1794503456770073,20
amazon,B,single_specific,faithfulness,15,35,0.4919106599776229,0.1645659592997035,20
amazon,B,single_specific,faithfulness,20,35,0.5861196161137331,0.1379646084930645,20
amazon,B,single_specific,faithfulness,30,35,0.8322523071957939,0.06294616527567747,20
amazon,B,single_specific,faithfulness,35,35,0.9999999999999998,1.1102230246251565e-16,20
amazon,B,single_specific,answer_relevance,3,35,0.36095147491698765,0.34880190890719126,20
amazon,B,single_specific,answer_relevance,5,35,0.524371509896604,0.2757934117371712,20
amazon,B,single_specific,answer_relevance,10,35,0.5976363522994641,0.2262725252583243,20
amazon,B,single_specific,answer_relevance,15,35,0.7288547008547008,0.23987553448246113,20
amazon,B,single_specific,answer_relevance,20,35,0.8146324786324787,0.15971424552016678,20
amazon,B,single_specific,answer_relevance,30,35,0.9499487179487179,0.026610152695150022,20
amazon,B,single_specific,answer_relevance,35,35,0.9999999999999998,1.1102230246251565e-16,20
amazon,B,single_specific,context_relevance,3,35,0.5062535659937281,0.25035573822054574,13
amazon,B,single_specific,context_relevance,5,35,0.5252337239344023,0.30595200672689116,16
amazon,B,single_specific,context_relevance,10,35,0.4813476856540994,0.36735090296982836,19
amazon,B,single_specific,context_relevance,15,35,0.5660420122984422,0.37371889276142606,20
amazon,B,single_specific,context_relevance,20,35,0.6858059006979874,0.33141399165877394,20
amazon,B,single_specific,context_relevance,30,35,0.932035203214246,0.07226820321031698,20
amazon,B,single_specific,context_relevance,35,35,1.0,0.0,20
amazon,B,single_specific,composite,3,35,0.3325640591817284,0.3636501840534551,20
amazon,B,single_specific,composite,5,35,0.5388879905023799,0.2540640743129983,20
amazon,B,single_specific,composite,10,35,0.5699185487695656,0.2962731842521298,20
amazon,B,single_specific,composite,15,35,0.7262905982905983,0.18245332277088866,20
amazon,B,single_specific,composite,20,35,0.8411282051282051,0.09165359259662556,20
amazon,B,single_specific,composite,30,35,0.9592136752136753,0.01986118823633435,20
amazon,B,single_specific,composite,35,35,0.9999999999999998,1.1102230246251565e-16,20
amazon,B,aggregate_cross_paper,faithfulness,3,33,0.3143545965874374,0.22782052149221438,20
amazon,B,aggregate_cross_paper,faithfulness,5,33,0.3901897390072778,0.22097594636076182,20
amazon,B,aggregate_cross_paper,faithfulness,10,33,0.5917648648314475,0.0676479756182106,20
amazon,B,aggregate_cross_paper,faithfulness,15,33,0.6663650450221809,0.12524936367315392,20
amazon,B,aggregate_cross_paper,faithfulness,20,33,0.7355555555555554,0.1001021612714327,20
amazon,B,aggregate_cross_paper,faithfulness,30,33,0.9260170940170939,0.024877615555279172,20
amazon,B,aggregate_cross_paper,faithfulness,33,33,0.9999999999999998,1.1102230246251565e-16,20
amazon,B,aggregate_cross_paper,answer_relevance,3,33,0.27945284383003466,0.22407342960636092,20
amazon,B,aggregate_cross_paper,answer_relevance,5,33,0.3341196581196581,0.23458385913706478,20
amazon,B,aggregate_cross_paper,answer_relevance,10,33,0.42389743589743584,0.21391838197575594,20
amazon,B,aggregate_cross_paper,answer_relevance,15,33,0.4427008547008547,0.18858294130329675,20
amazon,B,aggregate_cross_paper,answer_relevance,20,33,0.5475555555555556,0.18373555463243188,20
amazon,B,aggregate_cross_paper,answer_relevance,30,33,0.8927863247863247,0.08737771330231585,20
amazon,B,aggregate_cross_paper,answer_relevance,33,33,0.9999999999999998,1.1102230246251565e-16,20
amazon,B,aggregate_cross_paper,context_relevance,3,33,0.3361966626098182,0.26467278263503324,17
amazon,B,aggregate_cross_paper,context_relevance,5,33,0.432735037863349,0.2826662126874248,19
amazon,B,aggregate_cross_paper,context_relevance,10,33,0.6274908305857367,0.25413470632427826,20
amazon,B,aggregate_cross_paper,context_relevance,15,33,0.7052139450207697,0.2609818666161416,20
amazon,B,aggregate_cross_paper,context_relevance,20,33,0.8299385030314061,0.15597441021293537,20
amazon,B,aggregate_cross_paper,context_relevance,30,33,0.9658457712813506,0.032961811605067504,20
amazon,B,aggregate_cross_paper,context_relevance,33,33,1.0,0.0,20
amazon,B,aggregate_cross_paper,composite,3,33,0.3186877941528146,0.3069184694529066,20
amazon,B,aggregate_cross_paper,composite,5,33,0.39145299145299145,0.31162313458975105,20
amazon,B,aggregate_cross_paper,composite,10,33,0.5644102564102563,0.28334183689911685,20
amazon,B,aggregate_cross_paper,composite,15,33,0.6726153846153845,0.17944681353174635,20
amazon,B,aggregate_cross_paper,composite,20,33,0.7794529914529912,0.11206803710779295,20
amazon,B,aggregate_cross_paper,composite,30,33,0.9545299145299145,0.018355504295719565,20
amazon,B,aggregate_cross_paper,composite,33,33,0.9999999999999998,1.1102230246251565e-16,20
amazon,B,edge_multihop,faithfulness,3,34,0.11845524600594294,0.12643204071225614,19
amazon,B,edge_multihop,faithfulness,5,34,0.18160493120602902,0.2169267315816261,20
amazon,B,edge_multihop,faithfulness,10,34,0.39977109306627884,0.25219703502622204,20
amazon,B,edge_multihop,faithfulness,15,34,0.5413580617620158,0.1834178926921752,20
amazon,B,edge_multihop,faithfulness,20,34,0.6449888346917132,0.19449334561044201,20
amazon,B,edge_multihop,faithfulness,30,34,0.8822070537987544,0.07254897630478799,20
amazon,B,edge_multihop,faithfulness,34,34,0.9999999999999998,1.1102230246251565e-16,20
amazon,B,edge_multihop,answer_relevance,3,34,0.4215822984577676,0.38487884335611366,13
amazon,B,edge_multihop,answer_relevance,5,34,0.5696663954883321,0.2908479759399265,15
amazon,B,edge_multihop,answer_relevance,10,34,0.6566613822785996,0.298168701268491,20
amazon,B,edge_multihop,answer_relevance,15,34,0.7751865525151728,0.15542747705793014,20
amazon,B,edge_multihop,answer_relevance,20,34,0.8265296523046587,0.11434434901774945,20
amazon,B,edge_multihop,answer_relevance,30,34,0.9700760747332223,0.035107456294073656,20
amazon,B,edge_multihop,answer_relevance,34,34,0.9999999999999998,1.1102230246251565e-16,20
amazon,B,edge_multihop,context_relevance,3,34,0.3880917982145469,0.2764332969123108,12
amazon,B,edge_multihop,context_relevance,5,34,0.47790030478594614,0.23537340716130595,15
amazon,B,edge_multihop,context_relevance,10,34,0.6254172593054869,0.22964653710797403,19
amazon,B,edge_multihop,context_relevance,15,34,0.7284149146156639,0.17590009447043511,20
amazon,B,edge_multihop,context_relevance,20,34,0.7838737384100367,0.152557058981099,20
amazon,B,edge_multihop,context_relevance,30,34,0.9312156037424462,0.07130916778420568,20
amazon,B,edge_multihop,context_relevance,34,34,0.9999999999999998,1.1102230246251565e-16,20
amazon,B,edge_multihop,composite,3,34,0.29526718499169446,0.3549609534148712,19
amazon,B,edge_multihop,composite,5,34,0.44988071262447465,0.3136293004058901,20
amazon,B,edge_multihop,composite,10,34,0.6652247270786491,0.21677903485422112,20
amazon,B,edge_multihop,composite,15,34,0.7490886319291609,0.1694242948336235,20
amazon,B,edge_multihop,composite,20,34,0.8567560480250975,0.08144038929312955,20
amazon,B,edge_multihop,composite,30,34,0.968888888888889,0.03196718311424656,20
amazon,B,edge_multihop,composite,34,34,0.9999999999999998,1.1102230246251565e-16,20
amazon,B,all_combined,faithfulness,3,102,0.1627885408756866,0.17432657406620866,20
amazon,B,all_combined,faithfulness,5,102,0.15158904955330996,0.17907356426040463,20
amazon,B,all_combined,faithfulness,10,102,0.25066833185510795,0.19985599445706445,20
amazon,B,all_combined,faithfulness,15,102,0.3073073638078011,0.1983546299666919,20
amazon,B,all_combined,faithfulness,20,102,0.3740577765210197,0.17141910258507298,20
amazon,B,all_combined,faithfulness,30,102,0.4495384615384615,0.15084890039936796,20
amazon,B,all_combined,faithfulness,40,102,0.5284788326908083,0.17264272818963142,20
amazon,B,all_combined,faithfulness,50,102,0.6057094017094016,0.14617809965204423,20
amazon,B,all_combined,faithfulness,75,102,0.7682735042735042,0.06603085809056841,20
amazon,B,all_combined,faithfulness,100,102,0.978974358974359,0.01698959559230142,20
amazon,B,all_combined,faithfulness,102,102,0.9999999999999998,1.1102230246251565e-16,20
amazon,B,all_combined,answer_relevance,3,102,0.04347359089816281,0.2559981402396351,19
amazon,B,all_combined,answer_relevance,5,102,0.07638722931004502,0.33225209252272647,20
amazon,B,all_combined,answer_relevance,10,102,0.23965439744343717,0.2810890093905094,20
amazon,B,all_combined,answer_relevance,15,102,0.2836923076923076,0.28841876681952017,20
amazon,B,all_combined,answer_relevance,20,102,0.36099145299145297,0.2736037831796367,20
amazon,B,all_combined,answer_relevance,30,102,0.3538461538461538,0.2758740921504737,20
amazon,B,all_combined,answer_relevance,40,102,0.5151111111111111,0.26676713207221775,20
amazon,B,all_combined,answer_relevance,50,102,0.5648888888888888,0.24134255942204813,20
amazon,B,all_combined,answer_relevance,75,102,0.7867350427350426,0.09868301302125125,20
amazon,B,all_combined,answer_relevance,100,102,0.977196581196581,0.02307454245397185,20
amazon,B,all_combined,answer_relevance,102,102,0.9999999999999998,1.1102230246251565e-16,20
amazon,B,all_combined,context_relevance,3,102,0.3265581432676453,0.38652115888336835,15
amazon,B,all_combined,context_relevance,5,102,0.35321074212460923,0.3819469286752121,16
amazon,B,all_combined,context_relevance,10,102,0.48420351767825603,0.4017239990966845,20
amazon,B,all_combined,context_relevance,15,102,0.49193959826179307,0.3194807771522847,20
amazon,B,all_combined,context_relevance,20,102,0.5676150390749817,0.27415170385528775,20
amazon,B,all_combined,context_relevance,30,102,0.6572996412543199,0.20317018149871946,20
amazon,B,all_combined,context_relevance,40,102,0.6893197937869872,0.18592793595623017,20
amazon,B,all_combined,context_relevance,50,102,0.7467392977013372,0.1254511017548999,20
amazon,B,all_combined,context_relevance,75,102,0.8818143754046488,0.0988199624572189,20
amazon,B,all_combined,context_relevance,100,102,0.9863315738633812,0.015626092076969286,20
amazon,B,all_combined,context_relevance,102,102,1.0,0.0,20
amazon,B,all_combined,composite,3,102,0.11887974159750259,0.26390282840671925,20
amazon,B,all_combined,composite,5,102,0.14751921961180267,0.27420675829357316,20
amazon,B,all_combined,composite,10,102,0.3275897435897436,0.27688309514054366,20
amazon,B,all_combined,composite,15,102,0.3678632478632478,0.26536641142129186,20
amazon,B,all_combined,composite,20,102,0.46690598290598284,0.27172560747277164,20
amazon,B,all_combined,composite,30,102,0.5321367521367522,0.2605377537028683,20
amazon,B,all_combined,composite,40,102,0.651111111111111,0.20584250277474725,20
amazon,B,all_combined,composite,50,102,0.7271794871794871,0.19992243364007253,20
amazon,B,all_combined,composite,75,102,0.881948717948718,0.0822781123902845,20
amazon,B,all_combined,composite,100,102,0.9885470085470084,0.00806975216426719,20
amazon,B,all_combined,composite,102,102,0.9999999999999998,1.1102230246251565e-16,20
amazon,C,single_specific,faithfulness,3,35,0.23155007181643245,0.2884363671066736,20
amazon,C,single_specific,faithfulness,5,35,0.31554378301508196,0.27001169879611703,20
amazon,C,single_specific,faithfulness,10,35,0.5119756752677848,0.16093739701504362,20
amazon,C,single_specific,faithfulness,15,35,0.6620481248602921,0.0842525717784491,20
amazon,C,single_specific,faithfulness,20,35,0.7471928657823661,0.1036345212607346,20
amazon,C,single_specific,faithfulness,30,35,0.8983964819679761,0.07203053995371543,20
amazon,C,single_specific,faithfulness,35,35,1.0,0.0,20
amazon,C,single_specific,answer_relevance,3,35,0.7147832790816109,0.16004672615686735,20
amazon,C,single_specific,answer_relevance,5,35,0.7437526892021232,0.14854455630337465,20
amazon,C,single_specific,answer_relevance,10,35,0.8553504273504273,0.10876512979342993,20
amazon,C,single_specific,answer_relevance,15,35,0.9243076923076924,0.05877840851553616,20
amazon,C,single_specific,answer_relevance,20,35,0.95791452991453,0.02214738219511014,20
amazon,C,single_specific,answer_relevance,30,35,0.9894017094017091,0.006638115500494884,20
amazon,C,single_specific,answer_relevance,35,35,0.9999999999999998,1.1102230246251565e-16,20
amazon,C,single_specific,context_relevance,3,35,0.7697595409167178,0.14945387353592585,20
amazon,C,single_specific,context_relevance,5,35,0.8521574048198077,0.10048251440150698,20
amazon,C,single_specific,context_relevance,10,35,0.8846692357583711,0.1008084422270079,20
amazon,C,single_specific,context_relevance,15,35,0.9318606762722984,0.07709674875626121,20
amazon,C,single_specific,context_relevance,20,35,0.9599550104205579,0.04495543042153108,20
amazon,C,single_specific,context_relevance,30,35,0.9922491100111037,0.01026637546860706,20
amazon,C,single_specific,context_relevance,35,35,1.0,0.0,20
amazon,C,single_specific,composite,3,35,0.7966906934077151,0.16942344521727914,20
amazon,C,single_specific,composite,5,35,0.8249712869117358,0.13832310016688004,20
amazon,C,single_specific,composite,10,35,0.883111111111111,0.10403087366325735,20
amazon,C,single_specific,composite,15,35,0.9073846153846155,0.0867795687334602,20
amazon,C,single_specific,composite,20,35,0.9238290598290598,0.08926662671482254,20
amazon,C,single_specific,composite,30,35,0.9856068376068376,0.015525245195054797,20
amazon,C,single_specific,composite,35,35,0.9999999999999998,1.1102230246251565e-16,20
amazon,C,aggregate_cross_paper,faithfulness,3,33,0.1882703127475598,0.20480615038181282,20
amazon,C,aggregate_cross_paper,faithfulness,5,33,0.1813353842157348,0.23288051471251228,20
amazon,C,aggregate_cross_paper,faithfulness,10,33,0.34416346790777014,0.2761927452654185,20
amazon,C,aggregate_cross_paper,faithfulness,15,33,0.5137507856862062,0.17064445054405158,20
