dataset,scale,subtype,metric,n,n_full,mean_rho,std_rho,n_seeds
arxiv,B,single_specific,faithfulness,3,35,0.4698087938301646,0.3099718925880808,20
arxiv,B,single_specific,faithfulness,5,35,0.5166996331812268,0.2999859192582404,20
arxiv,B,single_specific,faithfulness,10,35,0.6785904122171829,0.2081260256575189,20
arxiv,B,single_specific,faithfulness,15,35,0.7754050546853603,0.1273502162707141,20
arxiv,B,single_specific,faithfulness,20,35,0.8241816204159743,0.10291882152280364,20
arxiv,B,single_specific,faithfulness,30,35,0.948342868436488,0.03396402441624951,20
arxiv,B,single_specific,faithfulness,35,35,1.0,0.0,20
arxiv,B,single_specific,answer_relevance,3,35,0.20353002149036264,0.2888717242664044,16
arxiv,B,single_specific,answer_relevance,5,35,0.1890556809073448,0.28405569979047596,17
arxiv,B,single_specific,answer_relevance,10,35,0.3197186463144243,0.2955991800551358,20
arxiv,B,single_specific,answer_relevance,15,35,0.39611529566389636,0.35873242737618416,20
arxiv,B,single_specific,answer_relevance,20,35,0.6276470588235293,0.28000926825985367,20
arxiv,B,single_specific,answer_relevance,30,35,0.8798529411764704,0.08311243791178392,20
arxiv,B,single_specific,answer_relevance,35,35,1.0,0.0,20
arxiv,B,single_specific,context_relevance,3,35,0.5444310705710911,0.10038318128217853,8
arxiv,B,single_specific,context_relevance,5,35,0.5505778090294776,0.09622577445160706,9
arxiv,B,single_specific,context_relevance,10,35,0.6125944412088106,0.15179701472034232,15
arxiv,B,single_specific,context_relevance,15,35,0.6997643538160334,0.20081047065575708,19
arxiv,B,single_specific,context_relevance,20,35,0.7853467415000355,0.20837496471835235,20
arxiv,B,single_specific,context_relevance,30,35,0.9515545368389476,0.0907004497308451,20
arxiv,B,single_specific,context_relevance,35,35,0.9999999999999998,0.0,20
arxiv,B,single_specific,composite,3,35,0.35296768610866425,0.3645463767169795,20
arxiv,B,single_specific,composite,5,35,0.4314739240602415,0.334510242318716,20
arxiv,B,single_specific,composite,10,35,0.5550386431761208,0.2881025215886173,20
arxiv,B,single_specific,composite,15,35,0.6370588235294117,0.259041352191747,20
arxiv,B,single_specific,composite,20,35,0.6722058823529412,0.30477383270278635,20
arxiv,B,single_specific,composite,30,35,0.9125,0.058984155693180586,20
arxiv,B,single_specific,composite,35,35,1.0,0.0,20
arxiv,B,aggregate_cross_paper,faithfulness,3,33,0.2584789649635356,0.3125189535940233,20
arxiv,B,aggregate_cross_paper,faithfulness,5,33,0.30051093028628156,0.3126734546280762,20
arxiv,B,aggregate_cross_paper,faithfulness,10,33,0.53289887744258,0.26705919995222954,20
arxiv,B,aggregate_cross_paper,faithfulness,15,33,0.6677941176470588,0.2172083714859964,20
arxiv,B,aggregate_cross_paper,faithfulness,20,33,0.7854411764705882,0.14759746940845073,20
arxiv,B,aggregate_cross_paper,faithfulness,30,33,0.9491176470588234,0.03692435922935249,20
arxiv,B,aggregate_cross_paper,faithfulness,33,33,1.0,0.0,20
arxiv,B,aggregate_cross_paper,answer_relevance,3,33,0.30290407859752333,0.3427194241267681,20
arxiv,B,aggregate_cross_paper,answer_relevance,5,33,0.4553227872310533,0.3571385689800122,20
arxiv,B,aggregate_cross_paper,answer_relevance,10,33,0.6205882352941177,0.19457610745334458,20
arxiv,B,aggregate_cross_paper,answer_relevance,15,33,0.694264705882353,0.1670797289115253,20
arxiv,B,aggregate_cross_paper,answer_relevance,20,33,0.8158823529411766,0.104170807299481,20
arxiv,B,aggregate_cross_paper,answer_relevance,30,33,0.9588235294117646,0.03379154497963544,20
arxiv,B,aggregate_cross_paper,answer_relevance,33,33,1.0,0.0,20
arxiv,B,aggregate_cross_paper,context_relevance,3,33,0.7354590834852829,0.14719402391875025,17
arxiv,B,aggregate_cross_paper,context_relevance,5,33,0.7798257107360902,0.12230171060848846,20
arxiv,B,aggregate_cross_paper,context_relevance,10,33,0.891511230334344,0.05794312560995069,20
arxiv,B,aggregate_cross_paper,context_relevance,15,33,0.9244102285333605,0.04216877018057512,20
arxiv,B,aggregate_cross_paper,context_relevance,20,33,0.9381921247061793,0.024312534863294006,20
arxiv,B,aggregate_cross_paper,context_relevance,30,33,0.9698998374141887,0.017592573126110254,20
arxiv,B,aggregate_cross_paper,context_relevance,33,33,0.9999999999999998,0.0,20
arxiv,B,aggregate_cross_paper,composite,3,33,0.46061185906453483,0.2712175536199785,20
arxiv,B,aggregate_cross_paper,composite,5,33,0.5275,0.21388900809874997,20
arxiv,B,aggregate_cross_paper,composite,10,33,0.6697058823529412,0.18646015001402472,20
arxiv,B,aggregate_cross_paper,composite,15,33,0.7492647058823529,0.11571529836982063,20
arxiv,B,aggregate_cross_paper,composite,20,33,0.7829411764705883,0.10492458982608896,20
arxiv,B,aggregate_cross_paper,composite,30,33,0.9361764705882353,0.041072347342987016,20
arxiv,B,aggregate_cross_paper,composite,33,33,1.0,0.0,20
arxiv,B,edge_multihop,faithfulness,3,34,0.5895555090746117,0.261210367409484,20
arxiv,B,edge_multihop,faithfulness,5,34,0.6518461497537882,0.2748924921800988,20
arxiv,B,edge_multihop,faithfulness,10,34,0.7972285490154352,0.1106175191255765,20
arxiv,B,edge_multihop,faithfulness,15,34,0.8604119127178496,0.07836798847780002,20
arxiv,B,edge_multihop,faithfulness,20,34,0.9274115319843762,0.0414616647658124,20
arxiv,B,edge_multihop,faithfulness,30,34,0.9773154051879264,0.012852378332066565,20
arxiv,B,edge_multihop,faithfulness,34,34,1.0,0.0,20
arxiv,B,edge_multihop,answer_relevance,3,34,0.7473815356370724,0.18189634067447907,18
arxiv,B,edge_multihop,answer_relevance,5,34,0.7187161505985838,0.2171243597807115,20
arxiv,B,edge_multihop,answer_relevance,10,34,0.8116247344533474,0.11291136815831429,20
arxiv,B,edge_multihop,answer_relevance,15,34,0.8793516978189253,0.18091821278703965,20
arxiv,B,edge_multihop,answer_relevance,20,34,0.9419710217989016,0.042255054792374486,20
arxiv,B,edge_multihop,answer_relevance,30,34,0.9822414968980222,0.02074111460774504,20
arxiv,B,edge_multihop,answer_relevance,34,34,1.0,0.0,20
arxiv,B,edge_multihop,context_relevance,3,34,-0.0950381926622983,0.0,3
arxiv,B,edge_multihop,context_relevance,5,34,0.2289690798872218,0.46368714471124256,6
arxiv,B,edge_multihop,context_relevance,10,34,0.5123378390219002,0.46929393911130424,11
arxiv,B,edge_multihop,context_relevance,15,34,0.5124754433680518,0.4805224590002432,16
arxiv,B,edge_multihop,context_relevance,20,34,0.5939818107746546,0.4949149389833465,18
arxiv,B,edge_multihop,context_relevance,30,34,0.8357442711006552,0.3910068439709359,20
arxiv,B,edge_multihop,context_relevance,34,34,1.0,0.0,20
arxiv,B,edge_multihop,composite,3,34,0.3107874288492978,0.33971879034457203,20
