node_idx,edge_idx,text_idx,train_mean,num_nodes,num_edges,largest_cc_pct,source,flagged
N8,E10c,T12a,84.19927924995824,24722,156281,21.04,reused_from_quintile,True
N8,E10b,T12b,84.15994164070703,24722,156282,21.04,built_fresh,True
N8,E10b,T12e,84.09470508459444,24722,156282,21.04,built_fresh,True
N8,E10b,T12a,84.09192610201374,24722,156282,21.04,built_fresh,True
N8,E10c,T12b,83.96151440123181,24722,156281,21.04,reused_from_quintile,True
N8,E10c,T12e,83.91195705663272,24722,156281,21.04,built_fresh,True
N8,E11a,T12a,77.15167803969665,24722,172046,39.0,built_fresh,False
N8,E11a,T12e,77.11156244298212,24722,172046,39.0,built_fresh,False
N8,E11a,T12b,76.96327912207104,24722,172046,39.0,reused_from_quintile,False
N8,E11b,T12b,75.65445095754838,24722,1171713,17.85,built_fresh,True
N8,E11b,T12e,75.57351687467848,24722,1171713,17.85,built_fresh,True
N8,E11b,T12a,75.50837688452857,24722,1171713,17.85,built_fresh,True
N7,E11b,T12a,54.67276772742579,9178,447618,56.33,reused_from_quintile,False
N7,E11a,T12a,54.39232184447354,9178,692,1.46,built_fresh,True
N7,E10b,T12a,54.33494941329087,9178,4021,7.66,built_fresh,True
N7,E10c,T12a,54.0127083719375,9178,4021,7.66,built_fresh,True
N7,E11b,T12b,38.97385968700546,9178,447618,56.33,reused_from_quintile,False
N7,E11a,T12b,38.84224683044495,9178,468,0.19,built_fresh,True
N7,E10c,T12b,38.50200508013277,9178,4021,7.66,built_fresh,True
N7,E10b,T12b,38.12631047833316,9178,4021,7.66,built_fresh,True
