node_idx,edge_idx,text_idx,train_mean,num_nodes,num_edges,largest_cc_pct,flagged
N7,E10c,T12b,38.87946260530057,8610,13921,0.74,True
N7,E10b,T12b,38.73679168525954,8610,13921,0.74,True
N9,E10c,T12b,37.86364757878168,8238,13918,1.58,True
N9,E10b,T12b,37.73199714439061,8238,13918,1.58,True
N9,E10c,T12e,37.59329273303808,8238,13918,1.58,True
N9,E10b,T12e,37.56120518382895,8238,13918,1.58,True
N9,E10c,T12a,37.527844614578,8238,13918,1.58,True
N9,E10b,T12a,37.44080227719876,8238,13918,1.58,True
N8,E11c,T12a,13.064048602598891,5519,243,0.07,True
N8,E10a,T12b,12.974050146791644,5519,243,0.07,True
N8,E10c,T12b,12.957363664580113,5519,0,0.02,True
N8,E10b,T12a,12.895009856746206,5519,0,0.02,True
N8,E10a,T12e,12.858646545441625,5519,243,0.07,True
N8,E10b,T12e,12.847101728676298,5519,0,0.02,True
N8,E10c,T12e,12.812622245721329,5519,0,0.02,True
N8,E10c,T12a,12.70042193257434,5519,0,0.02,True
N8,E11c,T12e,12.671950387840248,5519,243,0.07,True
N8,E11b,T12b,12.628038989470138,5519,274675,100.0,False
N8,E10a,T12a,12.626701844237498,5519,243,0.07,True
N8,E10b,T12b,12.606389150791,5519,0,0.02,True
N8,E11b,T12a,12.531866460868557,5519,274675,100.0,False
N8,E11c,T12b,12.45628060347745,5519,243,0.07,True
N8,E11b,T12e,12.300183235724267,5519,274675,100.0,False
N8,E11a,T12a,12.289800319809192,5519,71236,38.18,False
N8,E11a,T12b,12.189588081267972,5519,71236,38.18,False
N8,E11a,T12e,12.098101983499042,5519,71236,38.18,False
