node_idx,edge_idx,text_idx,train_mean,num_nodes,num_edges,largest_cc_pct,flagged
N7,E10b,T12a,54.54109726904737,6431,12224,0.58,True
N7,E10b,T12b,54.516007686120496,6431,12224,0.58,True
N7,E10c,T12a,54.13425364928053,6431,12224,0.58,True
N7,E10c,T12b,55.25261278716537,6431,12224,0.58,True
N7,E11a,T12a,56.72891004631957,6431,13552,5.04,True
N7,E11a,T12b,56.78932352796342,6431,27642,8.57,True
N7,E11b,T12a,57.18359436117151,6431,293711,40.02,False
N7,E11b,T12b,57.87783061502071,6431,293711,40.02,False
N8,E10a,T12a,13.707668883481686,3641,428,0.19,True
N8,E10a,T12b,14.318990198808391,3641,428,0.19,True
N8,E10a,T12e,13.524540598695468,3641,428,0.19,True
N8,E10b,T12a,12.929254232430411,3641,0,0.03,True
N8,E10b,T12b,12.465834340851938,3641,0,0.03,True
N8,E10b,T12e,12.31983023555267,3641,0,0.03,True
N8,E10c,T12a,12.763933076357862,3641,0,0.03,True
N8,E10c,T12b,13.100751954486082,3641,0,0.03,True
N8,E10c,T12e,12.898780115992018,3641,0,0.03,True
N8,E11a,T12a,11.481933139939716,3641,70247,55.7,False
N8,E11a,T12b,11.323050947606522,3641,70247,55.7,False
N8,E11a,T12e,11.90582637071082,3641,70247,55.7,False
N8,E11b,T12a,11.51218341531077,3641,180775,100.0,False
N8,E11b,T12b,11.63603053473339,3641,180775,100.0,False
N8,E11b,T12e,10.779902455390143,3641,180775,100.0,False
N8,E11c,T12a,13.66722811352139,3641,428,0.19,True
N8,E11c,T12b,13.480280582466465,3641,428,0.19,True
N8,E11c,T12e,13.645459637854518,3641,428,0.19,True
N9,E10b,T12a,52.5647216033076,5747,12222,10.61,True
N9,E10b,T12b,52.19598882346772,5747,12222,10.61,True
N9,E10b,T12e,52.52106396578715,5747,12222,10.61,True
N9,E10c,T12a,53.18988806847658,5747,12222,10.61,True
N9,E10c,T12b,52.99465545939008,5747,12222,10.61,True
N9,E10c,T12e,52.503235301961006,5747,12222,10.61,True
N9,E11a,T12a,55.58977951471806,5747,19176,8.25,True
N9,E11a,T12b,55.65283357126869,5747,19176,8.25,True
N9,E11a,T12e,55.27442835984824,5747,19176,8.25,True
N9,E11b,T12a,55.41947607512656,5747,259273,37.48,False
N9,E11b,T12b,55.91185224408674,5747,259273,37.48,False
N9,E11b,T12e,55.86935323899921,5747,259273,37.48,False
