dataset,subtype,n_full,n,mean_rho,std_rho
amazon,single_specific,7,3,0.8839167941545213,0.04781853896962433
amazon,single_specific,7,5,0.9545454545454545,0.03134569828117755
amazon,single_specific,7,7,0.9999999999999998,1.1102230246251565e-16
amazon,aggregate_cross_paper,7,3,0.4545279276380696,0.30155664971438295
amazon,aggregate_cross_paper,7,5,0.6660606060606059,0.2638550120829346
amazon,aggregate_cross_paper,7,7,0.9999999999999998,1.1102230246251565e-16
amazon,edge_multihop,6,3,0.6174801469312586,0.18031413430893098
amazon,edge_multihop,6,5,0.8146656801476025,0.20609096869990562
amazon,edge_multihop,6,6,0.9999999999999998,1.1102230246251565e-16
amazon,all_combined,20,3,0.38825289035832566,0.5242530649354284
amazon,all_combined,20,5,0.5842488815240923,0.32023003203862566
amazon,all_combined,20,7,0.7515151515151515,0.13759044107998208
amazon,all_combined,20,20,0.9999999999999998,1.1102230246251565e-16
