dataset,subtype,n_full,n,mean_rho,std_rho
arxiv,single_specific,7,3,0.31503467891684933,0.28815379408864944
arxiv,single_specific,7,5,0.7452380952380954,0.21862018337861414
arxiv,single_specific,7,7,1.0,0.0
arxiv,aggregate_cross_paper,7,3,0.5154761904761905,0.43116115700588986
arxiv,aggregate_cross_paper,7,5,0.7607142857142859,0.22917516991027054
arxiv,aggregate_cross_paper,7,7,1.0,0.0
arxiv,edge_multihop,6,3,0.6210871608693492,0.46456645336658475
arxiv,edge_multihop,6,5,0.7964285714285715,0.30892570417973936
arxiv,edge_multihop,6,6,1.0,0.0
arxiv,all_combined,20,3,0.22928464284537825,0.5610872143372517
arxiv,all_combined,20,5,0.5095238095238097,0.5232897854406154
arxiv,all_combined,20,7,0.5523809523809524,0.4343916955061602
arxiv,all_combined,20,20,1.0,0.0
