dataset,node_type,edge_type,rho_text_ragas,p_text_ragas,n,rho_edgerank_ragas,p_edgerank_ragas
amazon,N7,E10b,,,2,,
amazon,N7,E10c,,,2,,
amazon,N7,E11a,,,2,,
amazon,N7,E11b,,,2,,
amazon,N7,__ALL__,,,8,-0.19518001458970666,0.6432255386372303
amazon,N8,E10a,-0.5,0.6666666666666667,3,,
amazon,N8,E10b,0.5,0.6666666666666667,3,,
amazon,N8,E10c,-0.5,0.6666666666666667,3,,
amazon,N8,E11a,0.5,0.6666666666666667,3,,
amazon,N8,E11b,1.0,0.0,3,,
amazon,N8,E11c,0.5,0.6666666666666667,3,,
amazon,N8,__ALL__,,,18,-0.7430051225385539,0.000411126189998075
amazon,N9,E10b,0.5,0.6666666666666667,3,,
amazon,N9,E10c,1.0,0.0,3,,
amazon,N9,E11a,1.0,0.0,3,,
amazon,N9,E11b,-0.5,0.6666666666666667,3,,
amazon,N9,__ALL__,,,12,-0.25910011025251833,0.41610570500180943
electronics,N7,E10b,,,2,,
electronics,N7,E10c,,,2,,
electronics,N7,E11a,,,2,,
electronics,N7,E11b,,,2,,
electronics,N7,__ALL__,,,8,-0.3415650255319867,0.4076337385331202
electronics,N8,E10a,0.5,0.6666666666666667,3,,
electronics,N8,E10b,-0.5,0.6666666666666667,3,,
electronics,N8,E10c,-0.5,0.6666666666666667,3,,
electronics,N8,E11a,0.5,0.6666666666666667,3,,
electronics,N8,E11b,0.5,0.6666666666666667,3,,
electronics,N8,E11c,0.5,0.6666666666666667,3,,
electronics,N8,__ALL__,,,18,-0.36679999720257733,0.13433067108830438
electronics,N9,E10b,0.5,0.6666666666666667,3,,
electronics,N9,E10c,1.0,0.0,3,,
electronics,N9,E11a,1.0,0.0,3,,
electronics,N9,E11b,-1.0,0.0,3,,
electronics,N9,__ALL__,,,12,-0.38865016537877745,0.21182446931281418
arxiv,N7,E10b,,,2,,
arxiv,N7,E10c,,,2,,
arxiv,N7,E11a,,,2,,
arxiv,N7,E11b,,,2,,
arxiv,N7,__ALL__,,,8,-0.7807200583588266,0.022214514665634247
arxiv,N8,E10b,0.5,0.6666666666666667,3,,
arxiv,N8,E10c,0.5,0.6666666666666667,3,,
arxiv,N8,E11a,1.0,0.0,3,,
arxiv,N8,E11b,1.0,0.0,3,,
arxiv,N8,__ALL__,,,12,-0.7125253031944253,0.009311364660226546
toys,N7,E10b,,,2,,
toys,N7,E10c,,,2,,
toys,N7,E11a,,,2,,
toys,N7,E11b,,,2,,
toys,N7,__ALL__,,,8,-0.2439750182371333,0.560375584963329
toys,N8,E10a,0.5,0.6666666666666667,3,,
toys,N8,E10b,0.5,0.6666666666666667,3,,
toys,N8,E10c,-0.5,0.6666666666666667,3,,
toys,N8,E11a,-0.5,0.6666666666666667,3,,
toys,N8,E11b,-1.0,0.0,3,,
toys,N8,E11c,-0.5,0.6666666666666667,3,,
toys,N8,__ALL__,,,18,-0.2664786304463168,0.2851202992456349
toys,N9,E10b,0.5,0.6666666666666667,3,,
toys,N9,E10c,-0.5,0.6666666666666667,3,,
toys,N9,E11a,0.5,0.6666666666666667,3,,
toys,N9,E11b,0.5,0.6666666666666667,3,,
toys,N9,__ALL__,,,12,-0.25910011025251833,0.41610570500180943
history,N7,E10b,,,2,,
history,N7,E10c,-0.5,0.6666666666666667,3,,
history,N7,E11a,,,2,,
history,N7,E11b,,,2,,
history,N7,__ALL__,,,9,0.008587567332159077,0.982506626577604
