dataset,node_type,n,rho_rawgnn_ragas,p_rawgnn_ragas,underpowered
amazon,N7,8,-0.2142857142857143,0.6103444156452669,False
amazon,N8,18,0.6346749226006192,0.00466284274887114,False
amazon,N9,12,-0.35664335664335667,0.25513775175895714,False
electronics,N7,8,-0.38095238095238104,0.3518125531175647,False
electronics,N8,18,0.5397316821465429,0.020782714646741193,False
electronics,N9,12,-0.16083916083916086,0.6175234895401425,False
arxiv,N7,8,-0.28571428571428575,0.4927262450169573,False
arxiv,N8,12,0.7342657342657343,0.006543490146837885,False
toys,N7,8,-0.14285714285714288,0.735764859879812,False
toys,N8,18,0.23632610939112486,0.34510124880977866,False
toys,N9,12,0.2657342657342658,0.40383308831471165,False
history,N7,9,-0.31666666666666665,0.4063970144863861,False
