row_idx,primary_id,aggregate_id,categorical_label,scalar_label
0,8049,Asia,2,79.94
1,33974,Americas,1,19.96
2,6188,Europe,4,23.25
3,17983,Americas,1,30.0
4,22261,Americas,1,40.0
5,3933,Americas,1,
6,40629,Europe,4,19.4
7,10497,Americas,1,20.08
8,1791,Americas,1,
9,24462,Americas,1,
10,25929,World,0,15.0
11,19851,World,0,26.0
12,27178,Americas,1,29.75
13,36534,Americas,1,
14,585,Historical Study & Educational Resources,9,7.01
15,26907,Americas,1,10.92
16,14922,Americas,1,96.0
17,6550,Americas,1,
18,31830,Americas,1,19.95
19,40329,World,0,9.48
20,24039,Europe,4,7.0
21,19788,World,0,24.95
22,20153,Americas,1,15.16
23,21525,Americas,1,
24,5001,Europe,4,27.95
25,30546,Military,3,12.95
26,37386,Americas,1,
27,6670,Americas,1,25.19
28,22213,Americas,1,31.25
29,19461,Americas,1,
30,2055,World,0,
31,40605,Americas,1,11.0
32,25403,Historical Study & Educational Resources,9,56.01
33,2088,Americas,1,
34,20427,Americas,1,24.76
35,1331,Ancient Civilizations,7,20.99
36,729,Americas,1,
37,4165,Americas,1,23.42
38,38854,Military,3,
39,2893,Americas,1,
40,19107,Americas,1,13.27
41,29056,Military,3,12.0
42,7369,Military,3,14.5
43,24048,Americas,1,
44,13659,Americas,1,
45,19579,Americas,1,
46,20945,Americas,1,14.47
47,4785,Military,3,15.31
48,9931,Americas,1,22.62
49,40723,Asia,2,12.6
50,31884,World,0,
51,8569,World,0,
52,22524,Americas,1,
53,11104,Americas,1,
54,12536,Americas,1,18.56
55,20063,Americas,1,
56,36426,Military,3,29.0
57,7569,World,0,
58,23075,World,0,23.22
59,38882,Americas,1,31.0
60,25862,World,0,
61,18871,Americas,1,
62,3619,Europe,4,31.45
63,13651,Americas,1,5.58
64,21967,Europe,4,7.66
65,26138,Military,3,7.99
66,9632,Americas,1,
67,39434,Europe,4,
68,32601,World,0,14.61
69,26583,Americas,1,16.34
70,25670,Military,3,
71,20376,Americas,1,
72,40322,Americas,1,
73,16537,Americas,1,21.31
74,24015,Americas,1,31.66
75,22954,Americas,1,8.64
76,15632,World,0,
77,10075,Americas,1,25.0
78,16975,Americas,1,5.99
79,11616,Americas,1,16.73
80,10146,Americas,1,20.98
81,38700,Europe,4,28.25
82,24291,Americas,1,36.0
83,7650,Americas,1,15.95
84,29854,Americas,1,
85,26033,Americas,1,17.99
86,9761,World,0,
87,37256,Military,3,
88,34922,Americas,1,
89,12148,Americas,1,11.64
90,9301,Americas,1,21.98
91,14876,Americas,1,
92,24653,Americas,1,
93,30159,Europe,4,8.33
94,19365,Americas,1,
95,10013,Americas,1,14.55
96,25781,Military,3,
97,11605,Americas,1,10.0
98,23003,Americas,1,
99,29686,Military,3,25.0
100,17248,Americas,1,
101,7646,Americas,1,15.9
102,19291,Americas,1,17.92
103,33871,World,0,20.0
104,20392,Americas,1,30.95
105,33119,World,0,6.94
106,40094,Americas,1,22.34
107,4285,Americas,1,25.0
108,8247,World,0,27.99
109,9590,Americas,1,
110,27389,Military,3,7.83
111,13926,Military,3,29.96
112,26830,Military,3,22.43
113,20457,Americas,1,18.16
114,20310,Americas,1,22.1
115,37205,World,0,10.3
116,38953,Americas,1,21.95
117,9803,Americas,1,15.25
118,2743,World,0,
119,16726,Asia,2,15.67
120,24957,Americas,1,23.75
121,38761,Americas,1,24.95
122,8305,Americas,1,
123,40218,Americas,1,23.85
124,23022,Europe,4,8.99
125,1392,Military,3,13.65
126,41271,Europe,4,99.95
127,8293,Americas,1,
128,12617,Americas,1,21.99
129,24384,World,0,22.95
130,28305,Americas,1,19.79
131,16716,Asia,2,11.87
132,17403,Americas,1,22.95
133,36736,Europe,4,21.95
134,35670,Americas,1,23.18
135,13925,Military,3,
136,11098,World,0,47.94
137,25748,Americas,1,
138,2561,World,0,
139,40458,Americas,1,
140,19955,Americas,1,35.96
141,19034,Americas,1,2.72
142,11034,Europe,4,30.0
143,40381,World,0,12.95
144,31043,World,0,40.45
145,29415,Europe,4,12.22
146,39767,Middle East,8,
147,38283,Asia,2,14.62
148,19165,Americas,1,22.14
149,37531,Military,3,
150,40025,World,0,45.45
151,18106,Americas,1,
152,33934,Military,3,14.97
153,28372,Americas,1,15.63
154,28631,Americas,1,15.94
155,16408,Americas,1,
156,7225,Americas,1,
157,30364,Americas,1,11.13
158,25214,Americas,1,7.2
159,40556,Asia,2,10.0
160,3248,World,0,27.07
161,12639,Americas,1,17.38
162,4548,Ancient Civilizations,7,53.11
163,20783,Americas,1,
164,2150,Americas,1,
165,11466,Americas,1,21.99
166,23069,Americas,1,50.59
167,1905,Americas,1,
168,17977,Americas,1,
169,10132,Americas,1,39.99
170,17362,Americas,1,
171,29876,World,0,37.0
172,34168,Americas,1,10.84
173,17005,Americas,1,
174,30008,Americas,1,19.99
175,20094,Americas,1,15.96
176,6703,Americas,1,16.95
177,11404,Americas,1,15.49
178,24411,Americas,1,12.95
179,7134,World,0,
180,22882,Americas,1,
181,15176,Americas,1,
182,20582,Americas,1,
183,38794,Military,3,34.37
184,18367,Europe,4,7.95
185,16540,Americas,1,
186,33770,World,0,12.44
187,23115,Americas,1,9.95
188,23753,Americas,1,20.65
189,17487,Americas,1,
190,36082,Military,3,17.95
191,3270,World,0,40.0
192,30036,Americas,1,29.95
193,15999,Americas,1,13.96
194,37017,Military,3,17.96
195,7908,World,0,34.55
196,7294,Americas,1,9.73
197,36915,Asia,2,18.12
198,34639,Americas,1,19.17
199,40200,Americas,1,29.95
200,14583,Americas,1,39.95
201,216,Americas,1,
202,13561,Americas,1,18.55
203,17364,Americas,1,
204,1900,Americas,1,
205,1464,World,0,14.4
206,9987,Military,3,7.58
207,1993,Americas,1,
208,1554,World,0,22.69
209,21466,Europe,4,21.55
210,10097,Americas,1,
211,7861,Americas,1,
212,5503,Europe,4,26.04
213,11873,Americas,1,21.99
214,22665,Americas,1,
215,4168,Americas,1,22.42
216,37642,Europe,4,18.95
217,12248,Americas,1,18.35
218,14948,World,0,13.36
219,17099,Americas,1,
220,26409,Asia,2,21.15
221,6465,World,0,6.76
222,24959,Military,3,14.95
223,33698,World,0,30.54
224,23101,Africa,6,26.95
225,23467,Americas,1,
226,22202,Americas,1,50.0
227,18714,Americas,1,19.95
228,20645,Americas,1,
229,6326,World,0,8.98
230,6315,Americas,1,9.95
231,28158,Americas,1,21.99
232,31484,World,0,
233,15130,Americas,1,
234,18881,World,0,
235,5457,Americas,1,8.35
236,17228,Americas,1,27.56
237,14009,Europe,4,
238,18838,Americas,1,
239,31866,World,0,17.0
240,1681,Americas,1,8.98
241,30016,World,0,
242,10210,Europe,4,16.89
243,22793,Americas,1,
244,9410,World,0,4.95
245,16815,World,0,27.8
246,5865,Americas,1,16.99
247,13849,Americas,1,18.45
248,38162,Europe,4,17.95
249,2299,World,0,
250,35907,World,0,
251,38807,Asia,2,35.77
252,28494,Americas,1,21.99
253,11461,Americas,1,21.32
254,9235,World,0,
255,21095,Americas,1,18.27
256,37551,Europe,4,19.95
257,33219,Americas,1,14.39
258,8091,Europe,4,
259,6324,Americas,1,17.08
260,17851,Europe,4,20.15
261,1395,Europe,4,12.21
262,7905,Ancient Civilizations,7,9.95
263,37601,Military,3,19.95
264,23966,World,0,14.9
265,15988,Americas,1,25.95
266,23819,Military,3,
267,27820,Americas,1,25.0
268,32712,Americas,1,11.95
269,19534,Americas,1,19.32
270,21704,Military,3,22.94
271,6206,Military,3,16.0
272,4,Americas,1,40.91
273,10229,Americas,1,5.94
274,5020,Europe,4,14.26
275,37622,Europe,4,11.83
276,24374,Americas,1,
277,32519,World,0,9.95
278,40552,Military,3,16.95
279,11625,Americas,1,
280,4325,Americas,1,15.49
281,6016,Americas,1,
282,5712,Military,3,27.9
283,22968,Americas,1,
284,40399,World,0,17.19
285,23883,Americas,1,16.0
286,625,Historical Study & Educational Resources,9,14.99
287,12701,Americas,1,21.83
288,30956,Americas,1,24.99
289,33486,Americas,1,19.99
290,20899,Americas,1,26.1
291,4152,Americas,1,
292,6330,Europe,4,16.97
293,17208,Americas,1,23.04
294,28358,Americas,1,17.37
295,36015,Americas,1,14.87
296,37227,Europe,4,19.33
297,40497,Military,3,14.99
298,25770,World,0,15.26
299,5401,Americas,1,20.96
300,28316,Americas,1,21.99
301,2445,World,0,
302,14750,Americas,1,33.4
303,19006,Americas,1,23.43
304,33967,Americas,1,34.95
305,34367,Americas,1,18.53
306,31192,Americas,1,14.95
307,5199,World,0,14.0
308,29356,Americas,1,
309,27099,Americas,1,
310,35278,Europe,4,
311,7948,World,0,
312,23285,Military,3,
313,29498,Americas,1,8.95
314,10861,Americas,1,
315,27783,Americas,1,10.87
316,6217,Americas,1,11.88
317,6515,Americas,1,27.5
318,30729,World,0,13.94
319,10876,Military,3,34.95
320,657,Americas,1,13.46
321,37378,Europe,4,27.19
322,33316,Americas,1,13.1
323,465,World,0,
324,39427,Americas,1,11.98
325,5144,Americas,1,14.52
326,31292,Americas,1,17.95
327,10609,Americas,1,11.97
328,23362,World,0,26.33
329,18821,Americas,1,10.85
330,39444,Military,3,9.0
331,25615,Americas,1,7.99
332,1829,Europe,4,
333,10178,World,0,14.98
334,16701,World,0,
335,24339,Americas,1,
336,32587,Americas,1,3.69
337,323,Historical Study & Educational Resources,9,7.95
338,34330,Americas,1,16.99
339,14129,Europe,4,13.44
340,34061,Americas,1,19.26
341,19125,Americas,1,11.43
342,2791,World,0,
343,5411,Europe,4,19.02
344,27682,Americas,1,19.95
345,35928,Americas,1,19.45
346,24212,World,0,16.4
347,30474,Americas,1,12.95
348,2666,World,0,
349,35148,Ancient Civilizations,7,13.72
350,28990,Military,3,12.88
351,22503,Americas,1,
352,21433,World,0,18.0
353,9731,Americas,1,19.8
354,24650,World,0,19.05
355,22707,Americas,1,12.5
356,23694,Americas,1,10.68
357,39957,Americas,1,33.98
358,14117,Military,3,19.2
359,15602,World,0,
360,13841,Military,3,5.21
361,10592,Americas,1,6.99
362,39835,Americas,1,
363,9831,Middle East,8,32.79
364,16731,Americas,1,
365,35584,Americas,1,19.99
366,25349,Americas,1,7.64
367,27092,Americas,1,
368,4859,Europe,4,18.95
369,13529,Americas,1,21.99
370,772,Americas,1,8.9
371,14273,Military,3,
372,30634,World,0,
373,28623,Americas,1,13.59
374,2746,Americas,1,34.09
375,14019,World,0,44.73
376,25123,Europe,4,
377,5306,Ancient Civilizations,7,
378,35005,Americas,1,17.71
379,30248,Military,3,16.95
380,28750,Americas,1,29.95
381,30719,World,0,24.54
382,1451,Americas,1,16.38
383,28727,Americas,1,29.95
384,31081,Americas,1,59.99
385,33444,Americas,1,21.26
386,9798,Asia,2,
387,6793,Americas,1,18.78
388,24619,Americas,1,
389,1503,Americas,1,14.2
390,14495,Americas,1,19.95
391,26886,Americas,1,
392,6769,Historical Study & Educational Resources,9,
