paperId,title,year,venue,citationCount,similarity,tldr,authors,found_via,abstract_preview,arxiv,doi,oa_pdf,buckets,already_cited
6a58e4fd8afdf495d2b1c36bdb2c80e491cefc1a,OpenRTAG: A Comprehensive Benchmark for Robust Text-Attributed Graph Learning under Data Quality Degradation,2026,arXiv.org,0,0.9333,"OpenRTAG provides a standardized testbed for understanding robustness in TAG learning under realistic low-quality settings and systematically evaluates scenario validity and model sensitivity, compares traditional GNNs, LLM-GNNs, and a representative GFM, and investigates the effectiveness, efficiency, and robustness of scenario-matched baselines.",Yu-Ze Dai; Zhi-Han Zhang; Yan Zhao; Ruo-Yu Wu; Xun-Kai Li; Ze-Kai Chen; Qiangqiang Dai; Hong-Chao Qin; Rong-Hua Li,"CS-TAG:citations,OFA:citations,UltraTAG:citations","Text-attributed graphs (TAGs) are an important graph data form that combine relational structure with rich node text. However, real-world TAGs are often imperfect, with quality issues arising from tex",2607.19108,10.48550/arXiv.2607.19108,unavailable,B,no
02487e9dfefdcb667be4dc160780321555662a2e,TEG-DB: A Comprehensive Dataset and Benchmark of Textual-Edge Graphs,2024,Neural Information Processing Systems,15,0.9134,"This work introduces Textual-Edge Graphs Datasets and Benchmark (TEG-DB), a comprehensive and diverse collection of benchmark textual-edge datasets featuring rich textual descriptions on nodes and edges to enhance graph analysis and provide deeper insights into complex real-world networks.",Zhuofeng Li; Zixing Gou; Xiang-Nan Zhang; Zhongyuan Liu; Sirui Li; Yuntong Hu; Chen Ling; Zhengwu Zhang; Liang Zhao,"CS-TAG:citations,GLEM:citations","Text-Attributed Graphs (TAGs) augment graph structures with natural language descriptions, facilitating detailed depictions of data and their interconnections across various real-world settings. Howev",2406.10310,10.48550/arXiv.2406.10310,unavailable,B,no
589d8c5afc05002326fcde59a278593f5472e997,TAGLAS: An atlas of text-attributed graph datasets in the era of large graph and language models,2024,arXiv.org,11,0.9126,"This report presents TAGLAS, an atlas of text-attributed graph datasets and benchmarks, an atlas of text-attributed graph (TAG) datasets and benchmarks that allows a graph model to be simultaneously trained and evaluated on multiple datasets from various domains.",Jiarui Feng; Hao Liu; Lecheng Kong; Yixin Chen; Muhan Zhang,TAPE:citations,"In this report, we present TAGLAS, an atlas of text-attributed graph (TAG) datasets and benchmarks. TAGs are graphs with node and edge features represented in text, which have recently gained wide app",2406.14683,10.48550/arXiv.2406.14683,unavailable,B,no
99aba7ed9d314ef0fec5a98d99b7edf34d508b2b,Unleashing the Potential of Text-attributed Graphs: Automatic Relation Decomposition via Large Language Models,2024,arXiv.org,1,0.9108,"RoSE (Relation-oriented Semantic Edge-decomposition), a novel framework that leverages the capability of Large Language Models (LLMs) to decompose the graph structure by analyzing raw text attributes - in a fully automated manner, is introduced.",Hyunjin Seo; Taewon Kim; J. Yang; Eunho Yang,"GLEM:citations,TAPE:citations","Recent advancements in text-attributed graphs (TAGs) have significantly improved the quality of node features by using the textual modeling capabilities of language models. Despite this success, utili",2405.18581,10.48550/arXiv.2405.18581,unavailable,B,no
6239a1f9e05d75ac96bb5869049b0ab8f925f3b4,LLM Profiling and Fine-Tuning with Limited Neighbor Information for Node Classification on Text-Attributed Graphs,2025,BigData Congress [Services Society],0,0.9069,unavailable,Xinyi Fang; Kyumin Lee; Yichuan Li,TAPE:citations,"Graph representation learning has become a critical task across various domains such as social networks and recommender systems. Recently, the rise of large language models (LLMs) has opened up new po",unavailable,10.1109/BigData66926.2025.11401710,unavailable,B,no
ead02ad9851f06d948a868dadd03ed2943d267fb,GraphShaper: Geometry-aware Alignment for Improving Transfer Learning in Text-Attributed Graphs,2025,arXiv.org,0,0.9044,"This work introduces GraphShaper, a geometry-aware framework that enhances graph encoding through multi-geometric specialization, and employs expert networks tailored to different geometric spaces, dynamically computing fusion weights to adaptively integrate geometric properties based on local structural characteristics.",Heng Zhang; Tianyi Zhang; Yuling Shi; Xiao-Dong Gu; Yaomin Shen; Haochen You; Zijian Zhang; Yilei Yuan; Jin Huang,"GLEM:citations,OFA:citations,UltraTAG:citations",Graph foundation models represent a transformative paradigm for learning transferable representations across diverse graph domains. Recent methods leverage large language models to unify graph and tex,2510.12085,10.48550/arXiv.2510.12085,unavailable,B,no
7db7fc58c75e158d3aa231cec1eec1ba2ed74110,Actions Speak Louder than Prompts: A Large-Scale Study of LLMs for Graph Inference,2025,arXiv.org,4,0.9038,"A large-scale, controlled evaluation across several key axes of variability to systematically assess the strengths and weaknesses of LLM-based graph reasoning methods in text-based applications provides a comprehensive view of the strengths and limitations of current LLM-graph interaction modes.",Ben Finkelshtein; Silviu Cucerzan; S. Jauhar; Ryen W. White,TAPE:citations,"Large language models (LLMs) are increasingly used for text-rich graph machine learning tasks such as node classification in high-impact domains like fraud detection and recommendation systems. Yet, d",2509.18487,10.48550/arXiv.2509.18487,unavailable,F,no
d665c627f93f6c25e85f55e63d73de8d8e5394cd,A Comprehensive Benchmark for Graph Textual Summarization,2026,Proceedings of the 32nd ACM SIGKDD Conference on Knowledge Discovery and Data Mining V.2,0,0.9035,"This paper develops a comprehensive benchmark construction framework and constructs three diverse benchmark datasets and proposes a unified evaluation framework that assesses both linguistic quality and factual consistency, providing a comprehensive approach to evaluating generated summaries for content fidelity and accuracy.",Xiaoxuan Gou; Weiguo Zheng; Hanqing Guo; Yunjie Wang,CS-TAG:citations,"This paper introduces a novel task, graph textual summarization, which aims to generate natural language descriptions that capture both the semantic content and structural characteristics of graph dat",unavailable,10.1145/3770855.3817470,https://doi.org/10.1145/3770855.3817470,F,no
e1f17ae38ff963eab38650be328de40e78925bcf,GaLoRA: Parameter-Efficient Graph-Aware LLMs for Node Classification,2026,arXiv.org,1,0.9028,"GaLoRA, a parameter-efficient framework that integrates structural information into LLMs, is presented and demonstrates competitive performance on node classification tasks with TAGs, performing on par with state-of-the-art models with just 0.24% of the parameter count required by full LLM fine-tuning.",M. Choudhary; Saptarshi Sengupta; Katerina Potika,"CS-TAG:citations,GLEM:citations",The rapid rise of large language models (LLMs) and their ability to capture semantic relationships has led to their adoption in a wide range of applications. Text-attributed graphs (TAGs) are a notabl,2603.10298,10.48550/arXiv.2603.10298,unavailable,B,no
53f7970760481595d6415433ac84a0e613ec16d2,Evaluation Rigor from Graph Neural Networks to Graph Foundation Models: A Systematic Review and a Four-Axis Reporting Standard,2026,Machine Learning and Knowledge Extraction,1,0.9012,"It is argued that these failures share one cause: the saturation of benchmarks that can no longer discriminate between methods, and a minimum reporting standard is a concrete four-axis checklist that authors and reviewers can apply at negligible cost.",S. Kurashkin; V. Tynchenko; Alexey S. Borodulin; A. Hammoud; C. Tee,CS-TAG:citations,"Graph machine learning reports steady progress across node, graph, and link prediction, across temporal and hypergraph frontiers, and across the emerging class of graph foundation models. This review ",unavailable,10.3390/make8070194,https://doi.org/10.3390/make8070194,F,no
