paperId,title,year,venue,citationCount,similarity,buckets,authors,tldr,found_via,abstract_preview,already_cited
6a58e4fd8afdf495d2b1c36bdb2c80e491cefc1a,OpenRTAG: A Comprehensive Benchmark for Robust Text-Attributed Graph Learning under Data Quality Degradation,2026,arXiv.org,0,0.9333,B,Yu-Ze Dai; Zhi-Han Zhang; Yan Zhao; Ruo-Yu Wu; Xun-Kai Li; Ze-Kai Chen; Qiangqiang Dai; Hong-Chao Qin; Rong-Hua Li,"OpenRTAG provides a standardized testbed for understanding robustness in TAG learning under realistic low-quality settings and systematically evaluates scenario validity and model sensitivity, compares traditional GNNs, LLM-GNNs, and a representative GFM, and investigates the effectiveness, efficiency, and robustness of scenario-matched baselines.","CS-TAG:citations,OFA:citations,UltraTAG:citations","Text-attributed graphs (TAGs) are an important graph data form that combine relational structure with rich node text. However, real-world TAGs are often imperfect, with quality issues arising from tex",no
02487e9dfefdcb667be4dc160780321555662a2e,TEG-DB: A Comprehensive Dataset and Benchmark of Textual-Edge Graphs,2024,Neural Information Processing Systems,15,0.9134,B,Zhuofeng Li; Zixing Gou; Xiang-Nan Zhang; Zhongyuan Liu; Sirui Li; Yuntong Hu; Chen Ling; Zhengwu Zhang; Liang Zhao,"This work introduces Textual-Edge Graphs Datasets and Benchmark (TEG-DB), a comprehensive and diverse collection of benchmark textual-edge datasets featuring rich textual descriptions on nodes and edges to enhance graph analysis and provide deeper insights into complex real-world networks.","CS-TAG:citations,GLEM:citations","Text-Attributed Graphs (TAGs) augment graph structures with natural language descriptions, facilitating detailed depictions of data and their interconnections across various real-world settings. Howev",no
589d8c5afc05002326fcde59a278593f5472e997,TAGLAS: An atlas of text-attributed graph datasets in the era of large graph and language models,2024,arXiv.org,11,0.9126,B,Jiarui Feng; Hao Liu; Lecheng Kong; Yixin Chen; Muhan Zhang,"This report presents TAGLAS, an atlas of text-attributed graph datasets and benchmarks, an atlas of text-attributed graph (TAG) datasets and benchmarks that allows a graph model to be simultaneously trained and evaluated on multiple datasets from various domains.",TAPE:citations,"In this report, we present TAGLAS, an atlas of text-attributed graph (TAG) datasets and benchmarks. TAGs are graphs with node and edge features represented in text, which have recently gained wide app",no
99aba7ed9d314ef0fec5a98d99b7edf34d508b2b,Unleashing the Potential of Text-attributed Graphs: Automatic Relation Decomposition via Large Language Models,2024,arXiv.org,1,0.9108,B,Hyunjin Seo; Taewon Kim; J. Yang; Eunho Yang,"RoSE (Relation-oriented Semantic Edge-decomposition), a novel framework that leverages the capability of Large Language Models (LLMs) to decompose the graph structure by analyzing raw text attributes - in a fully automated manner, is introduced.","GLEM:citations,TAPE:citations","Recent advancements in text-attributed graphs (TAGs) have significantly improved the quality of node features by using the textual modeling capabilities of language models. Despite this success, utili",no
6239a1f9e05d75ac96bb5869049b0ab8f925f3b4,LLM Profiling and Fine-Tuning with Limited Neighbor Information for Node Classification on Text-Attributed Graphs,2025,BigData Congress [Services Society],0,0.9069,B,Xinyi Fang; Kyumin Lee; Yichuan Li,unavailable,TAPE:citations,"Graph representation learning has become a critical task across various domains such as social networks and recommender systems. Recently, the rise of large language models (LLMs) has opened up new po",no
ead02ad9851f06d948a868dadd03ed2943d267fb,GraphShaper: Geometry-aware Alignment for Improving Transfer Learning in Text-Attributed Graphs,2025,arXiv.org,0,0.9044,B,Heng Zhang; Tianyi Zhang; Yuling Shi; Xiao-Dong Gu; Yaomin Shen; Haochen You; Zijian Zhang; Yilei Yuan; Jin Huang,"This work introduces GraphShaper, a geometry-aware framework that enhances graph encoding through multi-geometric specialization, and employs expert networks tailored to different geometric spaces, dynamically computing fusion weights to adaptively integrate geometric properties based on local structural characteristics.","GLEM:citations,OFA:citations,UltraTAG:citations",Graph foundation models represent a transformative paradigm for learning transferable representations across diverse graph domains. Recent methods leverage large language models to unify graph and tex,no
7db7fc58c75e158d3aa231cec1eec1ba2ed74110,Actions Speak Louder than Prompts: A Large-Scale Study of LLMs for Graph Inference,2025,arXiv.org,4,0.9038,F,Ben Finkelshtein; Silviu Cucerzan; S. Jauhar; Ryen W. White,"A large-scale, controlled evaluation across several key axes of variability to systematically assess the strengths and weaknesses of LLM-based graph reasoning methods in text-based applications provides a comprehensive view of the strengths and limitations of current LLM-graph interaction modes.",TAPE:citations,"Large language models (LLMs) are increasingly used for text-rich graph machine learning tasks such as node classification in high-impact domains like fraud detection and recommendation systems. Yet, d",no
d665c627f93f6c25e85f55e63d73de8d8e5394cd,A Comprehensive Benchmark for Graph Textual Summarization,2026,Proceedings of the 32nd ACM SIGKDD Conference on Knowledge Discovery and Data Mining V.2,0,0.9035,B,Xiaoxuan Gou; Weiguo Zheng; Hanqing Guo; Yunjie Wang,"This paper develops a comprehensive benchmark construction framework and constructs three diverse benchmark datasets and proposes a unified evaluation framework that assesses both linguistic quality and factual consistency, providing a comprehensive approach to evaluating generated summaries for content fidelity and accuracy.",CS-TAG:citations,"This paper introduces a novel task, graph textual summarization, which aims to generate natural language descriptions that capture both the semantic content and structural characteristics of graph dat",no
e1f17ae38ff963eab38650be328de40e78925bcf,GaLoRA: Parameter-Efficient Graph-Aware LLMs for Node Classification,2026,arXiv.org,1,0.9028,B,M. Choudhary; Saptarshi Sengupta; Katerina Potika,"GaLoRA, a parameter-efficient framework that integrates structural information into LLMs, is presented and demonstrates competitive performance on node classification tasks with TAGs, performing on par with state-of-the-art models with just 0.24% of the parameter count required by full LLM fine-tuning.","CS-TAG:citations,GLEM:citations",The rapid rise of large language models (LLMs) and their ability to capture semantic relationships has led to their adoption in a wide range of applications. Text-attributed graphs (TAGs) are a notabl,no
53f7970760481595d6415433ac84a0e613ec16d2,Evaluation Rigor from Graph Neural Networks to Graph Foundation Models: A Systematic Review and a Four-Axis Reporting Standard,2026,Machine Learning and Knowledge Extraction,1,0.9012,F,S. Kurashkin; V. Tynchenko; Alexey S. Borodulin; A. Hammoud; C. Tee,"It is argued that these failures share one cause: the saturation of benchmarks that can no longer discriminate between methods, and a minimum reporting standard is a concrete four-axis checklist that authors and reviewers can apply at negligible cost.",CS-TAG:citations,"Graph machine learning reports steady progress across node, graph, and link prediction, across temporal and hypergraph frontiers, and across the emerging class of graph foundation models. This review ",no
7b52eaa15827c01ba43b8ef701f20abff214c716,GAugLLM: Improving Graph Contrastive Learning for Text-Attributed Graphs with Large Language Models,2024,Knowledge Discovery and Data Mining,38,0.901,B,Yi Fang; Dongzhe Fan; D. Zha; Qiaoyu Tan,"GAugLLM is introduced, a novel framework for augmenting TAGs that leverages advanced large language models like Mistral to enhance self-supervised graph learning and introduces a mixture-of-prompt-expert technique to generate augmented node features.",CS-TAG:citations,This work studies self-supervised graph learning for text-attributed graphs (TAGs) where nodes are represented by textual attributes. Unlike traditional graph contrastive methods that perturb the nume,no
7491b6e7f22e65e1ab4608aac1be4949c53fe0dd,Multi-Scale Heterogeneous Text-Attributed Graph Datasets From Diverse Domains,2024,The Web Conference,7,0.9004,B,Yunhui Liu; Qizhuo Xie; Jinwei Shi; Jiaxu Shen; Tieke He,"A collection of challenging and diverse benchmark datasets for realistic and reproducible evaluation of machine learning models on HTAGs, which cover a wide range of domains, including movie, community question answering, academic, literature, and patent networks.","CS-TAG:citations,GLEM:citations,TAPE:citations","Heterogeneous Text-Attributed Graphs (HTAGs), where different types of entities are not only associated with texts but also connected by diverse relationships, have gained widespread popularity and ap",no
29cea609079cff56be03fefbec3bc6ca868b1f56,S2Aligner: Pair-Efficient and Transferable Pre-Training for Sparse Text-Attributed Graphs,2026,arXiv.org,0,0.8999,B,Yuhang Wang; Haopeng Zhang; Yibo Ding; Jia-Qi Yu; Xinyu Zhao; Yuhang Liu; Ziwei Zhang; Xiao Wang; Ruijie Wang,"S2Aligner is presented, a sparsity-aware and structure-enhanced LLM-as-Aligner framework for graph-text pre-training on sparse TAGs that decouple semantic alignment from structural modeling, allowing topology-aware signals to enhance alignment without contaminating the shared semantic space.","CS-TAG:citations,OFA:citations","Pre-training on text-attributed graphs (TAGs) is central to building transferable graph foundation models, where LLM-as-Aligner methods align graph and text representations through the semantic knowle",no
fbdae06c37f67868983f4ba419cbbb9402c31e27,UniGraph: Learning a Unified Cross-Domain Foundation Model for Text-Attributed Graphs,2024,Knowledge Discovery and Data Mining,79,0.8982,B,Yu-Fei He; Yuan Sui; Xiao-Xin He; Bryan Hooi,"The UniGraph framework, designed to learn a foundation model for TAGs, which is capable of generalizing to unseen graphs and tasks across diverse domains, and the first pre-training algorithm specifically designed for large-scale self-supervised learning on TAGs, based on Masked Graph Modeling are presented.",UltraTAG:references,"Foundation models like ChatGPT and GPT-4 have revolutionized artificial intelligence, exhibiting remarkable abilities to generalize across a wide array of tasks and applications beyond their initial t",no
78a0d1593e9a75a9f946ceb9b81cdceef99f5b39,TAGA: Text-Attributed Graph Self-Supervised Learning by Synergizing Graph and Text Mutual Transformations,2024,International Conference on Information and Knowledge Management,7,0.898,B,Zhengwu Zhang; Yuntong Hu; Bo Pan; Chen Ling; Liang Zhao,"A new self-supervised learning framework, Text-Attributed-Graph Multi-View Alignment (TAGA), which overcomes constraints by integrating TAGs' structural and semantic dimensions and demonstrates strong performance in zero-shot and few-shot scenarios across eight real-world datasets.","CS-TAG:citations,GLEM:citations,TAPE:citations","Text-Attributed Graphs (TAGs) enhance graph structures with natural language descriptions, enabling detailed representation of data and their relationships across a broad spectrum of real-world scenar",no
3c0c02c009b44126b5a16540cbb531687da110a8,When LLM Agents Meet Graph Optimization: An Automated Data Quality Improvement Approach,2025,unavailable,0,0.8974,B,Zhi-Han Zhang; Xun-Kai Li; Yilong Zuo; Henan Sun; Zhenjun Li; Bing Zhou; Rong-Hua Li; Guoren Wang,"LAGA formulates graph quality control as a data-centric process, integrating detection, planning, action, and evaluation agents into an automated loop and holistically enhances textual, structural, and label aspects through coordinated multi-modal optimization.","CS-TAG:citations,GSL_IDGL:citations,GSL_ProGNN:citations,TAPE:citations,UltraTAG:citations","Text-attributed graphs (TAGs) have become a key form of graph-structured data in modern data management and analytics, combining structural relationships with rich textual semantics for diverse applic",no
0f6e72c46e14ec7e119c3125795ed4d1d8aa2cf1,GraphInfer-Bench: Benchmarking LLM's Inference Capability on Graphs,2026,arXiv.org,0,0.897,C,Zhuo Peng; Jing Jiang; Hanlin Gu; Lixin Fan; Yi Yang,"GraphInfer-Bench is introduced, a benchmark for whether LLMs can perform this graph inference: producing an open-ended answer that no single node supports and no path retrieves, and surfaces graph inference as an open capability gap rather than a property of any one architecture.",OFA:citations,"Graph analysis underlies many applications whose answers cannot be looked up in a single record or retrieved along a path: laundering rings, drug repurposing, user preference, and scientific theme are",no
03ee0f2482b544ef9705f31edeac5cf1c0197304,Turning Tabular Foundation Models into Graph Foundation Models,2025,arXiv.org,29,0.8958,"B,T",Dmitry Eremeev; Gleb Bazhenov; Oleg Platonov; Artem Babenko; Liudmila Prokhorenkova,"G2T-FM is proposed, a simple framework that allows tabular foundation models to be applied to graph node-level tasks, and achieves strong results when combined with a strong TFM, outperforming both prior GFMs and well-tuned GNNs trained from scratch.",OFA:citations,"While foundation models have revolutionized fields such as natural language processing and computer vision, their potential in graph machine learning remains largely unexplored. One of the key challen",no
