seed_name,paperId,title,year,citationCount,venue
AutoG,4f166d4d8000af25380060935d62ddf9f002f7d2,AutoG: Towards automatic graph construction from tabular data,2025,10,International Conference on Learning Representations
UltraTAG,86719c7662413a302084f6d88876b7cd08b0d4c5,Toward General and Robust LLM-enhanced Text-attributed Graph Learning,2025,11,International Conference on Multimedia Retrieval
TAPE,2d2b05f0969568ac3fd3c2cca5df04c4136c5416,Harnessing Explanations: LLM-to-LM Interpreter for Enhanced Text-Attributed Graph Representation Learning,2023,181,International Conference on Learning Representations
GLEM,8bb37e8ae7dd6fa8cab2407f63a61f697152717f,Learning on Large-scale Text-attributed Graphs via Variational Inference,2022,245,International Conference on Learning Representations
OFA,ab22d54dd13876d25c6c8f46c40fb9ac41c61ec5,One for All: Towards Training One Graph Model for All Classification Tasks,2023,315,International Conference on Learning Representations
CS-TAG,b82662394b2b39836e64f07e1605559965643a9b,A Comprehensive Study on Text-attributed Graphs: Benchmarking and Rethinking,2023,169,Neural Information Processing Systems
GraphRAG,c1799bf28d1ae93e1631be5b59196ee1e568f538,From Local to Global: A Graph RAG Approach to Query-Focused Summarization,2024,2176,arXiv.org
LightRAG,1ea143c34b9bc359780f79ba4d68dee68bcc1129,LightRAG: Simple and Fast Retrieval-Augmented Generation,2024,488,Conference on Empirical Methods in Natural Language Processing
NAS_ZophLe,67d968c7450878190e45ac7886746de867bf673d,Neural Architecture Search with Reinforcement Learning,2016,6045,International Conference on Learning Representations
AutoML_graph,f146ab2cc2c11125c0f367019365667b2b02a0a0,Automated Machine Learning on Graphs: A Survey,2021,97,International Joint Conference on Artificial Intelligence
GSL_IDGL,ff6a4a9a41b78c8b1fcab185db780266bbb06caf,Iterative Deep Graph Learning for Graph Neural Networks: Better and Robust Node Embeddings,2020,553,Neural Information Processing Systems
GSL_ProGNN,2d615707481030d271f2c888b13267b1681f4aa2,Graph Structure Learning for Robust Graph Neural Networks,2020,961,Knowledge Discovery and Data Mining
