row_idx,primary_id,aggregate_id,secondary_id,categorical_label,scalar_label
0,B000YDDF6O,B0BW3QTWJJ,AEZXH5A5SARQVQHAYTMZNBRAQD4A,1,0
1,B08T9DTVHX,B08T9DTVHX,AGECC4F4CDL2AVODIRNCF3V63BEQ,1,0
2,B000058TJ3,B0C2Q7B81W,AGSX5S2BMMAE2OPFQ2Z2LMQWZ6TA,0,0
3,B08YK7PDBQ,B08YK7PDBQ,AE6VILPJGYTNMUZJCTFQPDPOPIGQ,1,0
4,B079KH8YD3,B0C4K9G61M,AHDEFEQL5BLGIO6JVE2CVZMLFH5A,1,0
5,B01BU2WJEQ,B01BU2WJEQ,AFFZVSTUS3U2ZD22A2NPZSKOCPGQ,1,0
6,B01CLPER28,B01CLPER28,AGLGCPO63FILTOXCYGGBQQJUOGAQ,1,0
7,B0013JPVN8,B0013JPVN8,AGZZXSMMS4WRHHJRBUJZI4FZDHKQ,1,0
8,B00KKN87C0,B00KKN87C0,AGPBXI4URARRUD7LBSES34WVGDKQ,1,0
9,B076MCCNWH,B076MCCNWH,AH56NORAAYTIP7CXHXPZVOTDYQ3Q,1,0
10,B000B6ACGA,B08W943N7B,AH3272KTT7FHXJIF4DC4IXAGDV7A,1,0
11,B09NWHPK3B,B09NWHPK3B,AE7BV6IMNPZ3F266H7PXMH3BZQNQ,1,0
12,B09NPCDHTT,B0C7P2HRJY,AEF4QCBYMXQN3RDFNM4ZXM67UTJA,1,1
13,B00VFLQE6M,B084C2FRWF,AFDYVUPCAOEKKLOYZZAC7RKKDJ5Q,1,1
14,B07T16DN1R,B09KC78XRR,AGT7WJ56AZIEJG3IIGUDMAJVTXKA,1,0
15,B01ALHAMTK,B08634WKC7,AEPP6Q3LW4JSIYNECZXV74XPYN3A,1,0
16,B000YDDF6O,B0BW3QTWJJ,AF5BFXW2K27WQCEAMNVEUQW5465A,1,0
17,B07QZSF1GK,B0C7VSZMNV,AHLDEEZOIX7J53UMILLY2NXFWSVA,1,1
18,B00ZSE93LA,B00ZSE93LA,AG4SPO7PKPFSNR43I7WGVITRPXYA,1,0
19,B07VQJ5VJN,B07VQJ5VJN,AFMVWQCZ3YWPRH6VLU5VK4BBGS3Q,1,0
20,B09TDP1HCV,B0CB48RTJP,AFTZWAK3ZHAPCNSOT5GCKQDECBTQ,1,0
21,B07VQHTGBJ,B07VQHTGBJ,AFQ2JPRN3KEI4HYJA6VLL7PUV5WQ,1,0
22,B001QKLPQQ,B001QKLPQQ,AFIW3JDJH4QOEKNAXUY4JHKOHQEA,0,1
23,B00XJE3S2G,B00XJE3S2G,AEH7KSVEFBYK3C7F4HCQPP6UV74A,1,1
24,B01CGQYBA0,B09XG9974K,AEPJ4S2VTRLIR5GH5ANHNUDSW5RQ,1,0
25,B00U3VXZQC,B00U3VXZQC,AHAR2ITQ3O2FJJDLIORAQ226KZHQ,1,1
26,B07H6YS99P,B07H6YS99P,AHYWYS3ZCNA62VY2WPFMHZXYBU6Q,1,0
27,B07NRT9GYG,B07NRT9GYG,AGZMKHWSCB3UXDGFUPFRZSL4EAWQ,1,0
28,B00F59HL9E,B083R4VP29,AF2TOOUR2HKXG2DAA5KNOZS5MPQQ,1,0
29,B01MQDOB8O,B01MQDOB8O,AG73BVBKUOH22USSFJA5ZWL7AKXA,1,1
30,B00CI6J5JQ,B0C8WGG2SP,AHCLFPZXTGTA75TAIK32EPU5SV2A,1,0
31,B00292BX8U,B00292BX8U,AGG5NHL36ZNOXMXTZJDC5Q3BIRKA,1,4
32,B07XB3JDC7,B084LNJSWL,AF6JVFF2C3O4XJSQPKW7K33XHEXQ,1,0
33,B09KS962KF,B09KS962KF,AFFFVUA7JPDUWCPP2EUVIWCHGNIQ,1,0
34,B07WFQR8XJ,B07WFQR8XJ,AGTAUJFBVNKEOPBB6FCHTBSMRKHA,1,2
35,B00P54QTYC,B00P54QTYC,AFJOUKASY7NU7GI5CGXVNB74GPZA,1,0
36,B003BF7SME,B003BF7SME,AE2YX6ZQCKCXXTFMAN73LIMO6Z4Q,1,0
37,B000PQDQHS,B000PQDQHS,AEWIYJJNUBOAZQLXUZGJQ5HVXKBA,1,0
38,B00Y8YOEOM,B09ND61JP1,AETGCWXC47MSMK6B2TLZ44KCFJZQ,1,0
39,B07Q2P8MJP,B07Q2P8MJP,AGHCADNERKB4JXBXG5IKAQBVCAZA,1,1
