variant,edge_type,sample_idx,n_edges,lcc_frac,S_GNN,S_MLP,Delta,Final_Score
A_kNN10,kNN-k10,0,7475,1.0,0.0,0.0,0.0,0.0
A_kNN10,kNN-k10,1,7571,1.0,0.0,0.0,0.0,0.0
A_kNN10,kNN-k10,2,7477,1.0,0.0,0.0,0.0,0.0
A_kNN10,kNN-k10,3,7511,1.0,0.0,0.0,0.0,0.0
A_kNN10,kNN-k10,4,7485,1.0,0.0,0.0,0.0,0.0
A_kNN10,kNN-k10,5,7486,1.0,0.0,0.0,0.0,0.0
A_kNN10,kNN-k10,6,7397,1.0,0.0,0.0,0.0,0.0
A_kNN10,kNN-k10,7,7469,1.0,0.0,0.0,0.0,0.0
A_kNN10,kNN-k10,8,7535,1.0,0.0,0.0,0.0,0.0
A_kNN10,kNN-k10,9,7374,1.0,0.0,0.0,0.0,0.0
B_E10c,E10c,0,8401,0.7574,0.0,0.0,0.0,0.0
B_E10c,E10c,1,8794,0.7409,0.0,0.0,0.0,0.0
B_E10c,E10c,2,7805,0.7188,0.0,0.0,0.0,0.0
B_E10c,E10c,3,9074,0.7448,0.0036,0.0,0.0036,0.0036
B_E10c,E10c,4,8232,0.7514,0.0,0.0,0.0,0.0
B_E10c,E10c,5,8135,0.7406,0.1461,0.0,0.1461,0.1274
B_E10c,E10c,6,9235,0.7597,0.0301,0.0,0.0301,0.0292
B_E10c,E10c,7,9359,0.7814,0.0,0.0027,-0.0027,-0.0027
B_E10c,E10c,8,8333,0.7273,0.0,0.0,0.0,0.0
B_E10c,E10c,9,8230,0.7499,0.0,0.0,0.0,0.0
C_E11a030,E11a,0,63412,0.999,0.0,0.0,0.0,0.0
C_E11a030,E11a,1,69787,1.0,0.0,0.0,0.0,0.0
C_E11a030,E11a,2,66507,1.0,0.0,0.0,0.0,0.0
C_E11a030,E11a,3,62546,0.996,0.0,0.0,0.0,0.0
C_E11a030,E11a,4,62826,0.999,0.0,0.0,0.0,0.0
C_E11a030,E11a,5,62881,0.998,0.0,0.0011,-0.0011,-0.0011
C_E11a030,E11a,6,62280,0.998,0.0,0.0,0.0,0.0
C_E11a030,E11a,7,66182,0.997,0.0,0.0,0.0,0.0
C_E11a030,E11a,8,70089,0.999,0.0,0.0,0.0,0.0
C_E11a030,E11a,9,65607,0.997,0.0,0.0,0.0,0.0
