variant,sample_idx,S_GNN,S_MLP,Delta,Final_Score,R2,in_range,degenerate
M2/N7/E10c/T12b,0,0.0,0.0,0.0,0.0,-0.0311,True,False
M2/N7/E10c/T12b,1,0.0,0.0,0.0,0.0,-0.0034,True,False
M2/N7/E10c/T12b,2,0.0,0.0,0.0,0.0,-0.0036,True,False
M2/N7/E10c/T12b,3,0.0996,0.0011,0.0986,0.0897,0.0996,True,False
M2/N7/E10c/T12b,4,0.0,0.0,0.0,0.0,-0.0068,True,False
M2/N7/E11a/T12b,0,0.0,0.0,0.0,0.0,-0.0204,True,False
M2/N7/E11a/T12b,1,0.0,0.0,0.0,0.0,-0.0559,True,False
M2/N7/E11a/T12b,2,0.0,0.0,0.0,0.0,-0.0019,True,False
M2/N7/E11a/T12b,3,0.0,0.0,0.0,0.0,-0.0004,True,False
M2/N7/E11a/T12b,4,0.0,0.0,0.0,0.0,-0.0043,True,False
M2/N7/E11b/T12b,0,0.0,0.003,-0.003,-0.003,-0.0004,True,False
M2/N7/E11b/T12b,1,0.0,0.0057,-0.0057,-0.0056,-0.0241,True,False
M2/N7/E11b/T12b,2,0.0,0.0,0.0,0.0,-0.0075,True,False
M2/N7/E11b/T12b,3,0.0,0.0,0.0,0.0,-0.0022,True,False
M2/N7/E11b/T12b,4,0.0,0.0,0.0,0.0,-0.0083,True,False
