variant,edge_type,T,split,sample_idx,n_edges,S_GNN,S_MLP,Delta,Final_Score
M2/N7/E10c/T12a,E10c,T12a,train,0,139,0.0173,0.0,0.0173,0.017
M2/N7/E10c/T12a,E10c,T12a,train,1,138,0.0,0.0,0.0,0.0
M2/N7/E10c/T12a,E10c,T12a,train,2,114,0.0001,0.0,0.0001,0.0001
M2/N7/E10c/T12a,E10c,T12a,train,3,152,0.0,0.0,0.0,0.0
M2/N7/E10c/T12a,E10c,T12a,train,4,138,0.3186,0.0,0.3186,0.2416
M2/N7/E10c/T12a,E10c,T12a,train,5,102,0.0,0.0,0.0,0.0
M2/N7/E10c/T12a,E10c,T12a,train,6,196,0.0,0.0,0.0,0.0
M2/N7/E10c/T12a,E10c,T12a,train,7,171,0.0,0.0,0.0,0.0
M2/N7/E10c/T12a,E10c,T12a,train,8,126,0.2868,0.0,0.2868,0.2229
M2/N7/E10c/T12a,E10c,T12a,train,9,114,0.0,0.0,0.0,0.0
M2/N7/E10c/T12a,E10c,T12a,test,0,439,0.0,0.0,0.0,0.0
M2/N7/E10c/T12a,E10c,T12a,test,1,266,0.0002,0.0,0.0002,0.0002
M2/N7/E10c/T12a,E10c,T12a,test,2,418,0.0,0.0,0.0,0.0
M2/N7/E10c/T12a,E10c,T12a,test,3,303,0.0,0.0,0.0,0.0
M2/N7/E10c/T12a,E10c,T12a,test,4,182,0.0,0.0,0.0,0.0
M2/N7/E10c/T12a,E10c,T12a,test,5,298,0.0,0.0,0.0,0.0
M2/N7/E10c/T12a,E10c,T12a,test,6,264,0.0,0.0,0.0,0.0
M2/N7/E10c/T12a,E10c,T12a,test,7,403,0.0,0.0,0.0,0.0
M2/N7/E10c/T12a,E10c,T12a,test,8,271,0.0,0.0,0.0,0.0
M2/N7/E10c/T12a,E10c,T12a,test,9,393,0.0,0.0,0.0,0.0
M2/N7/E10c/T12b,E10c,T12b,train,0,139,0.0,0.0,0.0,0.0
M2/N7/E10c/T12b,E10c,T12b,train,1,138,0.0,0.0,0.0,0.0
M2/N7/E10c/T12b,E10c,T12b,train,2,114,0.0,0.0,0.0,0.0
M2/N7/E10c/T12b,E10c,T12b,train,3,152,0.1971,0.0,0.1971,0.1646
M2/N7/E10c/T12b,E10c,T12b,train,4,138,0.4266,0.0,0.4266,0.299
M2/N7/E10c/T12b,E10c,T12b,train,5,102,0.0,0.0,0.0,0.0
M2/N7/E10c/T12b,E10c,T12b,train,6,196,0.0,0.0,0.0,0.0
M2/N7/E10c/T12b,E10c,T12b,train,7,171,0.0175,0.0,0.0175,0.0172
M2/N7/E10c/T12b,E10c,T12b,train,8,126,0.0862,0.0,0.0862,0.0793
M2/N7/E10c/T12b,E10c,T12b,train,9,114,0.0,0.0,0.0,0.0
M2/N7/E10c/T12b,E10c,T12b,test,0,439,0.0,0.0,0.0,0.0
M2/N7/E10c/T12b,E10c,T12b,test,1,266,0.0,0.0,0.0,0.0
M2/N7/E10c/T12b,E10c,T12b,test,2,418,0.0,0.0,0.0,0.0
M2/N7/E10c/T12b,E10c,T12b,test,3,303,0.0,0.0,0.0,0.0
M2/N7/E10c/T12b,E10c,T12b,test,4,182,0.0,0.0,0.0,0.0
M2/N7/E10c/T12b,E10c,T12b,test,5,298,0.0,0.0,0.0,0.0
M2/N7/E10c/T12b,E10c,T12b,test,6,264,0.0333,0.0,0.0333,0.0322
M2/N7/E10c/T12b,E10c,T12b,test,7,403,0.0,0.0,0.0,0.0
M2/N7/E10c/T12b,E10c,T12b,test,8,271,0.0,0.0,0.0,0.0
M2/N7/E10c/T12b,E10c,T12b,test,9,393,0.0349,0.0,0.0349,0.0337
M2/N7/E10c/T12e,E10c,T12e,train,0,139,0.0,0.0,0.0,0.0
M2/N7/E10c/T12e,E10c,T12e,train,1,138,0.0,0.0,0.0,0.0
M2/N7/E10c/T12e,E10c,T12e,train,2,114,0.0,0.0,0.0,0.0
M2/N7/E10c/T12e,E10c,T12e,train,3,152,0.0,0.0,0.0,0.0
M2/N7/E10c/T12e,E10c,T12e,train,4,138,0.0,0.0,0.0,0.0
M2/N7/E10c/T12e,E10c,T12e,train,5,102,0.0,0.0,0.0,0.0
M2/N7/E10c/T12e,E10c,T12e,train,6,196,0.0,0.0,0.0,0.0
M2/N7/E10c/T12e,E10c,T12e,train,7,171,0.0,0.0,0.0,0.0
M2/N7/E10c/T12e,E10c,T12e,train,8,126,0.0,0.0,0.0,0.0
M2/N7/E10c/T12e,E10c,T12e,train,9,114,0.0,0.0,0.0,0.0
M2/N7/E10c/T12e,E10c,T12e,test,0,439,0.0,0.0,0.0,0.0
M2/N7/E10c/T12e,E10c,T12e,test,1,266,0.0,0.0,0.0,0.0
M2/N7/E10c/T12e,E10c,T12e,test,2,418,0.0,0.0,0.0,0.0
M2/N7/E10c/T12e,E10c,T12e,test,3,303,0.0,0.0,0.0,0.0
M2/N7/E10c/T12e,E10c,T12e,test,4,182,0.0,0.0,0.0,0.0
M2/N7/E10c/T12e,E10c,T12e,test,5,298,0.0,0.0,0.0,0.0
M2/N7/E10c/T12e,E10c,T12e,test,6,264,0.0,0.0,0.0,0.0
M2/N7/E10c/T12e,E10c,T12e,test,7,403,0.0,0.0,0.0,0.0
M2/N7/E10c/T12e,E10c,T12e,test,8,271,0.0173,0.0,0.0173,0.017
M2/N7/E10c/T12e,E10c,T12e,test,9,393,0.0,0.0,0.0,0.0
M2/N7/kNN-10/T12a,kNN-10,T12a,train,0,7549,0.0,0.0005,-0.0005,-0.0005
M2/N7/kNN-10/T12a,kNN-10,T12a,train,1,7633,0.0,0.0,0.0,0.0
M2/N7/kNN-10/T12a,kNN-10,T12a,train,2,7529,0.0,0.0,0.0,0.0
M2/N7/kNN-10/T12a,kNN-10,T12a,train,3,7678,0.0,0.0,0.0,0.0
M2/N7/kNN-10/T12a,kNN-10,T12a,train,4,7561,0.0,0.0,0.0,0.0
M2/N7/kNN-10/T12a,kNN-10,T12a,train,5,7601,0.0,0.0,0.0,0.0
M2/N7/kNN-10/T12a,kNN-10,T12a,train,6,7572,0.0,0.0,0.0,0.0
M2/N7/kNN-10/T12a,kNN-10,T12a,train,7,7623,0.0,0.0,0.0,0.0
M2/N7/kNN-10/T12a,kNN-10,T12a,train,8,7656,0.0,0.0,0.0,0.0
