Task_Idx,Node_Idx,Edge_Idx,Text_Idx,task_type,KL,Top1,Top3,Cosine,Accuracy,F1,MAE,MSE,R2,Primary_Metric,Primary_Value,Performance_Band,normalized_score,number_of_nodes,avg_text_length,text_vocab_entropy,label_balance_entropy,output_dimension,run_split,degenerate,Predicted_Value,True_Value,sample_idx
M1,N7,E10b,T12a,categorical,3.724308729171753,0.1598639455782313,0.2755102040816326,0.16600582003593445,0.1598639455782313,,,,,accuracy,0.1598639455782313,,15.98639455782313,980,68.618,7.296330850432761,3.2739408258425513,47,train,False,,,0
M1,N7,E10b,T12a,categorical,3.7067172527313232,0.19865319865319866,0.2828282828282828,0.16913515329360962,0.19865319865319866,,,,,accuracy,0.19865319865319866,,19.865319865319865,988,71.171,7.292496147374388,3.2389935699073416,47,train,False,,,1
M1,N7,E10b,T12a,categorical,3.6781563758850098,0.1919191919191919,0.3434343434343434,0.1746199131011963,0.1919191919191919,,,,,accuracy,0.1919191919191919,,19.19191919191919,990,70.979,7.312019931721841,3.1935219765300435,47,train,False,,,2
M1,N7,E10b,T12a,categorical,3.7414402961730957,0.18456375838926176,0.2751677852348993,0.16330529749393463,0.18456375838926176,,,,,accuracy,0.18456375838926176,,18.456375838926174,993,66.069,7.314504909369051,3.2544080451755177,47,train,False,,,3
M1,N7,E10b,T12a,categorical,3.7190499305725098,0.17785234899328858,0.28523489932885904,0.16719752550125122,0.17785234899328858,,,,,accuracy,0.17785234899328858,,17.78523489932886,991,69.446,7.3256473128846515,3.2935284891155434,47,train,False,,,4
M1,N7,E10b,T12a,categorical,3.678406238555908,0.14429530201342283,0.32550335570469796,0.1742665022611618,0.14429530201342283,,,,,accuracy,0.14429530201342283,,14.429530201342283,992,68.552,7.281902291794099,3.251455148566704,47,train,False,,,5
M1,N7,E10b,T12a,categorical,3.6401665210723877,0.20469798657718122,0.35570469798657717,0.18277384340763092,0.20469798657718122,,,,,accuracy,0.20469798657718122,,20.469798657718123,991,71.512,7.298147136286968,3.207844303730446,47,train,False,,,6
M1,N7,E10b,T12a,categorical,3.719862937927246,0.18394648829431437,0.28762541806020064,0.16789542138576508,0.18394648829431437,,,,,accuracy,0.18394648829431437,,18.394648829431436,994,68.508,7.314719743127351,3.2462722698526933,47,train,False,,,7
M1,N7,E10b,T12a,categorical,3.7041494846343994,0.18305084745762712,0.29491525423728815,0.17052319645881653,0.18305084745762712,,,,,accuracy,0.18305084745762712,,18.305084745762713,983,72.413,7.326899384876668,3.243668031903528,47,train,False,,,8
M1,N7,E10b,T12a,categorical,3.7224631309509277,0.16161616161616163,0.3468013468013468,0.1663854569196701,0.16161616161616163,,,,,accuracy,0.16161616161616163,,16.161616161616163,988,70.539,7.2580545347946535,3.245103941995742,47,train,False,,,9
M1,N7,E10b,T12a,categorical,3.7254977226257324,0.15878378378378377,0.3344594594594595,0.16570183634757996,0.15878378378378377,,,,,accuracy,0.15878378378378377,,15.878378378378377,985,66.37,7.295705287832417,3.257308847405288,47,train,False,,,10
M1,N7,E10b,T12a,categorical,3.725055694580078,0.14046822742474915,0.31438127090301005,0.1658688187599182,0.14046822742474915,,,,,accuracy,0.14046822742474915,,14.046822742474916,994,70.931,7.283467574092641,3.2800252005292236,47,train,False,,,11
M1,N7,E10b,T12a,categorical,3.7038965225219727,0.1750841750841751,0.3333333333333333,0.16999216377735138,0.1750841750841751,,,,,accuracy,0.1750841750841751,,17.50841750841751,989,67.395,7.305941711264974,3.2794522304742943,47,train,False,,,12
M1,N7,E10b,T12a,categorical,3.6419291496276855,0.20202020202020202,0.3265993265993266,0.18307814002037048,0.20202020202020202,,,,,accuracy,0.20202020202020202,,20.2020202020202,989,70.873,7.293641907238109,3.2451740340183672,47,train,False,,,13
