Task_Idx,Node_Idx,Edge_Idx,Text_Idx,task_type,KL,Top1,Top3,Cosine,Accuracy,F1,MAE,MSE,R2,Primary_Metric,Primary_Value,Performance_Band,normalized_score,number_of_nodes,avg_text_length,text_vocab_entropy,label_balance_entropy,output_dimension,run_split,degenerate,Predicted_Value,True_Value,sample_idx
M1,N7,E10b,T12a,categorical,0.7632651329040527,0.7866666666666666,0.92,0.809385359287262,0.7866666666666666,,,,,accuracy,0.7866666666666666,,78.66666666666666,1000,216.379,7.646386072090627,1.3871449488211753,10,train,False,,,0
M1,N7,E10b,T12a,categorical,0.8897706866264343,0.7533333333333333,0.9166666666666666,0.7794631719589233,0.7533333333333333,,,,,accuracy,0.7533333333333333,,75.33333333333333,1000,206.996,7.620898819468372,1.386668040094565,11,train,False,,,1
M1,N7,E10b,T12a,categorical,0.8325644135475159,0.77,0.9166666666666666,0.786868155002594,0.77,,,,,accuracy,0.77,,77.0,1000,218.288,7.631200822139384,1.3335399472977523,11,train,False,,,2
M1,N7,E10b,T12a,categorical,0.8329973220825195,0.77,0.9133333333333333,0.7947237491607666,0.77,,,,,accuracy,0.77,,77.0,1000,221.007,7.621309470123625,1.3223657103782767,10,train,False,,,3
M1,N7,E10b,T12a,categorical,0.7675845623016357,0.76,0.9666666666666667,0.8011054992675781,0.76,,,,,accuracy,0.76,,76.0,1000,216.039,7.643515041238322,1.2786680974452962,9,train,False,,,4
M1,N7,E10b,T12a,categorical,0.7168263792991638,0.7966666666666666,0.9266666666666666,0.817732036113739,0.7966666666666666,,,,,accuracy,0.7966666666666666,,79.66666666666666,1000,219.817,7.6828131549888115,1.3539656857810132,11,train,False,,,5
M1,N7,E10b,T12a,categorical,0.9872229099273682,0.72,0.92,0.7533754706382751,0.72,,,,,accuracy,0.72,,72.0,1000,216.934,7.63429276966701,1.434705340673147,11,train,False,,,6
M1,N7,E10b,T12a,categorical,0.8354545831680298,0.76,0.9133333333333333,0.7872253656387329,0.76,,,,,accuracy,0.76,,76.0,1000,219.161,7.631405287405881,1.3717287064786692,10,train,False,,,7
M1,N7,E10b,T12a,categorical,0.9096967577934265,0.7333333333333333,0.9266666666666666,0.7662619948387146,0.7333333333333333,,,,,accuracy,0.7333333333333333,,73.33333333333333,1000,214.565,7.657271824177929,1.353609540269382,11,train,False,,,8
M1,N7,E10b,T12a,categorical,0.789664626121521,0.7633333333333333,0.9366666666666666,0.7899799942970276,0.7633333333333333,,,,,accuracy,0.7633333333333333,,76.33333333333333,1000,227.171,7.66090805540424,1.3396231503303442,12,train,False,,,9
M1,N7,E10b,T12a,categorical,0.6637138724327087,0.8033333333333333,0.9533333333333334,0.8302449584007263,0.8033333333333333,,,,,accuracy,0.8033333333333333,,80.33333333333333,1000,217.474,7.649946727944115,1.328457100694911,10,train,False,,,10
M1,N7,E10b,T12a,categorical,0.8306183218955994,0.74,0.92,0.7852028012275696,0.74,,,,,accuracy,0.74,,74.0,1000,235.122,7.668067874249651,1.3907052907513069,11,train,False,,,11
M1,N7,E10b,T12a,categorical,0.8287094235420227,0.7566666666666667,0.9133333333333333,0.7903242707252502,0.7566666666666667,,,,,accuracy,0.7566666666666667,,75.66666666666667,1000,213.592,7.654340248767621,1.3837508442483935,11,train,False,,,12
M1,N7,E10b,T12a,categorical,0.9107455611228943,0.7333333333333333,0.91,0.7755643129348755,0.7333333333333333,,,,,accuracy,0.7333333333333333,,73.33333333333333,1000,209.145,7.662639169244226,1.4259982622064096,12,train,False,,,13
M1,N7,E10b,T12a,categorical,0.7947104573249817,0.76,0.94,0.7924814820289612,0.76,,,,,accuracy,0.76,,76.0,1000,220.625,7.675069616470148,1.4102673209778844,11,train,False,,,14
M1,N7,E10b,T12a,categorical,0.7995331287384033,0.7633333333333333,0.9266666666666666,0.7981381416320801,0.7633333333333333,,,,,accuracy,0.7633333333333333,,76.33333333333333,1000,211.09,7.652552682642909,1.3934124972752229,11,train,False,,,15
M1,N7,E10b,T12a,categorical,0.9720910787582397,0.73,0.91,0.7588487863540649,0.73,,,,,accuracy,0.73,,73.0,1000,226.491,7.655106414948081,1.446876064338426,11,train,False,,,16
M1,N7,E10b,T12a,categorical,0.8142886161804199,0.7766666666666666,0.9333333333333333,0.7945173382759094,0.7766666666666666,,,,,accuracy,0.7766666666666666,,77.66666666666666,1000,209.037,7.657024892159459,1.3187987627370894,11,train,False,,,17
M1,N7,E10b,T12a,categorical,0.7270617485046387,0.7933333333333333,0.9233333333333333,0.8163313865661621,0.7933333333333333,,,,,accuracy,0.7933333333333333,,79.33333333333333,1000,218.428,7.651391765772411,1.2999691454770685,11,train,False,,,18
M1,N7,E10b,T12a,categorical,0.7741835117340088,0.7966666666666666,0.94,0.8056987524032593,0.7966666666666666,,,,,accuracy,0.7966666666666666,,79.66666666666666,1000,209.007,7.654382333186581,1.3661022102239944,11,train,False,,,19
M1,N7,E10b,T12a,categorical,0.8550695776939392,0.7666666666666667,0.9233333333333333,0.7913598418235779,0.7666666666666667,,,,,accuracy,0.7666666666666667,,76.66666666666667,1000,184.766,7.628231320122291,1.4166152183796688,11,test,False,,,0
M1,N7,E10b,T12a,categorical,0.884799063205719,0.7566666666666667,0.9266666666666666,0.7770531177520752,0.7566666666666667,,,,,accuracy,0.7566666666666667,,75.66666666666667,1000,205.498,7.683546953063592,1.4287055268983067,11,test,False,,,1
M1,N7,E10b,T12a,categorical,0.9280623197555542,0.7366666666666667,0.9166666666666666,0.7628241181373596,0.7366666666666667,,,,,accuracy,0.7366666666666667,,73.66666666666667,1000,187.211,7.627776666309689,1.4161687788396862,11,test,False,,,2
M1,N7,E10b,T12a,categorical,0.8655930757522583,0.7433333333333333,0.9266666666666666,0.7821868658065796,0.7433333333333333,,,,,accuracy,0.7433333333333333,,74.33333333333333,1000,195.286,7.6338067337604345,1.3839685548710827,11,test,False,,,3
M1,N7,E10b,T12a,categorical,0.8824963569641113,0.7466666666666667,0.9,0.7776919603347778,0.7466666666666667,,,,,accuracy,0.7466666666666667,,74.66666666666667,1000,195.857,7.617275631697085,1.447480150898743,11,test,False,,,4
M1,N7,E10b,T12a,categorical,1.0047225952148438,0.7266666666666667,0.91,0.7566114068031311,0.7266666666666667,,,,,accuracy,0.7266666666666667,,72.66666666666667,1000,185.289,7.666059518781177,1.4109375953874534,11,test,False,,,5
M1,N7,E10b,T12a,categorical,0.765182375907898,0.77,0.9233333333333333,0.8054540753364563,0.77,,,,,accuracy,0.77,,77.0,1000,193.87,7.654960414359729,1.3774818745119128,11,test,False,,,6
M1,N7,E10b,T12a,categorical,0.8557721972465515,0.7333333333333333,0.9266666666666666,0.7750868797302246,0.7333333333333333,,,,,accuracy,0.7333333333333333,,73.33333333333333,1000,197.093,7.634254681667049,1.4313239183734743,11,test,False,,,7
M1,N7,E10b,T12a,categorical,0.8134964108467102,0.7633333333333333,0.93,0.7961366772651672,0.7633333333333333,,,,,accuracy,0.7633333333333333,,76.33333333333333,1000,195.955,7.623883460508277,1.4068359340482244,11,test,False,,,8
M1,N7,E10b,T12a,categorical,0.9089704155921936,0.71,0.9133333333333333,0.757511556148529,0.71,,,,,accuracy,0.71,,71.0,1000,190.636,7.634384088630236,1.4401853095952981,10,test,False,,,9
M1,N7,E10b,T12a,categorical,0.8243340849876404,0.7566666666666667,0.92,0.7878188490867615,0.7566666666666667,,,,,accuracy,0.7566666666666667,,75.66666666666667,1000,192.854,7.611131726634382,1.379209366330647,11,test,False,,,10
M1,N7,E10b,T12a,categorical,0.8645358085632324,0.7566666666666667,0.9066666666666666,0.7799868583679199,0.7566666666666667,,,,,accuracy,0.7566666666666667,,75.66666666666667,1000,182.861,7.614701304152831,1.380481485798557,11,test,False,,,11
M1,N7,E10b,T12a,categorical,0.8590158820152283,0.74,0.91,0.7801263332366943,0.74,,,,,accuracy,0.74,,74.0,1000,190.677,7.641818750655961,1.4080569310545357,11,test,False,,,12
M1,N7,E10b,T12a,categorical,0.8074194192886353,0.7866666666666666,0.9166666666666666,0.8024973273277283,0.7866666666666666,,,,,accuracy,0.7866666666666666,,78.66666666666666,1000,193.077,7.6376609267160775,1.3931183601588504,11,test,False,,,13
M1,N7,E10b,T12a,categorical,0.9825482368469238,0.7366666666666667,0.8766666666666667,0.7563976645469666,0.7366666666666667,,,,,accuracy,0.7366666666666667,,73.66666666666667,1000,196.741,7.613629394376755,1.4180256395964648,11,test,False,,,14
