experiment_id,epoch,loss,train_kl,train_top1,train_cosine,val_kl,val_top1,val_cosine,test_kl,test_top1,test_cosine
N7_E10c_T12a_s1,1,3.900141,3.857113,0.001845,0.144827,3.854629,0.0,0.145192,3.851414,0.0,0.145649
N7_E10c_T12a_s1,2,3.809604,3.850165,0.01845,0.145836,3.847763,0.026846,0.146192,3.843565,0.010101,0.146793
N7_E10c_T12a_s1,3,3.735059,3.841264,0.01845,0.147146,3.838951,0.026846,0.147488,3.833679,0.010101,0.148254
N7_E10c_T12a_s1,4,3.664763,3.829916,0.046125,0.148848,3.827789,0.026846,0.149161,3.821111,0.037037,0.150149
N7_E10c_T12a_s1,5,3.581318,3.815066,0.162362,0.151129,3.81317,0.161074,0.151401,3.804687,0.198653,0.152688
N7_E10c_T12a_s1,6,3.500412,3.797016,0.162362,0.153985,3.79523,0.161074,0.154225,3.784776,0.198653,0.155866
N7_E10c_T12a_s1,7,3.441291,3.775884,0.162362,0.157441,3.77402,0.161074,0.157669,3.761365,0.198653,0.159733
N7_E10c_T12a_s1,8,3.347068,3.751569,0.162362,0.161569,3.749589,0.161074,0.161774,3.734375,0.198653,0.164366
N7_E10c_T12a_s1,9,3.30003,3.724083,0.162362,0.166426,3.721978,0.161074,0.166586,3.704057,0.198653,0.169789
N7_E10c_T12a_s1,10,3.233464,3.694371,0.162362,0.171884,3.692119,0.161074,0.171972,3.671485,0.198653,0.175846
N7_E10c_T12a_s1,11,3.13715,3.662613,0.162362,0.177931,3.660426,0.161074,0.177869,3.636954,0.198653,0.182493
N7_E10c_T12a_s1,12,3.08743,3.629762,0.162362,0.18438,3.62802,0.161074,0.184051,3.601646,0.198653,0.189477
N7_E10c_T12a_s1,13,3.026379,3.59833,0.162362,0.190624,3.597675,0.161074,0.189866,3.568615,0.198653,0.19605
N7_E10c_T12a_s1,14,2.967372,3.567984,0.162362,0.19664,3.569097,0.161074,0.195279,3.537484,0.198653,0.202176
N7_E10c_T12a_s1,15,2.930705,3.539785,0.162362,0.202104,3.54315,0.161074,0.200009,3.509383,0.198653,0.207511
N7_E10c_T12a_s1,16,2.872041,3.513513,0.162362,0.207056,3.519781,0.161074,0.204064,3.483999,0.198653,0.21211
N7_E10c_T12a_s1,17,2.8354,3.489502,0.166052,0.211408,3.498973,0.161074,0.207432,3.46174,0.20202,0.215883
N7_E10c_T12a_s1,18,2.766066,3.466863,0.195572,0.215432,3.480037,0.174497,0.210347,3.441579,0.218855,0.219126
N7_E10c_T12a_s1,19,2.704831,3.445671,0.254613,0.219144,3.463345,0.208054,0.212771,3.423869,0.265993,0.221825
N7_E10c_T12a_s1,20,2.648646,3.424306,0.300738,0.223061,3.447227,0.234899,0.215187,3.406862,0.299663,0.224511
N7_E10c_T12a_s1,21,2.611346,3.402325,0.321033,0.227355,3.430759,0.234899,0.217849,3.389821,0.316498,0.227401
N7_E10c_T12a_s1,22,2.584307,3.379205,0.339483,0.232147,3.413501,0.248322,0.22085,3.372396,0.329966,0.230566
N7_E10c_T12a_s1,23,2.531875,3.354666,0.350554,0.237686,3.395465,0.261745,0.224369,3.354513,0.326599,0.234205
N7_E10c_T12a_s1,24,2.43979,3.327085,0.359779,0.244378,3.375156,0.281879,0.228739,3.33434,0.329966,0.238734
N7_E10c_T12a_s1,25,2.415292,3.297486,0.378229,0.251969,3.353872,0.295302,0.233687,3.312895,0.363636,0.243905
N7_E10c_T12a_s1,26,2.370033,3.265406,0.396679,0.260574,3.331055,0.315436,0.239293,3.290031,0.380471,0.249718
N7_E10c_T12a_s1,27,2.317928,3.230598,0.413284,0.270259,3.306409,0.315436,0.245603,3.265558,0.380471,0.256225
N7_E10c_T12a_s1,28,2.28849,3.194593,0.428044,0.280544,3.281309,0.322148,0.252231,3.241249,0.393939,0.262931
N7_E10c_T12a_s1,29,2.271262,3.156508,0.448339,0.291704,3.254983,0.348993,0.259416,3.215883,0.400673,0.270156
N7_E10c_T12a_s1,30,2.202506,3.11513,0.464945,0.304107,3.227009,0.362416,0.26727,3.188715,0.40404,0.278101
