experiment_id,epoch,loss,train_kl,train_top1,train_cosine,val_kl,val_top1,val_cosine,test_kl,test_top1,test_cosine
N7_E11b_T12a_s1,1,3.893848,3.841225,0.059041,0.147159,3.839416,0.040268,0.147421,3.836714,0.043771,0.147796
N7_E11b_T12a_s1,2,3.841973,3.833649,0.059041,0.148283,3.832392,0.040268,0.148469,3.828468,0.043771,0.149025
N7_E11b_T12a_s1,3,3.759282,3.82282,0.099631,0.14992,3.821577,0.060403,0.150107,3.816121,0.087542,0.1509
N7_E11b_T12a_s1,4,3.650573,3.809551,0.162362,0.151973,3.807814,0.161074,0.152234,3.800658,0.198653,0.153301
N7_E11b_T12a_s1,5,3.59694,3.792513,0.162362,0.154664,3.789822,0.161074,0.155068,3.781122,0.198653,0.156407
N7_E11b_T12a_s1,6,3.509791,3.771268,0.162362,0.15814,3.767924,0.161074,0.158638,3.756877,0.198653,0.160405
N7_E11b_T12a_s1,7,3.41866,3.745933,0.162362,0.162458,3.741182,0.161074,0.163169,3.727383,0.198653,0.165476
N7_E11b_T12a_s1,8,3.365428,3.71833,0.162362,0.167321,3.712414,0.161074,0.168198,3.695375,0.198653,0.171172
N7_E11b_T12a_s1,9,3.300061,3.685446,0.162362,0.173395,3.678542,0.161074,0.174388,3.656997,0.198653,0.17834
N7_E11b_T12a_s1,10,3.198989,3.650076,0.162362,0.180186,3.640743,0.161074,0.181531,3.615536,0.198653,0.186431
N7_E11b_T12a_s1,11,3.132122,3.613292,0.162362,0.187555,3.602098,0.161074,0.189137,3.572532,0.198653,0.195202
N7_E11b_T12a_s1,12,3.078718,3.578959,0.162362,0.194681,3.566952,0.161074,0.1963,3.53289,0.198653,0.203591
N7_E11b_T12a_s1,13,3.018688,3.543593,0.162362,0.202061,3.530508,0.161074,0.203746,3.492352,0.198653,0.212294
N7_E11b_T12a_s1,14,2.97364,3.511442,0.162362,0.208977,3.498507,0.161074,0.210444,3.456449,0.198653,0.220185
N7_E11b_T12a_s1,15,2.925892,3.481683,0.162362,0.215093,3.469404,0.161074,0.216236,3.423777,0.198653,0.227035
N7_E11b_T12a_s1,16,2.885385,3.457146,0.162362,0.219834,3.445426,0.161074,0.22068,3.397893,0.198653,0.232092
N7_E11b_T12a_s1,17,2.798651,3.430417,0.162362,0.22497,3.420814,0.161074,0.225128,3.370321,0.198653,0.237319
N7_E11b_T12a_s1,18,2.770766,3.411489,0.162362,0.22847,3.405151,0.161074,0.227708,3.35374,0.198653,0.240134
N7_E11b_T12a_s1,19,2.687072,3.392256,0.162362,0.232028,3.389302,0.161074,0.230263,3.337252,0.198653,0.242854
N7_E11b_T12a_s1,20,2.674516,3.378919,0.162362,0.234153,3.379719,0.161074,0.231358,3.328486,0.198653,0.243678
N7_E11b_T12a_s1,21,2.618177,3.354373,0.180812,0.239294,3.360043,0.161074,0.234915,3.307678,0.205387,0.247658
N7_E11b_T12a_s1,22,2.557045,3.336484,0.221402,0.242816,3.34624,0.194631,0.237175,3.294583,0.23569,0.249782
N7_E11b_T12a_s1,23,2.527575,3.320735,0.287823,0.246347,3.336247,0.234899,0.239075,3.285387,0.289562,0.25154
N7_E11b_T12a_s1,24,2.49439,3.296697,0.326568,0.252136,3.318976,0.248322,0.242766,3.268174,0.3367,0.255345
N7_E11b_T12a_s1,25,2.451274,3.277625,0.345018,0.257187,3.307943,0.281879,0.245502,3.258313,0.360269,0.257926
N7_E11b_T12a_s1,26,2.384443,3.254237,0.370849,0.263331,3.291729,0.302013,0.249583,3.243019,0.377104,0.261853
N7_E11b_T12a_s1,27,2.335628,3.231132,0.381919,0.269937,3.277098,0.322148,0.253921,3.229296,0.397306,0.265901
N7_E11b_T12a_s1,28,2.302126,3.207708,0.392989,0.276117,3.261447,0.315436,0.257834,3.215125,0.400673,0.269511
N7_E11b_T12a_s1,29,2.298279,3.178287,0.400369,0.284525,3.24325,0.322148,0.26281,3.197592,0.40404,0.274479
N7_E11b_T12a_s1,30,2.231838,3.149069,0.415129,0.292607,3.223815,0.328859,0.267877,3.179043,0.407407,0.279481
N7_E11b_T12a_s1,31,2.127838,3.118969,0.429889,0.301128,3.205136,0.315436,0.27298,3.160899,0.407407,0.284604
N7_E11b_T12a_s1,32,2.101272,3.087504,0.442804,0.310684,3.188022,0.328859,0.278296,3.143601,0.414141,0.290016
N7_E11b_T12a_s1,33,2.068837,3.05064,0.45203,0.321449,3.166149,0.322148,0.284296,3.1229,0.427609,0.29599
N7_E11b_T12a_s1,34,2.009408,3.014077,0.48524,0.332538,3.145559,0.33557,0.290369,3.103779,0.444444,0.301851
N7_E11b_T12a_s1,35,1.94854,2.968578,0.50738,0.346044,3.117761,0.33557,0.298139,3.076878,0.444444,0.309652
N7_E11b_T12a_s1,36,1.934435,2.916843,0.549815,0.362268,3.086033,0.342282,0.307799,3.045589,0.457912,0.31941
N7_E11b_T12a_s1,37,1.906356,2.870374,0.575646,0.377005,3.059162,0.369128,0.31591,3.022079,0.47138,0.32705
N7_E11b_T12a_s1,38,1.820485,2.818333,0.599631,0.393957,3.030563,0.409396,0.324922,2.993054,0.488215,0.336764
N7_E11b_T12a_s1,39,1.814906,2.758082,0.618081,0.412504,2.993391,0.422819,0.33548,2.955772,0.505051,0.347829
N7_E11b_T12a_s1,40,1.788708,2.695743,0.640221,0.431952,2.95486,0.469799,0.346573,2.919606,0.518519,0.3589
