experiment_id,epoch,loss,train_kl,train_top1,train_cosine,val_kl,val_top1,val_cosine,test_kl,test_top1,test_cosine
N8_E10a_T12b_s2,1,3.902773,3.85829,0.002066,0.144616,3.854516,0.015152,0.145184,3.85547,0.011364,0.145044
N8_E10a_T12b_s2,2,3.815727,3.850487,0.002066,0.145736,3.848087,0.015152,0.146109,3.84862,0.011364,0.146026
N8_E10a_T12b_s2,3,3.743717,3.840715,0.002066,0.147157,3.839419,0.015152,0.147374,3.839989,0.011364,0.147278
N8_E10a_T12b_s2,4,3.686472,3.828651,0.039256,0.148943,3.828212,0.030303,0.149034,3.829029,0.049242,0.148895
N8_E10a_T12b_s2,5,3.614937,3.81379,0.047521,0.151196,3.813743,0.037879,0.151225,3.815595,0.05303,0.15092
N8_E10a_T12b_s2,6,3.543698,3.794394,0.204545,0.154221,3.794482,0.166667,0.154217,3.798147,0.162879,0.153617
N8_E10a_T12b_s2,7,3.444129,3.769724,0.202479,0.158203,3.770249,0.181818,0.158102,3.776092,0.174242,0.157134
N8_E10a_T12b_s2,8,3.373601,3.740343,0.202479,0.163135,3.741479,0.181818,0.162886,3.749906,0.174242,0.16146
N8_E10a_T12b_s2,9,3.325058,3.706087,0.202479,0.16915,3.708089,0.181818,0.168675,3.719604,0.174242,0.166673
N8_E10a_T12b_s2,10,3.217803,3.666523,0.202479,0.17643,3.669834,0.181818,0.175604,3.684912,0.174242,0.1729
N8_E10a_T12b_s2,11,3.160503,3.622002,0.202479,0.185056,3.6272,0.181818,0.183707,3.646185,0.174242,0.180179
N8_E10a_T12b_s2,12,3.06003,3.574178,0.202479,0.194774,3.581905,0.181818,0.192702,3.60498,0.174242,0.188257
N8_E10a_T12b_s2,13,3.053148,3.523097,0.202479,0.205599,3.5342,0.181818,0.202551,3.561364,0.174242,0.197125
N8_E10a_T12b_s2,14,2.996235,3.470263,0.202479,0.217103,3.485584,0.181818,0.212831,3.51688,0.174242,0.206356
N8_E10a_T12b_s2,15,2.91942,3.417134,0.202479,0.228755,3.437398,0.181818,0.223056,3.472779,0.174242,0.215488
N8_E10a_T12b_s2,16,2.908934,3.365597,0.202479,0.239849,3.391621,0.181818,0.232559,3.430821,0.174242,0.223935
N8_E10a_T12b_s2,17,2.876702,3.317046,0.202479,0.249855,3.349732,0.181818,0.240859,3.392163,0.174242,0.231304
N8_E10a_T12b_s2,18,2.836586,3.27205,0.202479,0.258518,3.312113,0.181818,0.2478,3.357267,0.174242,0.237451
N8_E10a_T12b_s2,19,2.777769,3.23079,0.202479,0.265819,3.278989,0.181818,0.253384,3.326319,0.174242,0.242374
N8_E10a_T12b_s2,20,2.744168,3.194426,0.202479,0.271752,3.251854,0.181818,0.25754,3.300281,0.174242,0.246132
N8_E10a_T12b_s2,21,2.733564,3.162999,0.202479,0.276547,3.230675,0.181818,0.260526,3.279062,0.174242,0.248976
N8_E10a_T12b_s2,22,2.67323,3.135656,0.202479,0.280518,3.21453,0.181818,0.262649,3.261807,0.174242,0.251193
N8_E10a_T12b_s2,23,2.623313,3.112576,0.202479,0.283851,3.203187,0.181818,0.264139,3.248512,0.174242,0.252946
N8_E10a_T12b_s2,24,2.635354,3.092543,0.202479,0.286828,3.19578,0.181818,0.265163,3.238024,0.174242,0.254474
N8_E10a_T12b_s2,25,2.601864,3.074883,0.202479,0.289617,3.191449,0.181818,0.265909,3.229965,0.174242,0.255833
N8_E10a_T12b_s2,26,2.562433,3.059004,0.202479,0.292257,3.18947,0.181818,0.266424,3.223809,0.174242,0.257029
N8_E10a_T12b_s2,27,2.525861,3.044272,0.204545,0.294781,3.189603,0.181818,0.266663,3.218958,0.174242,0.258123
N8_E10a_T12b_s2,28,2.506414,3.030417,0.204545,0.297148,3.191561,0.181818,0.266613,3.215086,0.174242,0.259043
N8_E10a_T12b_s2,29,2.456667,3.016785,0.204545,0.299331,3.194813,0.181818,0.266298,3.212317,0.17803,0.259713
N8_E10a_T12b_s2,30,2.40747,3.003392,0.206612,0.301231,3.199112,0.181818,0.265655,3.209974,0.17803,0.260178
N8_E10a_T12b_s2,31,2.388735,2.990057,0.206612,0.302811,3.203996,0.181818,0.264772,3.208318,0.17803,0.260344
N8_E10a_T12b_s2,32,2.403779,2.976514,0.208678,0.30402,3.208701,0.181818,0.263688,3.207167,0.17803,0.260132
N8_E10a_T12b_s2,33,2.304814,2.962778,0.208678,0.304718,3.213758,0.181818,0.262263,3.206401,0.17803,0.259542
N8_E10a_T12b_s2,34,2.28993,2.948348,0.208678,0.305316,3.218879,0.181818,0.260782,3.205738,0.17803,0.258809
N8_E10a_T12b_s2,35,2.260334,2.932022,0.208678,0.306356,3.223219,0.181818,0.259574,3.203985,0.17803,0.258313
N8_E10a_T12b_s2,36,2.242994,2.914996,0.208678,0.307417,3.227675,0.181818,0.258333,3.202543,0.17803,0.257757
N8_E10a_T12b_s2,37,2.189302,2.894535,0.208678,0.309659,3.229053,0.181818,0.257942,3.197992,0.17803,0.258019
N8_E10a_T12b_s2,38,2.171217,2.869784,0.210744,0.313121,3.227316,0.181818,0.258276,3.190616,0.17803,0.258982
N8_E10a_T12b_s2,39,2.131194,2.842083,0.210744,0.317689,3.222711,0.181818,0.259238,3.180585,0.17803,0.260683
N8_E10a_T12b_s2,40,2.106988,2.811258,0.210744,0.323214,3.216511,0.181818,0.260618,3.169237,0.17803,0.262908
N8_E10a_T12b_s2,41,2.061949,2.776738,0.210744,0.329919,3.207376,0.181818,0.262621,3.155792,0.17803,0.265712
N8_E10a_T12b_s2,42,1.987813,2.739464,0.219008,0.337853,3.19712,0.181818,0.265169,3.140751,0.17803,0.269196
N8_E10a_T12b_s2,43,1.972711,2.698368,0.22314,0.346975,3.185471,0.181818,0.268013,3.123361,0.181818,0.273209
N8_E10a_T12b_s2,44,1.906849,2.655653,0.233471,0.356651,3.174457,0.181818,0.270887,3.106474,0.181818,0.277232
N8_E10a_T12b_s2,45,1.945694,2.607857,0.247934,0.368486,3.159073,0.181818,0.27475,3.085765,0.189394,0.282385
N8_E10a_T12b_s2,46,1.884392,2.556983,0.268595,0.382068,3.141987,0.189394,0.279317,3.062651,0.193182,0.288628
N8_E10a_T12b_s2,47,1.812948,2.502783,0.285124,0.397058,3.124135,0.19697,0.284318,3.038077,0.208333,0.29547
