experiment_id,epoch,loss,train_kl,train_top1,train_cosine,val_kl,val_top1,val_cosine,test_kl,test_top1,test_cosine
N7_E10b_T12b_s1,1,2.891606,2.886673,0.038182,0.236628,2.892876,0.046667,0.2352,2.88898,0.023333,0.236091
N7_E10b_T12b_s1,2,2.800466,2.880761,0.085455,0.238023,2.887599,0.06,0.236436,2.883114,0.093333,0.237475
N7_E10b_T12b_s1,3,2.692665,2.870792,0.192727,0.240396,2.879297,0.133333,0.238405,2.87297,0.183333,0.239892
N7_E10b_T12b_s1,4,2.636282,2.857211,0.192727,0.243668,2.868008,0.133333,0.241117,2.859249,0.186667,0.2432
N7_E10b_T12b_s1,5,2.542669,2.839828,0.192727,0.247912,2.853408,0.133333,0.244668,2.841635,0.186667,0.2475
N7_E10b_T12b_s1,6,2.467068,2.81938,0.194545,0.252989,2.836202,0.133333,0.248926,2.820853,0.186667,0.252656
N7_E10b_T12b_s1,7,2.3652,2.795919,0.198182,0.258928,2.81676,0.133333,0.253833,2.797149,0.186667,0.258652
N7_E10b_T12b_s1,8,2.277782,2.769776,0.296364,0.26569,2.79523,0.233333,0.25938,2.77094,0.26,0.265415
N7_E10b_T12b_s1,9,2.177835,2.740771,0.423636,0.273376,2.771363,0.313333,0.265665,2.742012,0.38,0.273043
N7_E10b_T12b_s1,10,2.097753,2.709215,0.46,0.281958,2.745375,0.406667,0.272658,2.710817,0.433333,0.281456
N7_E10b_T12b_s1,11,2.025082,2.675896,0.474545,0.291278,2.718046,0.413333,0.280184,2.678176,0.453333,0.290474
N7_E10b_T12b_s1,12,1.968458,2.641818,0.481818,0.301087,2.690135,0.413333,0.288043,2.645072,0.463333,0.299843
N7_E10b_T12b_s1,13,1.893367,2.607927,0.490909,0.311136,2.662559,0.42,0.295989,2.612553,0.466667,0.309272
N7_E10b_T12b_s1,14,1.832812,2.574675,0.494545,0.3213,2.635571,0.42,0.303942,2.581156,0.456667,0.318608
N7_E10b_T12b_s1,15,1.815957,2.542692,0.498182,0.331407,2.609774,0.413333,0.311737,2.551541,0.456667,0.327675
N7_E10b_T12b_s1,16,1.723027,2.511392,0.496364,0.341593,2.584719,0.413333,0.319469,2.523178,0.456667,0.33658
N7_E10b_T12b_s1,17,1.698595,2.481487,0.494545,0.351664,2.560966,0.413333,0.32701,2.496778,0.46,0.345136
N7_E10b_T12b_s1,18,1.67336,2.453066,0.496364,0.361531,2.538498,0.413333,0.33431,2.472414,0.46,0.353276
N7_E10b_T12b_s1,19,1.626907,2.425935,0.5,0.371184,2.517089,0.413333,0.341409,2.449829,0.46,0.361022
N7_E10b_T12b_s1,20,1.574791,2.40073,0.505455,0.380412,2.497413,0.413333,0.348125,2.42988,0.46,0.368103
N7_E10b_T12b_s1,21,1.575832,2.376256,0.505455,0.389482,2.478432,0.413333,0.354679,2.411092,0.463333,0.374869
N7_E10b_T12b_s1,22,1.490447,2.353234,0.523636,0.398064,2.460657,0.426667,0.360853,2.394195,0.473333,0.381017
N7_E10b_T12b_s1,23,1.460697,2.331387,0.550909,0.406231,2.444252,0.433333,0.366595,2.378939,0.51,0.386635
N7_E10b_T12b_s1,24,1.467272,2.310389,0.561818,0.413972,2.42876,0.473333,0.371954,2.364957,0.533333,0.391717
N7_E10b_T12b_s1,25,1.406126,2.290359,0.569091,0.421254,2.41442,0.486667,0.376893,2.352168,0.533333,0.396289
N7_E10b_T12b_s1,26,1.40319,2.271133,0.589091,0.428152,2.401012,0.48,0.381471,2.340528,0.54,0.400384
N7_E10b_T12b_s1,27,1.338582,2.251405,0.594545,0.435119,2.38834,0.466667,0.385737,2.329026,0.533333,0.40436
N7_E10b_T12b_s1,28,1.326714,2.230988,0.598182,0.442223,2.375934,0.466667,0.38988,2.317257,0.536667,0.40834
N7_E10b_T12b_s1,29,1.288305,2.209871,0.596364,0.449559,2.363431,0.446667,0.394072,2.30519,0.53,0.412424
N7_E10b_T12b_s1,30,1.246919,2.18565,0.596364,0.458005,2.349459,0.446667,0.398794,2.290714,0.54,0.41735
N7_E10b_T12b_s1,31,1.212395,2.159371,0.607273,0.467159,2.334629,0.426667,0.40376,2.274852,0.533333,0.422751
N7_E10b_T12b_s1,32,1.190826,2.129381,0.609091,0.477624,2.318198,0.42,0.409238,2.256527,0.526667,0.429014
N7_E10b_T12b_s1,33,1.151645,2.095514,0.62,0.489556,2.300004,0.413333,0.415322,2.235777,0.53,0.43621
N7_E10b_T12b_s1,34,1.122353,2.057336,0.627273,0.50314,2.279573,0.426667,0.422177,2.212332,0.526667,0.444468
N7_E10b_T12b_s1,35,1.079175,2.015692,0.634545,0.517854,2.257512,0.426667,0.42945,2.186981,0.523333,0.453281
N7_E10b_T12b_s1,36,1.053468,1.969232,0.649091,0.534279,2.23305,0.433333,0.437524,2.158508,0.53,0.463219
