experiment_id,epoch,loss,train_kl,train_top1,train_cosine,val_kl,val_top1,val_cosine,test_kl,test_top1,test_cosine
N7_E10c_T12b_s2,1,2.962441,2.87688,0.029091,0.238783,2.870309,0.08,0.240376,2.878547,0.06,0.238418
N7_E10c_T12b_s2,2,2.837951,2.868743,0.029091,0.240727,2.863914,0.08,0.241912,2.870558,0.06,0.240325
N7_E10c_T12b_s2,3,2.721398,2.85864,0.029091,0.24317,2.855553,0.08,0.243939,2.860722,0.06,0.242705
N7_E10c_T12b_s2,4,2.608528,2.845774,0.181818,0.246321,2.84493,0.186667,0.246551,2.848118,0.15,0.245796
N7_E10c_T12b_s2,5,2.493205,2.82776,0.256364,0.250821,2.830324,0.226667,0.250208,2.830479,0.21,0.250207
N7_E10c_T12b_s2,6,2.425954,2.805318,0.5,0.256558,2.812213,0.406667,0.254836,2.808631,0.483333,0.255801
N7_E10c_T12b_s2,7,2.364455,2.779559,0.290909,0.263318,2.791491,0.186667,0.260257,2.783711,0.26,0.262352
N7_E10c_T12b_s2,8,2.233377,2.750345,0.254545,0.271213,2.768043,0.166667,0.266557,2.755499,0.24,0.269991
N7_E10c_T12b_s2,9,2.166532,2.717659,0.250909,0.280318,2.741885,0.166667,0.273778,2.724088,0.24,0.278761
N7_E10c_T12b_s2,10,2.067527,2.682637,0.250909,0.290367,2.714374,0.166667,0.28158,2.690724,0.24,0.288362
N7_E10c_T12b_s2,11,2.026548,2.646624,0.26,0.301022,2.686621,0.18,0.289696,2.656667,0.25,0.298473
N7_E10c_T12b_s2,12,1.943124,2.610109,0.294545,0.312133,2.658986,0.193333,0.298029,2.622744,0.276667,0.308845
N7_E10c_T12b_s2,13,1.853597,2.573692,0.329091,0.32351,2.6322,0.233333,0.306392,2.589616,0.3,0.319258
N7_E10c_T12b_s2,14,1.842883,2.539349,0.347273,0.334563,2.607496,0.286667,0.314428,2.558961,0.34,0.329198
N7_E10c_T12b_s2,15,1.772955,2.505973,0.381818,0.345712,2.583995,0.293333,0.322464,2.529866,0.366667,0.339026
N7_E10c_T12b_s2,16,1.732406,2.474384,0.412727,0.356685,2.562238,0.346667,0.330317,2.503218,0.383333,0.348403
N7_E10c_T12b_s2,17,1.661562,2.443905,0.445455,0.367682,2.54147,0.36,0.338201,2.478159,0.4,0.357594
N7_E10c_T12b_s2,18,1.63667,2.415131,0.456364,0.378451,2.522391,0.38,0.345789,2.455356,0.42,0.366301
N7_E10c_T12b_s2,19,1.588734,2.387415,0.474545,0.389179,2.504294,0.386667,0.353292,2.434029,0.45,0.374767
N7_E10c_T12b_s2,20,1.540803,2.361172,0.48,0.399568,2.48792,0.393333,0.360282,2.414776,0.453333,0.382645
