experiment_id,epoch,loss,train_kl,train_top1,train_cosine,val_kl,val_top1,val_cosine,test_kl,test_top1,test_cosine
N8_E11a_T12a_s0,1,2.967228,2.890513,0.008723,0.235658,2.887886,0.013699,0.2363,2.89069,0.006849,0.235623
N8_E11a_T12a_s0,2,2.78245,2.877759,0.064798,0.238733,2.874851,0.061644,0.239453,2.87766,0.055936,0.23877
N8_E11a_T12a_s0,3,2.6035,2.861203,0.269159,0.242796,2.857982,0.296804,0.243607,2.860607,0.28653,0.242959
N8_E11a_T12a_s0,4,2.424752,2.837507,0.26729,0.248787,2.833699,0.296804,0.249772,2.836297,0.287671,0.249109
N8_E11a_T12a_s0,5,2.25795,2.804994,0.26729,0.257371,2.8004,0.296804,0.258605,2.803096,0.287671,0.257874
N8_E11a_T12a_s0,6,2.071229,2.763572,0.274143,0.268948,2.757992,0.296804,0.270519,2.760946,0.291096,0.269645
N8_E11a_T12a_s0,7,1.926795,2.713588,0.32648,0.283917,2.706902,0.3379,0.285912,2.710327,0.3379,0.284776
N8_E11a_T12a_s0,8,1.789761,2.656502,0.379439,0.302339,2.648727,0.415525,0.304813,2.652722,0.390411,0.303305
N8_E11a_T12a_s0,9,1.694801,2.59398,0.406231,0.323926,2.585471,0.426941,0.326821,2.590002,0.406393,0.324866
N8_E11a_T12a_s0,10,1.590037,2.527852,0.427414,0.348032,2.51904,0.445205,0.351241,2.524237,0.428082,0.348729
N8_E11a_T12a_s0,11,1.53015,2.459591,0.446106,0.373839,2.450753,0.458904,0.377284,2.456744,0.452055,0.374119
N8_E11a_T12a_s0,12,1.466227,2.392575,0.461059,0.39946,2.384068,0.474886,0.402996,2.390945,0.47032,0.399159
N8_E11a_T12a_s0,13,1.403331,2.327519,0.476636,0.424001,2.319951,0.495434,0.427383,2.327461,0.489726,0.423015
N8_E11a_T12a_s0,14,1.38055,2.263989,0.502181,0.44727,2.258058,0.509132,0.450195,2.265754,0.51484,0.445556
N8_E11a_T12a_s0,15,1.341919,2.20337,0.519626,0.46862,2.199518,0.511416,0.470862,2.207187,0.526256,0.466167
N8_E11a_T12a_s0,16,1.303095,2.143978,0.538941,0.488634,2.142503,0.525114,0.490003,2.150138,0.554795,0.485395
N8_E11a_T12a_s0,17,1.263776,2.087569,0.559502,0.506766,2.088907,0.534247,0.507049,2.096449,0.570776,0.502675
N8_E11a_T12a_s0,18,1.224532,2.033691,0.570717,0.52334,2.03816,0.557078,0.522385,2.045493,0.576484,0.51838
N8_E11a_T12a_s0,19,1.189994,1.980886,0.583801,0.538918,1.988615,0.575342,0.536646,1.995898,0.590183,0.53306
N8_E11a_T12a_s0,20,1.132633,1.930173,0.611838,0.553484,1.941353,0.598174,0.549807,1.948696,0.605023,0.546661
N8_E11a_T12a_s0,21,1.104082,1.881031,0.633022,0.567214,1.895682,0.607306,0.56211,1.903272,0.622146,0.559393
N8_E11a_T12a_s0,22,1.06445,1.833177,0.647975,0.580405,1.851394,0.618721,0.573836,1.859469,0.636986,0.571505
N8_E11a_T12a_s0,23,1.03386,1.785847,0.66729,0.593342,1.80799,0.630137,0.585182,1.81662,0.648402,0.583236
N8_E11a_T12a_s0,24,0.986503,1.738444,0.670405,0.606245,1.76508,0.63242,0.596299,1.774163,0.65411,0.594788
N8_E11a_T12a_s0,25,0.972995,1.690776,0.676636,0.619096,1.722302,0.643836,0.607255,1.731832,0.6621,0.606171
N8_E11a_T12a_s0,26,0.939817,1.642125,0.684112,0.632388,1.679244,0.643836,0.618433,1.688992,0.663242,0.617825
N8_E11a_T12a_s0,27,0.922292,1.59245,0.68972,0.645682,1.635618,0.646119,0.629433,1.645475,0.667808,0.629364
N8_E11a_T12a_s0,28,0.887957,1.54066,0.695327,0.659355,1.59084,0.646119,0.640456,1.600219,0.672374,0.641163
N8_E11a_T12a_s0,29,0.872513,1.488829,0.702804,0.672912,1.546726,0.646119,0.65112,1.555211,0.679224,0.652737
N8_E11a_T12a_s0,30,0.840084,1.435023,0.710903,0.686657,1.501245,0.648402,0.661751,1.508244,0.688356,0.664545
N8_E11a_T12a_s0,31,0.800476,1.382882,0.722741,0.699894,1.458169,0.657534,0.671684,1.463093,0.690639,0.675832
N8_E11a_T12a_s0,32,0.79538,1.32966,0.732087,0.713083,1.414671,0.666667,0.68144,1.416829,0.704338,0.687212
N8_E11a_T12a_s0,33,0.777473,1.277991,0.739564,0.725751,1.373108,0.673516,0.6907,1.372117,0.710046,0.698167
N8_E11a_T12a_s0,34,0.748612,1.226703,0.743302,0.738228,1.332507,0.687215,0.699791,1.327685,0.714612,0.709076
N8_E11a_T12a_s0,35,0.733009,1.177367,0.759502,0.750261,1.294441,0.691781,0.708474,1.285285,0.726027,0.719581
N8_E11a_T12a_s0,36,0.714612,1.128842,0.768847,0.761901,1.257256,0.705479,0.71695,1.243322,0.736301,0.729869
N8_E11a_T12a_s0,37,0.691736,1.081714,0.779439,0.772961,1.221326,0.719178,0.725115,1.202341,0.744292,0.739775
N8_E11a_T12a_s0,38,0.673129,1.036697,0.787539,0.783473,1.187431,0.726027,0.732905,1.163301,0.752283,0.749207
N8_E11a_T12a_s0,39,0.645433,0.993135,0.797508,0.793554,1.154765,0.73516,0.740508,1.125433,0.763699,0.758333
N8_E11a_T12a_s0,40,0.639458,0.950755,0.806854,0.80333,1.122833,0.742009,0.748094,1.088382,0.773973,0.76728
N8_E11a_T12a_s0,41,0.633996,0.909882,0.818069,0.812542,1.092067,0.753425,0.755366,1.052744,0.781963,0.775706
N8_E11a_T12a_s0,42,0.601449,0.870706,0.826791,0.821313,1.062345,0.767123,0.762507,1.018704,0.780822,0.783722
N8_E11a_T12a_s0,43,0.58163,0.832381,0.829907,0.829803,1.033004,0.771689,0.769608,0.985515,0.783105,0.791436
N8_E11a_T12a_s0,44,0.567886,0.794655,0.838006,0.838067,1.003597,0.773973,0.77673,0.952768,0.793379,0.798898
N8_E11a_T12a_s0,45,0.549971,0.75824,0.845483,0.845965,0.975082,0.778539,0.783693,0.921408,0.80137,0.806001
N8_E11a_T12a_s0,46,0.552092,0.722697,0.847975,0.853482,0.947247,0.789954,0.790362,0.891071,0.812785,0.812625
N8_E11a_T12a_s0,47,0.526864,0.687365,0.857321,0.860737,0.919343,0.794521,0.796751,0.861003,0.81621,0.818936
N8_E11a_T12a_s0,48,0.514343,0.653459,0.86729,0.867591,0.892391,0.80137,0.802805,0.832138,0.825342,0.824891
N8_E11a_T12a_s0,49,0.504743,0.620687,0.872897,0.874134,0.866442,0.808219,0.808528,0.804482,0.827626,0.830526
