method,dataset,Task_Idx,Node_Idx,Edge_Idx,Text_Idx,Task_dominant
raw_gnn,history,0.4059,0.0,0.5492,0.0449,False
clamped,history,0.0,0.0,0.7897,0.2103,False
unclamped,history,0.0,0.0,0.9434,0.0566,False
raw_gnn,amazon,0.5929,0.3993,0.0039,0.0039,True
clamped,amazon,0.2897,0.2565,0.3422,0.1116,False
unclamped,amazon,0.1026,0.5198,0.3056,0.0721,False
raw_gnn,arxiv,0.7252,0.2484,0.013,0.0134,True
clamped,arxiv,0.3046,0.4244,0.2683,0.0028,False
unclamped,arxiv,0.2112,0.4289,0.3562,0.0037,False
raw_gnn,electronics,0.5449,0.452,0.0027,0.0004,True
clamped,electronics,0.7501,0.0759,0.1615,0.0125,True
unclamped,electronics,0.448,0.2994,0.2399,0.0127,False
raw_gnn,toys,0.7829,0.2087,0.0073,0.0012,True
clamped,toys,0.9821,0.01,0.0049,0.003,True
unclamped,toys,0.8831,0.0441,0.0679,0.0049,True
