Task_Idx,Node_Idx,Edge_Idx,Text_Idx,task_type,KL,Top1,Top3,Cosine,Accuracy,F1,MAE,MSE,R2,S_GNN_step1,S_MLP_step1,Final_Score,raw_gnn_score,unclamped_score,scoring_formula,number_of_nodes,avg_text_length,text_vocab_entropy,label_balance_entropy,output_dimension,run_split,degenerate,nan_reason,Predicted_Value,True_Value,sample_idx
M1,N7,E10b,T12a,categorical,1.766897201538086,0.5782312925170068,0.7380952380952381,0.6227228045463562,0.5782312925170068,,,,0.4471719343636513,0.4471719343636513,0.4444883900039433,0.004830761970442,0.4471719343636513,0.004830761970442117,graph_lift,980,68.618,7.296330850432762,3.2739408258425513,47,train,False,,,,0
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.1276354640722274,0.1489215048704548,0.0259948699630524,0.1262073793212356,0.1489215048704548,0.12620737932123557,graph_lift,980,68.618,7.296330850432762,,47,train,False,,,,0
M1,N7,E10b,T12a,categorical,1.762877345085144,0.6262626262626263,0.7508417508417509,0.6283165812492371,0.6262626262626263,,,,0.4216962971961636,0.4216962971961636,0.4379906052949742,0.0,0.4216962971961636,-0.028992946118565826,graph_lift,988,71.171,7.29249614737439,3.2389935699073416,47,train,False,,,,1
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.1789603531360626,0.0,0.1686870161852474,0.0,0.0,-0.20291637382008834,graph_lift,988,71.171,7.29249614737439,,47,train,False,,,,1
M1,N7,E10b,T12a,categorical,1.9138805866241455,0.5656565656565656,0.7441077441077442,0.6028355956077576,0.5656565656565656,,,,0.3752789701298205,0.3752789701298205,0.3968493732353693,0.0,0.3752789701298205,-0.03576287936772101,graph_lift,990,70.979,7.312019931721842,3.1935219765300435,47,train,False,,,,2
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.1841082721948623,0.0,0.0,0.0,0.0,0.0,graph_lift,990,70.979,7.312019931721842,,47,train,False,,,,2
M1,N7,E10b,T12a,categorical,1.8978456258773804,0.5939597315436241,0.7348993288590604,0.6123539209365845,0.5939597315436241,,,,0.3987146417797228,0.3987146417797228,0.4229927795936404,0.0,0.3987146417797228,-0.04207596881858706,graph_lift,993,66.069,7.31450490936905,3.2544080451755177,47,train,False,,,,3
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.1618952453136444,0.0,0.0,0.0,0.0,0.0,graph_lift,993,66.069,7.31450490936905,,47,train,False,,,,3
M1,N7,E10b,T12a,categorical,1.922401428222656,0.5604026845637584,0.7013422818791947,0.5928050875663757,0.5604026845637584,,,,0.3983654965917185,0.3983654965917185,0.4522123959606235,0.0,0.3983654965917185,-0.09829886432595206,graph_lift,991,69.446,7.325647312884652,3.2935284891155434,47,train,False,,,,4
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.1759332865476608,0.0,0.0628545220973857,0.0,0.0,-0.06707018662466126,graph_lift,991,69.446,7.325647312884652,,47,train,False,,,,4
