Task_Idx,Node_Idx,Edge_Idx,Text_Idx,task_type,KL,Top1,Top3,Cosine,Accuracy,F1,MAE,MSE,R2,S_GNN_step1,S_MLP_step1,Final_Score,raw_gnn_score,unclamped_score,scoring_formula,number_of_nodes,avg_text_length,text_vocab_entropy,label_balance_entropy,output_dimension,run_split,degenerate,nan_reason,Predicted_Value,True_Value,sample_idx
M1,N7,E10b,T12a,categorical,0.993992030620575,0.7233333333333334,0.8766666666666667,0.7527979612350464,0.7233333333333334,,,,0.5664061969591534,0.5664061969591534,0.5915835400350147,0.0,0.5664061969591534,-0.061646249708005904,graph_lift,1000.0,130.415,7.250427333922261,2.3655266638301,18.0,train,False,,,,0
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.1164044961333274,0.0,0.0,0.0,0.0,0.0,graph_lift,1000.0,130.415,7.250427333922261,,18.0,train,False,,,,0
M1,N7,E10b,T12a,categorical,1.119541049003601,0.7033333333333334,0.8733333333333333,0.7294038534164429,0.7033333333333334,,,,0.5239773537578698,0.5239773537578698,0.5474069945493412,0.0,0.5239773537578698,-0.05176757154729302,graph_lift,1000.0,130.661,7.272168341507912,2.4031174329209217,18.0,train,False,,,,1
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.0963779762387275,0.0,0.0,0.0,0.0,0.0,graph_lift,1000.0,130.661,7.272168341507912,,18.0,train,False,,,,1
M1,N7,E10b,T12a,categorical,1.1375691890716553,0.71,0.87,0.7292373776435852,0.71,,,,0.5163299977855285,0.5163299977855285,0.5366248512151912,0.0,0.5163299977855285,-0.04379788921111881,graph_lift,1000.0,134.048,7.247702458283311,2.3920726910571597,18.0,train,False,,,,2
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.0912751406431198,0.0,0.0,0.0,0.0,0.0,graph_lift,1000.0,134.048,7.247702458283311,,18.0,train,False,,,,2
M1,N7,E10b,T12a,categorical,1.045487880706787,0.72,0.88,0.7499345541000366,0.72,,,,0.5439134806486945,0.5439134806486945,0.548561961835681,0.0,0.5439134806486945,-0.010297052516638977,graph_lift,1000.0,135.502,7.265949791697949,2.3726144625127072,18.0,train,False,,,,3
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.085342913866043,0.204430478829485,0.0689179576302158,0.1455430510230479,0.204430478829485,0.14554305102304796,graph_lift,1000.0,135.502,7.265949791697949,,18.0,train,False,,,,3
M1,N7,E10b,T12a,categorical,1.0780857801437378,0.6966666666666667,0.8733333333333333,0.7302886843681335,0.6966666666666667,,,,0.5520208070378039,0.5520208070378039,0.5717214670432651,0.0,0.5520208070378039,-0.045999643898685445,graph_lift,1000.0,130.462,7.251963988434811,2.402910732768787,18.0,train,False,,,,4
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.0754924118518829,0.245075836484184,0.2975244252398267,0.0,0.245075836484184,-0.07466250876202887,graph_lift,1000.0,130.462,7.251963988434811,,18.0,train,False,,,,4
M1,N7,E10b,T12a,categorical,1.0615395307540894,0.7,0.86,0.736038088798523,0.7,,,,0.5482941992489692,0.5482941992489692,0.5531889898204978,0.0,0.5482941992489692,-0.010954946185328341,graph_lift,1000.0,127.871,7.266763744180336,2.362344106964197,18.0,train,False,,,,5
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.0993900746107101,0.2077603662048484,0.0550520583344112,0.1616049955104084,0.2077603662048484,0.16160499551040844,graph_lift,1000.0,127.871,7.266763744180336,,18.0,train,False,,,,5
