Task_Idx,Node_Idx,Edge_Idx,Text_Idx,task_type,KL,Top1,Top3,Cosine,Accuracy,F1,MAE,MSE,R2,S_GNN_step1,S_MLP_step1,Final_Score,raw_gnn_score,unclamped_score,scoring_formula,number_of_nodes,avg_text_length,text_vocab_entropy,label_balance_entropy,output_dimension,run_split,degenerate,nan_reason,Predicted_Value,True_Value,sample_idx
M1,N7,E10b,T12a,categorical,0.8030416965484619,0.7666666666666667,0.91,0.7944742441177368,0.7666666666666667,,,,0.4182145627121202,0.4182145627121202,0.3951488603839529,0.0381345108199831,0.4182145627121202,0.03813451081998316,graph_lift,1000.0,216.379,7.646386072090627,1.3871449488211751,10.0,train,False,,,,0
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.1110690459609031,0.0,0.0,0.0,0.0,0.0,graph_lift,1000.0,216.379,7.646386072090627,,10.0,train,False,,,,0
M1,N7,E10b,T12a,categorical,0.876947820186615,0.7533333333333333,0.9066666666666666,0.785005509853363,0.7533333333333333,,,,0.3664217680355326,0.3664217680355326,0.29485642319824,0.1014904583856289,0.3664217680355326,0.10149045838562899,graph_lift,1000.0,206.996,7.620898819468372,1.386668040094565,11.0,train,False,,,,1
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.076423704624176,0.0,0.0,0.0,0.0,0.0,graph_lift,1000.0,206.996,7.620898819468372,,11.0,train,False,,,,1
M1,N7,E10b,T12a,categorical,0.8510563373565674,0.7733333333333333,0.8933333333333333,0.7843965291976929,0.7733333333333333,,,,0.3710673781849668,0.3710673781849668,0.175580115796882,0.2371209939666147,0.3710673781849668,0.23712099396661482,graph_lift,1000.0,218.288,7.631200822139385,1.3335399472977525,11.0,train,False,,,,2
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.0875069126486778,0.0,0.0,0.0,0.0,0.0,graph_lift,1000.0,218.288,7.631200822139385,,11.0,train,False,,,,2
M1,N7,E10b,T12a,categorical,0.790919303894043,0.7666666666666667,0.9433333333333334,0.7988088130950928,0.7666666666666667,,,,0.3817872341643593,0.3817872341643593,0.3242100328370119,0.0851998462910901,0.3817872341643593,0.08519984629109006,graph_lift,1000.0,221.007,7.621309470123625,1.3223657103782769,10.0,train,False,,,,3
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.1121037527918815,0.0,0.0,0.0,0.0,0.0,graph_lift,1000.0,221.007,7.621309470123625,,10.0,train,False,,,,3
M1,N7,E10b,T12a,categorical,0.722354531288147,0.81,0.96,0.8223771452903748,0.81,,,,0.4246004533326137,0.4246004533326137,0.3533803325795076,0.1101422124031872,0.4246004533326137,0.11014221240318717,graph_lift,1000.0,216.039,7.643515041238322,1.2786680974452962,9.0,train,False,,,,4
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.0732329785823822,0.0,0.0,0.0,0.0,0.0,graph_lift,1000.0,216.039,7.643515041238322,,9.0,train,False,,,,4
M1,N7,E10b,T12a,categorical,0.7277501225471497,0.7866666666666666,0.9133333333333332,0.8143839240074158,0.7866666666666666,,,,0.4657367516761642,0.4657367516761642,0.4060526895735296,0.1004871325366889,0.4657367516761642,0.10048713253668884,graph_lift,1000.0,219.817,7.682813154988811,1.3539656857810132,11.0,train,False,,,,5
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.0588179901242256,0.0,0.0,0.0,0.0,0.0,graph_lift,1000.0,219.817,7.682813154988811,,11.0,train,False,,,,5
M1,N7,E10b,T12a,categorical,0.9339050054550172,0.7466666666666667,0.9166666666666666,0.7660307884216309,0.7466666666666667,,,,0.3535646025595311,0.3535646025595311,0.2449985832957329,0.143795782182384,0.3535646025595311,0.1437957821823841,graph_lift,1000.0,216.934,7.6342927696670095,1.434705340673147,11.0,train,False,,,,6
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.0626714527606964,0.0,0.0,0.0,0.0,0.0,graph_lift,1000.0,216.934,7.6342927696670095,,11.0,train,False,,,,6
M1,N7,E10b,T12a,categorical,0.9087228178977966,0.7433333333333333,0.8933333333333333,0.7685047388076782,0.7433333333333333,,,,0.3237216883358744,0.3237216883358744,0.2838161526570077,0.0557196812339656,0.3237216883358744,0.055719681233965694,graph_lift,1000.0,219.161,7.63140528740588,1.3717287064786692,10.0,train,False,,,,7
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.1215386465191841,0.0,0.0,0.0,0.0,0.0,graph_lift,1000.0,219.161,7.63140528740588,,10.0,train,False,,,,7
M1,N7,E10b,T12a,categorical,0.8884252905845642,0.7266666666666667,0.9166666666666666,0.7681055665016174,0.7266666666666667,,,,0.34535448968902,0.34535448968902,0.3036086555923712,0.0599459405001063,0.34535448968902,0.05994594050010634,graph_lift,1000.0,214.565,7.657271824177929,1.353609540269382,11.0,train,False,,,,8
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.1042411401867866,0.0,0.0,0.0,0.0,0.0,graph_lift,1000.0,214.565,7.657271824177929,,11.0,train,False,,,,8
M1,N7,E10b,T12a,categorical,0.7888950705528259,0.74,0.9366666666666666,0.7877923846244812,0.74,,,,0.3890962743096255,0.3890962743096255,0.2868324699713893,0.1433938030439126,0.3890962743096255,0.1433938030439126,graph_lift,1000.0,227.171,7.66090805540424,1.3396231503303442,12.0,train,False,,,,9
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.0523198768496513,0.0245445516360024,0.0,0.0245445516360024,0.0245445516360024,0.0245445516360024,graph_lift,1000.0,227.171,7.66090805540424,,12.0,train,False,,,,9
M1,N7,E10b,T12a,categorical,0.8564306497573853,0.7766666666666666,0.92,0.8040252327919006,0.7766666666666666,,,,0.4025263620449004,0.4025263620449004,0.3771056210547769,0.0408106764957,0.4025263620449004,0.04081067649570003,graph_lift,1000.0,184.766,7.628231320122291,1.4166152183796688,11.0,test,False,,,,0
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.0642304793000221,0.0,0.0,0.0,0.0,0.0,graph_lift,1000.0,184.766,7.628231320122291,,11.0,test,False,,,,0
M1,N7,E10b,T12a,categorical,0.8719329833984375,0.7633333333333333,0.9166666666666666,0.7831980586051941,0.7633333333333333,,,,0.3898760618684871,0.3898760618684871,0.3794961001026216,0.0167282780456048,0.3898760618684871,0.01672827804560489,graph_lift,1000.0,205.498,7.683546953063594,1.4287055268983069,11.0,test,False,,,,1
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.0984691604971885,0.0,0.0,0.0,0.0,0.0,graph_lift,1000.0,205.498,7.683546953063594,,11.0,test,False,,,,1
M1,N7,E10b,T12a,categorical,0.8682993650436401,0.7566666666666667,0.9433333333333334,0.7832822203636169,0.7566666666666667,,,,0.3517957405497092,0.3517957405497092,0.2892321786791767,0.0880225018547833,0.3517957405497092,0.08802250185478333,graph_lift,1000.0,187.211,7.62777666630969,1.4161687788396862,11.0,test,False,,,,2
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.0614298284053802,0.0,0.0,0.0,0.0,0.0,graph_lift,1000.0,187.211,7.62777666630969,,11.0,test,False,,,,2
M1,N7,E10b,T12a,categorical,0.7808620929718018,0.7766666666666666,0.94,0.7999207377433777,0.7766666666666666,,,,0.4330567570513879,0.4330567570513879,0.345816760962876,0.1333571251640721,0.4330567570513879,0.1333571251640722,graph_lift,1000.0,195.286,7.633806733760434,1.3839685548710827,11.0,test,False,,,,3
