dataset,threshold,thresh_val,rho,pval,band_acc,N_variants,fi_task,fi_node,fi_edge,fi_text
history,T=0 (no pruning),0.0,0.8839,0.0,0.962,52,0.658,0.12,0.221,0.0
history,T=5th percentile,0.0612,0.8877,0.0,0.98,49,0.73,0.084,0.186,0.0
history,T=10th percentile,0.0942,0.8635,0.0,0.935,46,0.676,0.088,0.235,0.0
history,T=25th percentile,1.5201,0.8949,0.0,0.949,39,0.673,0.074,0.253,0.001
amazon,T=0 (no pruning),0.0,0.8903,0.0,0.965,85,0.581,0.413,0.002,0.005
amazon,T=5th percentile,0.4615,0.8821,0.0,0.962,80,0.561,0.433,0.002,0.005
amazon,T=10th percentile,0.6388,0.8657,0.0,0.908,76,0.541,0.452,0.002,0.005
amazon,T=25th percentile,1.5507,0.8594,0.0,0.875,64,0.444,0.547,0.004,0.005
arxiv,T=0 (no pruning),0.0,0.9744,0.0,1.0,48,0.702,0.264,0.013,0.022
arxiv,T=5th percentile,2.7674,0.9789,0.0,1.0,45,0.695,0.266,0.013,0.027
arxiv,T=10th percentile,4.3712,0.9759,0.0,1.0,43,0.691,0.269,0.014,0.026
arxiv,T=25th percentile,14.9368,0.9925,0.0,1.0,36,0.563,0.38,0.029,0.028
electronics,T=0 (no pruning),0.0,0.9152,0.0,0.989,87,0.555,0.443,0.002,0.0
electronics,T=5th percentile,0.6218,0.9275,0.0,1.0,82,0.537,0.461,0.002,0.0
electronics,T=10th percentile,1.0133,0.929,0.0,0.962,78,0.521,0.477,0.002,0.0
electronics,T=25th percentile,2.5502,0.9202,0.0,0.938,65,0.449,0.548,0.002,0.0
toys,T=0 (no pruning),0.0,0.6625,0.0,0.719,64,0.717,0.283,0.0,0.0
toys,T=5th percentile,0.9859,0.6663,0.0,0.767,60,0.733,0.267,0.0,0.0
toys,T=10th percentile,1.0904,0.6784,0.0,0.719,57,0.746,0.254,0.0,0.0
toys,T=25th percentile,1.3087,0.7854,0.0,0.958,48,0.798,0.201,0.0,0.0
