dataset,method,threshold,N_variants,rho,pval,n_train_nodes,n_test_nodes,raw_ted,ted_norm,rho_minus_ted,fi_task,fi_node,fi_edge,fi_text,thresh_val,band_acc,task_below_50
history,raw_gnn,T=0,52,0.8839,0.0,21,21,10,0.2381,0.6458,0.658,0.12,0.221,0.0,0.0,0.962,False
history,raw_gnn,T=5th,49,0.8877,0.0,19,19,14,0.3684,0.5193,0.73,0.084,0.186,0.0,0.0612,0.98,False
history,raw_gnn,T=10th,46,0.8635,0.0,19,19,2,0.0526,0.8109,0.676,0.088,0.235,0.0,0.0942,0.935,False
history,raw_gnn,T=25th,39,0.8949,0.0,19,19,2,0.0526,0.8423,0.673,0.074,0.253,0.001,1.5201,0.949,False
history,clamped,T=0,35,0.8355,0.0,11,15,10,0.3846,0.4509,0.852,0.0,0.148,0.0,0.0,0.914,False
history,clamped,T=5th,50,0.799,0.0,15,15,4,0.1333,0.6657,0.822,0.0,0.178,0.0,-2.0608,0.88,False
history,clamped,T=10th,47,0.8298,0.0,11,15,10,0.3846,0.4452,0.881,0.0,0.119,0.0,-1.3217,0.957,False
history,clamped,T=25th,40,0.8507,0.0,11,15,10,0.3846,0.4661,0.864,0.0,0.136,0.0,-0.068,0.925,False
history,unclamped,T=0,32,0.6407,0.0001,19,15,21,0.6176,0.0231,0.525,0.003,0.46,0.013,0.0,0.75,False
history,unclamped,T=5th,56,0.3438,0.0095,15,11,9,0.3462,-0.0023,0.935,0.0,0.061,0.004,-1.0001,0.661,False
history,unclamped,T=10th,53,0.4956,0.0002,23,15,17,0.4474,0.0482,0.418,0.006,0.565,0.011,-0.0241,0.66,True
history,unclamped,T=25th,44,0.5625,0.0001,19,15,16,0.4706,0.0919,0.454,0.006,0.536,0.004,-0.012,0.682,True
amazon,raw_gnn,T=0,85,0.8903,0.0,27,29,11,0.1964,0.6939,0.581,0.413,0.002,0.005,0.0,0.965,False
amazon,raw_gnn,T=5th,80,0.8821,0.0,27,27,10,0.1852,0.6969,0.561,0.433,0.002,0.005,0.4615,0.962,False
amazon,raw_gnn,T=10th,76,0.8657,0.0,27,27,10,0.1852,0.6805,0.541,0.452,0.002,0.005,0.6388,0.908,False
amazon,raw_gnn,T=25th,64,0.8594,0.0,25,23,19,0.3958,0.4636,0.444,0.547,0.004,0.005,1.5507,0.875,True
amazon,clamped,T=0,75,0.754,0.0,17,11,11,0.3929,0.3611,0.679,0.2,0.121,0.0,0.0,0.88,False
amazon,clamped,T=5th,71,0.728,0.0,17,11,12,0.4286,0.2994,0.624,0.271,0.105,0.0,0.1676,0.859,False
amazon,clamped,T=10th,67,0.6631,0.0,17,11,12,0.4286,0.2346,0.541,0.387,0.071,0.0,0.2614,0.806,False
amazon,clamped,T=25th,56,0.7321,0.0,17,11,12,0.4286,0.3036,0.613,0.307,0.08,0.0,0.46,0.839,False
amazon,unclamped,T=0,22,0.3896,0.073,17,15,24,0.75,-0.3604,0.0,0.511,0.009,0.48,0.0,0.773,True
amazon,unclamped,T=5th,81,0.6611,0.0,25,23,18,0.375,0.2861,0.151,0.542,0.239,0.068,-0.0644,0.753,True
amazon,unclamped,T=10th,77,0.6713,0.0,27,23,16,0.32,0.3513,0.079,0.485,0.326,0.11,-0.0616,0.714,True
amazon,unclamped,T=25th,64,0.5022,0.0,25,17,17,0.4048,0.0974,0.101,0.29,0.485,0.124,-0.042,0.672,True
arxiv,raw_gnn,T=0,48,0.9744,0.0,23,23,12,0.2609,0.7135,0.702,0.264,0.013,0.022,0.0,1.0,False
arxiv,raw_gnn,T=5th,45,0.9789,0.0,21,21,10,0.2381,0.7408,0.695,0.266,0.013,0.027,2.7674,1.0,False
arxiv,raw_gnn,T=10th,43,0.9759,0.0,19,19,1,0.0263,0.9496,0.691,0.269,0.014,0.026,4.3712,1.0,False
arxiv,raw_gnn,T=25th,36,0.9925,0.0,17,17,14,0.4118,0.5807,0.563,0.38,0.029,0.028,14.9368,1.0,False
