Task_Idx,Node_Idx,Edge_Idx,Text_Idx,task_type,KL,Top1,Top3,Cosine,Accuracy,F1,MAE,MSE,R2,Primary_Metric,Primary_Value,Performance_Band,S_GNN_step1,S_MLP_step1,Final_Score,raw_gnn_score,unclamped_score,scoring_formula,normalized_score,number_of_nodes,avg_text_length,text_vocab_entropy,label_balance_entropy,output_dimension,run_split,degenerate,nan_reason,Predicted_Value,True_Value,sample_idx
M1,N7,E10b,T12a,categorical,0.9288396835327148,0.7314487632508834,0.911660777385159,0.7623338103294373,0.7314487632508834,,,,0.4861366763269277,final_score,0.0,,0.4861366763269277,0.57341400639608,0.0,0.4861366763269277,-0.20459492664493864,graph_lift,0.0,942,81.856,7.267783572427003,1.9398877074557266,11,train,False,,,,0
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.12773361802101135,final_score,0.0,,0.0,0.0,0.0,0.0,0.0,graph_lift,0.0,942,81.856,7.267783572427003,,11,train,False,,,,0
M1,N7,E10b,T12a,categorical,0.8289055228233337,0.7419354838709677,0.9283154121863799,0.7750917673110962,0.7419354838709677,,,,0.5843261113180256,final_score,0.0,,0.5843261113180256,0.603898752826942,0.0,0.5843261113180256,-0.049413228684849646,graph_lift,0.0,928,90.066,7.273790040038103,1.9789384960686383,11,train,False,,,,1
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.14490151405334473,final_score,0.0,,0.0,0.0,0.0,0.0,0.0,graph_lift,0.0,928,90.066,7.273790040038103,,11,train,False,,,,1
M1,N7,E10b,T12a,categorical,0.9198243618011475,0.7279151943462897,0.8833922261484098,0.7607030272483826,0.7279151943462897,,,,0.5305004041181077,final_score,0.0,,0.5305004041181077,0.5695246619927965,0.0,0.5305004041181077,-0.0906538759115528,graph_lift,0.0,941,85.483,7.279968831883709,1.9092726165157483,11,train,False,,,,2
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.07532453536987305,final_score,0.09166675426654063,,0.09166675426654063,0.0,0.09166675426654063,0.09166675426654063,0.09166675426654063,graph_lift,9.166675426654063,941,85.483,7.279968831883709,,11,train,False,,,,2
M1,N7,E10b,T12a,categorical,0.8723840117454529,0.7697841726618705,0.9244604316546763,0.7858318090438843,0.7697841726618705,,,,0.5524327887650118,final_score,0.0,,0.5524327887650118,0.6154276366921304,0.0,0.5524327887650118,-0.163804927076073,graph_lift,0.0,926,82.432,7.258965695505445,1.9428333552567538,11,train,False,,,,3
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.10013838112354279,final_score,0.0,,0.0,0.0,0.0,0.0,0.0,graph_lift,0.0,926,82.432,7.258965695505445,,11,train,False,,,,3
M1,N7,E10b,T12a,categorical,1.0205117464065552,0.7340425531914894,0.9219858156028369,0.7629354596138,0.7340425531914894,,,,0.4678823852840762,final_score,0.0,,0.4678823852840762,0.5752970737163992,0.0,0.4678823852840762,-0.2529172317512957,graph_lift,0.0,940,89.265,7.304572333494657,1.9428805738390156,11,train,False,,,,4
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.0775199830532074,final_score,0.0,,0.0,0.0,0.0,0.0,0.0,graph_lift,0.0,940,89.265,7.304572333494657,,11,train,False,,,,4
M1,N7,E10b,T12a,categorical,0.84967440366745,0.7588652482269503,0.9219858156028369,0.78673255443573,0.7588652482269503,,,,0.5780047809220614,final_score,0.0,,0.5780047809220614,0.5889110309489349,0.0,0.5780047809220614,-0.026530145170396792,graph_lift,0.0,937,83.085,7.290022556548218,1.9601203724017915,11,train,False,,,,5
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.10403339564800262,final_score,0.0,,0.0,0.0,0.0,0.0,0.0,graph_lift,0.0,937,83.085,7.290022556548218,,11,train,False,,,,5
M1,N7,E10b,T12a,categorical,0.8546290993690491,0.7659574468085106,0.9184397163120568,0.7921518087387085,0.7659574468085106,,,,0.5579945727562303,final_score,0.0,,0.5579945727562303,0.5956795461282138,0.0,0.5579945727562303,-0.09320570604606061,graph_lift,0.0,940,86.158,7.278869101176685,1.912701656804463,11,train,False,,,,6
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.1365504264831543,final_score,0.0,,0.0,0.0,0.0,0.0,0.0,graph_lift,0.0,940,86.158,7.278869101176685,,11,train,False,,,,6
M1,N7,E10b,T12a,categorical,0.741692066192627,0.7907801418439716,0.9468085106382979,0.8195682168006897,0.7907801418439716,,,,0.6170157765541746,final_score,0.0,,0.6170157765541746,0.6637130424908815,0.0,0.6170157765541746,-0.1388613649562685,graph_lift,0.0,939,88.414,7.291525326334216,1.9470307706624372,11,train,False,,,,7
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.1106470599770546,final_score,0.0,,0.0,0.0,0.0,0.0,0.0,graph_lift,0.0,939,88.414,7.291525326334216,,11,train,False,,,,7
M1,N7,E10b,T12a,categorical,0.9502540826797485,0.7615658362989324,0.8932384341637011,0.7784060835838318,0.7615658362989324,,,,0.5176270051699692,final_score,0.0,,0.5176270051699692,0.5334207215331661,0.0,0.5176270051699692,-0.033850016689756623,graph_lift,0.0,936,87.829,7.276510019171385,1.90762824331089,11,train,False,,,,8
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.09754148125648499,final_score,0.0,,0.0,0.0,0.0,0.0,0.0,graph_lift,0.0,936,87.829,7.276510019171385,,11,train,False,,,,8
M1,N7,E10b,T12a,categorical,0.9226482510566711,0.75,0.9049295774647887,0.7752423286437988,0.75,,,,0.5112000353409675,final_score,0.0,,0.5112000353409675,0.571519461214199,0.0,0.5112000353409675,-0.14077518209849313,graph_lift,0.0,945,85.647,7.300838219845961,1.9335148274410587,11,train,False,,,,9
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.08353069424629211,final_score,0.0,,0.0,0.0,0.0,0.0,0.0,graph_lift,0.0,945,85.647,7.300838219845961,,11,train,False,,,,9
M1,N7,E10b,T12a,categorical,0.7972556948661804,0.7535714285714286,0.9178571428571428,0.7899203896522522,0.7535714285714286,,,,0.5919998799680242,final_score,0.0,,0.5919998799680242,0.6246940355932736,0.0,0.5919998799680242,-0.08711333878461408,graph_lift,0.0,932,89.027,7.23916517269483,1.9603066645592278,11,train,False,,,,10
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.08224047720432281,final_score,0.0,,0.0035501830429131884,0.10529501491181595,0.0,0.0035501830429131884,-0.11371886103761294,graph_lift,0.0,932,89.027,7.23916517269483,,11,train,False,,,,10
M1,N7,E10b,T12a,categorical,0.8549440503120422,0.7437722419928826,0.9110320284697508,0.772179365158081,0.7437722419928826,,,,0.5604987244003543,final_score,0.0,,0.5604987244003543,0.6247807563108908,0.0,0.5604987244003543,-0.17131859037538563,graph_lift,0.0,936,81.494,7.2709614580955275,1.931391021055151,11,train,False,,,,11
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.09751491993665695,final_score,0.0,,0.0,0.0,0.0,0.0,0.0,graph_lift,0.0,936,81.494,7.2709614580955275,,11,train,False,,,,11
M1,N7,E10b,T12a,categorical,0.8953883051872253,0.7357142857142858,0.95,0.7731581926345825,0.7357142857142858,,,,0.5221203400293224,final_score,0.0,,0.5221203400293224,0.5363310125049241,0.0,0.5221203400293224,-0.030648313471154074,graph_lift,0.0,932,86.884,7.262280858021728,1.8925248417833318,11,train,False,,,,12
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.12282796949148178,final_score,0.0,,0.0,0.0,0.0,0.0,0.0,graph_lift,0.0,932,86.884,7.262280858021728,,11,train,False,,,,12
M1,N7,E10b,T12a,categorical,1.08086097240448,0.7418181818181818,0.9127272727272727,0.7626188397407532,0.7418181818181818,,,,0.4434675712720739,final_score,0.0,,0.4434675712720739,0.5390309070974604,0.0,0.4434675712720739,-0.20730963810103192,graph_lift,0.0,915,82.74,7.2391049198822275,1.9320558026234504,11,train,False,,,,13
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.10176985710859299,final_score,0.0,,0.0,0.026794490438178605,0.0,0.0,-0.02753220175484069,graph_lift,0.0,915,82.74,7.2391049198822275,,11,train,False,,,,13
M1,N7,E10b,T12a,categorical,0.8828333616256714,0.7446043165467626,0.9136690647482014,0.7760661840438843,0.7446043165467626,,,,0.5589990273183278,final_score,0.0,,0.5589990273183278,0.5749043303033496,0.0,0.5589990273183278,-0.03741581982326913,graph_lift,0.0,926,84.599,7.247494137796139,1.9523437322702364,11,train,False,,,,14
