Task_Idx,Node_Idx,Edge_Idx,Text_Idx,KL,Top1,Top3,Cosine,Performance_Band,number_of_nodes,avg_text_length,text_vocab_entropy,label_balance_entropy,task_type,output_dimension,normalized_score
1,7,10,a,0.8478155732154846,0.813,0.941,0.8287602663040161,Good 9/10,10000,870.6471,10.812401131878982,3.3972102793943435,node_categorical,18,0.813
1,7,10,b,0.8668462038040161,0.809,0.9406666666666667,0.8261745572090149,Good 9/10,10000,870.6471,10.812401131878982,3.3972102793943435,node_categorical,18,0.809
1,7,10,c,0.8733869791030884,0.8093333333333333,0.9433333333333334,0.8260555267333984,Good 9/10,10000,870.6471,10.812401131878982,3.3972102793943435,node_categorical,18,0.8093333333333333
1,7,10,d,0.8389090299606323,0.8093333333333333,0.9466666666666667,0.8274168372154236,Good 9/10,10000,870.6471,10.812401131878982,3.3972102793943435,node_categorical,18,0.8093333333333333
1,7,10,e,0.8544135093688965,0.805,0.9393333333333334,0.8249194622039795,Good 9/10,10000,870.6471,10.812401131878982,3.3972102793943435,node_categorical,18,0.805
1,7,11,a,0.8757834434509277,0.7973333333333333,0.9416666666666667,0.8192375302314758,Fair 8/10,10000,870.6471,10.812401131878982,3.3972102793943435,node_categorical,18,0.7973333333333333
1,7,11,a,0.8641793727874756,0.7943333333333333,0.939,0.8144139051437378,Fair 8/10,10000,870.6471,10.812401131878982,3.3972102793943435,node_categorical,18,0.7943333333333333
1,7,11,a,0.8563538193702698,0.786,0.9413333333333334,0.80914705991745,Fair 8/10,10000,870.6471,10.812401131878982,3.3972102793943435,node_categorical,18,0.786
1,7,11,b,0.8829917907714844,0.8053333333333333,0.941,0.8222195506095886,Good 9/10,10000,870.6471,10.812401131878982,3.3972102793943435,node_categorical,18,0.8053333333333333
1,7,11,b,0.870839536190033,0.789,0.946,0.8124997019767761,Fair 8/10,10000,870.6471,10.812401131878982,3.3972102793943435,node_categorical,18,0.789
1,7,11,b,0.81875079870224,0.7946666666666666,0.9403333333333334,0.8142576217651367,Fair 8/10,10000,870.6471,10.812401131878982,3.3972102793943435,node_categorical,18,0.7946666666666666
1,7,11,c,0.8878193497657776,0.799,0.939,0.8167818784713745,Fair 8/10,10000,870.6471,10.812401131878982,3.3972102793943435,node_categorical,18,0.799
1,7,11,c,0.8813604116439819,0.7936666666666666,0.9373333333333334,0.8131192922592163,Fair 8/10,10000,870.6471,10.812401131878982,3.3972102793943435,node_categorical,18,0.7936666666666666
1,7,11,c,0.8269529342651367,0.795,0.9406666666666667,0.8148391246795654,Fair 8/10,10000,870.6471,10.812401131878982,3.3972102793943435,node_categorical,18,0.795
1,7,11,d,0.882542073726654,0.7963333333333333,0.945,0.8184422850608826,Fair 8/10,10000,870.6471,10.812401131878982,3.3972102793943435,node_categorical,18,0.7963333333333333
1,7,11,d,0.8774670362472534,0.7933333333333333,0.9376666666666666,0.8131451606750488,Fair 8/10,10000,870.6471,10.812401131878982,3.3972102793943435,node_categorical,18,0.7933333333333333
1,7,11,d,0.8508938550949097,0.7866666666666666,0.941,0.8104199171066284,Fair 8/10,10000,870.6471,10.812401131878982,3.3972102793943435,node_categorical,18,0.7866666666666666
1,7,11,e,0.9058452248573303,0.796,0.9373333333333334,0.81610107421875,Fair 8/10,10000,870.6471,10.812401131878982,3.3972102793943435,node_categorical,18,0.796
1,7,11,e,0.8668844103813171,0.7916666666666666,0.9406666666666667,0.8134571313858032,Fair 8/10,10000,870.6471,10.812401131878982,3.3972102793943435,node_categorical,18,0.7916666666666666
1,7,11,e,0.8407708406448364,0.7883333333333333,0.9423333333333334,0.8114968538284302,Fair 8/10,10000,870.6471,10.812401131878982,3.3972102793943435,node_categorical,18,0.7883333333333333
1,8,10,a,0.2269827127456665,0.9465349214943151,0.9840281537628587,0.9524040222167969,Excellent 10/10,24626,870.6471,10.812401131878982,3.3972102793943435,node_categorical,18,0.9465349214943151
1,8,10,b,0.23443035781383514,0.9478884677855983,0.9844342176502436,0.953283965587616,Excellent 10/10,24626,870.6471,10.812401131878982,3.3972102793943435,node_categorical,18,0.9478884677855983
1,8,10,c,0.23295170068740845,0.9461288576069301,0.9849756361667569,0.9517959356307983,Excellent 10/10,24626,870.6471,10.812401131878982,3.3972102793943435,node_categorical,18,0.9461288576069301
1,8,10,d,0.2414,0.946,0.983,0.952,Excellent 10/10,24626,870.6471,10.812401131878982,3.3972102793943435,node_categorical,18,0.946
1,8,10,e,0.2251,0.948,0.984,0.953,Excellent 10/10,24626,870.6471,10.812401131878982,3.3972102793943435,node_categorical,18,0.948
1,8,11,a,0.2552,0.945,0.984,0.950,Excellent 10/10,24626,870.6471,10.812401131878982,3.3972102793943435,node_categorical,18,0.945
1,8,11,a,0.2292,0.947,0.983,0.953,Excellent 10/10,24626,870.6471,10.812401131878982,3.3972102793943435,node_categorical,18,0.947
1,8,11,a,0.2563,0.938,0.980,0.945,Excellent 10/10,24626,870.6471,10.812401131878982,3.3972102793943435,node_categorical,18,0.938
1,8,11,b,0.2508,0.944,0.984,0.949,Excellent 10/10,24626,870.6471,10.812401131878982,3.3972102793943435,node_categorical,18,0.944
1,8,11,b,0.2329,0.946,0.983,0.951,Excellent 10/10,24626,870.6471,10.812401131878982,3.3972102793943435,node_categorical,18,0.946
1,8,11,b,0.2468,0.940,0.983,0.946,Excellent 10/10,24626,870.6471,10.812401131878982,3.3972102793943435,node_categorical,18,0.940
1,8,11,c,0.2460,0.946,0.985,0.951,Excellent 10/10,24626,870.6471,10.812401131878982,3.3972102793943435,node_categorical,18,0.946
1,8,11,c,0.2405,0.947,0.983,0.951,Excellent 10/10,24626,870.6471,10.812401131878982,3.3972102793943435,node_categorical,18,0.947
1,8,11,c,0.2490,0.940,0.981,0.945,Excellent 10/10,24626,870.6471,10.812401131878982,3.3972102793943435,node_categorical,18,0.940
1,8,11,d,0.2593,0.945,0.984,0.949,Excellent 10/10,24626,870.6471,10.812401131878982,3.3972102793943435,node_categorical,18,0.945
1,8,11,d,0.2318,0.946,0.983,0.952,Excellent 10/10,24626,870.6471,10.812401131878982,3.3972102793943435,node_categorical,18,0.946
1,8,11,d,0.2542,0.939,0.981,0.946,Excellent 10/10,24626,870.6471,10.812401131878982,3.3972102793943435,node_categorical,18,0.939
1,8,11,e,0.2471,0.946,0.984,0.951,Excellent 10/10,24626,870.6471,10.812401131878982,3.3972102793943435,node_categorical,18,0.946
1,8,11,e,0.2297,0.945,0.984,0.952,Excellent 10/10,24626,870.6471,10.812401131878982,3.3972102793943435,node_categorical,18,0.945
1,8,11,e,0.2559,0.938,0.980,0.946,Excellent 10/10,24626,870.6471,10.812401131878982,3.3972102793943435,node_categorical,18,0.938
