Task_Idx,Node_Idx,Edge_Idx,Text_Idx,task_type,KL,Top1,Top3,Cosine,Accuracy,F1,MAE,MSE,R2,Primary_Metric,Primary_Value,Performance_Band,S_GNN_step1,S_MLP_step1,Final_Score,raw_gnn_score,unclamped_score,scoring_formula,normalized_score,number_of_nodes,avg_text_length,text_vocab_entropy,label_balance_entropy,output_dimension,run_split,degenerate,nan_reason,Predicted_Value,True_Value,sample_idx
M1,N7,E10b,T12a,categorical,2.1837349446614582,0.48,0.6733333333333333,0.5377011299133301,0.48,,,,0.3095045638599112,final_score,0.0,,0.3095045638599112,0.3331966730369278,0.0,0.3095045638599112,-0.03553088027458007,graph_lift,0.0,498,68.672,7.181185220049583,3.248119879891911,47,train,False,,,,0
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.201532244682312,final_score,0.0065311581610975914,,0.0065311581610975914,0.0,0.0065311581610975914,0.0065311581610975914,0.0065311581610975914,graph_lift,0.6531158161097591,498,68.672,7.181185220049583,,47,train,False,,,,0
M1,N7,E10b,T12a,categorical,2.191870320638021,0.4666666666666667,0.7133333333333334,0.5104940533638,0.4666666666666667,,,,0.28267362960858955,final_score,0.0,,0.28267362960858955,0.36903425734667406,0.0,0.28267362960858955,-0.13687054922335773,graph_lift,0.0,497,73.612,7.175523843638267,3.1862143751872734,47,train,False,,,,1
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.2881357669830322,final_score,0.0,,0.08357200047886669,0.14898166420203246,0.0,0.08357200047886669,-0.0768604634844132,graph_lift,0.0,497,73.612,7.175523843638267,,47,train,False,,,,1
M1,N7,E10b,T12a,categorical,2.340268947934144,0.47651006711409394,0.6644295302013423,0.5039828419685364,0.47651006711409394,,,,0.2488032741231352,final_score,0.0,,0.2488032741231352,0.2829170947653318,0.0,0.2488032741231352,-0.04757304963368595,graph_lift,0.0,496,72.756,7.182105819770299,3.1416746486630354,47,train,False,,,,2
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.2474381923675537,final_score,0.0,,0.0,0.0,0.0,0.0,0.0,graph_lift,0.0,496,72.756,7.182105819770299,,47,train,False,,,,2
M1,N7,E10b,T12a,categorical,2.50163818359375,0.44,0.6133333333333333,0.47898274660110474,0.44,,,,0.1982391591092746,final_score,0.0,,0.1982391591092746,0.21474652082192658,0.0,0.1982391591092746,-0.021021698280064016,graph_lift,0.0,499,67.54,7.183028915362243,3.159490255255515,47,train,False,,,,3
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.2350984811782837,final_score,0.05664509120600869,,0.08045793185575051,0.02524271663586799,0.05664509120600869,0.08045793185575051,0.05664509120600869,graph_lift,5.664509120600869,499,67.54,7.183028915362243,,47,train,False,,,,3
M1,N7,E10b,T12a,categorical,2.411745402018229,0.46,0.6,0.4944154918193817,0.46,,,,0.26170902785363936,final_score,0.0,,0.26170902785363936,0.2987538961376248,0.0,0.26170902785363936,-0.05282720015119797,graph_lift,0.0,498,68.394,7.204272117766008,3.285496651007344,47,train,False,,,,4
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.258195698261261,final_score,0.0,,0.0,0.0,0.0,0.0,0.0,graph_lift,0.0,498,68.394,7.204272117766008,,47,train,False,,,,4
