Task_Idx,Node_Idx,Edge_Idx,Text_Idx,task_type,KL,Top1,Top3,Cosine,Accuracy,F1,MAE,MSE,R2,Primary_Metric,Primary_Value,Performance_Band,S_GNN_step1,S_MLP_step1,Final_Score,raw_gnn_score,unclamped_score,scoring_formula,normalized_score,number_of_nodes,avg_text_length,text_vocab_entropy,label_balance_entropy,output_dimension,run_split,degenerate,nan_reason,Predicted_Value,True_Value,sample_idx
M1,N7,E10b,T12a,categorical,0.9306449367575449,0.7671232876712328,0.9178082191780822,0.7686050534248352,0.7671232876712328,,,,0.5244362865838001,final_score,0.07959715671651812,,0.5244362865838001,0.48330916523502376,0.07959715671651812,0.5244362865838001,0.07959715671651812,graph_lift,7.9597156716518125,484,78.03,7.189576620895114,1.9429481410820193,11,train,False,,,,0
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.14065103232860565,final_score,0.0,,0.0,0.0,0.0,0.0,0.0,graph_lift,0.0,484,78.03,7.189576620895114,,11,train,False,,,,0
M1,N7,E10b,T12a,categorical,1.0947492928340516,0.7172413793103448,0.8827586206896552,0.7476181387901306,0.7172413793103448,,,,0.4676817274727524,final_score,0.0,,0.4676817274727524,0.5477152944788415,0.0,0.4676817274727524,-0.17695395406720207,graph_lift,0.0,482,91.608,7.179232229472011,2.038762255847146,11,train,False,,,,1
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.1382077932357788,final_score,0.0,,0.0,0.0,0.0,0.0,0.0,graph_lift,0.0,482,91.608,7.179232229472011,,11,train,False,,,,1
M1,N7,E10b,T12a,categorical,0.8102519777086046,0.7708333333333334,0.9236111111111112,0.7855408787727356,0.7708333333333334,,,,0.5806555015453205,final_score,0.0,,0.5806555015453205,0.607502883011696,0.0,0.5806555015453205,-0.06840147431497048,graph_lift,0.0,480,87.372,7.169879355201104,1.9700300900753351,11,train,False,,,,2
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.1352221965789795,final_score,0.0,,0.0962363164765577,0.23988811569630955,0.0,0.0962363164765577,-0.1889877032396958,graph_lift,0.0,480,87.372,7.169879355201104,,11,train,False,,,,2
M1,N7,E10b,T12a,categorical,1.1120611782731682,0.6896551724137931,0.8620689655172413,0.7139310836791992,0.6896551724137931,,,,0.4402369187050472,final_score,0.0,,0.4402369187050472,0.525871574289602,0.0,0.4402369187050472,-0.1806148944903404,graph_lift,0.0,482,85.376,7.141703328959779,1.9264719241940564,11,train,False,,,,3
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.130970761179924,final_score,0.0,,0.0,0.0,0.0,0.0,0.0,graph_lift,0.0,482,85.376,7.141703328959779,,11,train,False,,,,3
M1,N7,E10b,T12a,categorical,1.0329806623787716,0.696551724137931,0.8758620689655172,0.7273898124694824,0.696551724137931,,,,0.4839089003646766,final_score,0.0,,0.4839089003646766,0.5345044742568168,0.0,0.4839089003646766,-0.10869185866257734,graph_lift,0.0,482,87.642,7.177496620101136,1.9956543239764721,11,train,False,,,,4
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.13282769918441772,final_score,0.0,,0.0,0.0,0.0,0.0,0.0,graph_lift,0.0,482,87.642,7.177496620101136,,11,train,False,,,,4
